resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 3606646, 'resource_state': 1}",Morning Workout,0.0,2796,2796,0.0,Workout,Workout,,Suunto Race S,18180455221,2026-04-20T06:02:59Z,2026-04-20T07:02:59Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,"{'id': 'a18180455221', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,28,True,88.4,114.0,False,True,72.4,72.4,19282990997,19282990997,69e5cd02bcb43a05a1afe70f.fit,False,0,0,False,6.0,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Com a devida calma,59932.4,7782,8196,674.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18193514311,2026-04-21T04:41:23Z,2026-04-21T05:41:23Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,22,15,0,1,0,"{'id': 'a18193514311', 'summary_polyline': 'gohkFxdkw@}Dq@g@y@GwAnBeJvBcFg@iEjBiKOuGpDyS|@{BhBPqAo@q@eBeA\\sBk@wD@sEmByBOnHlCzERtCdB|J|AhEdCdGyFtAQ`UxJvRbChEfB|AKhBsA~F}@~AyBn@Jx@|AcCvTE|[}DduAw@hDeHbMk@lCSzEd@|DjE|IJzHdAvJk@|HFbD`ElVx@|LxEhSuAtHY|CeAj^`@bMt@nCnElHlAxKjD`IvAdKpGtLjFxCfAzA|F|PlEfRrEfKnCjDxGrFrBzDxFzZTzFS`LhAnGbBhChMbMlYbSpBfEvAlJ@x\\_@rCu@|ACnCuRrk@iCtRg@lADnBqAzN~CvQc@vGaA~B}DlF{GdEuAxBkAtHkElHcAtGi@dNiB`HcIbJsDtKqBtDcLjKoEfK}DxPIjSe@~DiEfN{CdHaEbOaP|YcCtIiMxXQ~Br@pKy@`DqDLkz@kD_OpC}NK{[fYyDnAgm@}F{L_BqS}FuAoBuC@mMsEaD]u@}A}Ds@eDyBic@qPeMeGmCaCcEv@a@tATtBk@f@eTaFk^_Jia@_Gsd@aYmB]un@cYaAeAmCg@mIyDcPsImAaBoDxBcBVsRGyBq@kElBqFhAaFbIUxHy@fCUxDc@lAqAt@yCLeB~FyE`A_CbCoI`DaEcGyHaAqEyDmCaAaJmKeIwGkAcILeI}@mE}@mAeCQmBaDr@eHkDwS_DiGiFeGq@_BgNyJ}@yBaBqAeBmFOmCuAkCgGoUeTkQz_@}iAzBo@bMt@ImCPaKp@qDp^oO`OeQ~A}@zHkAhD_F`CiK\\sDhBoDjBg^vC{LZsLzCuF~BuC|Aq@~C\\hDa@nEv@lHStBo@f@y@rAeHyCqG`AgEbEaC`CiDxK[fEeGpCiHlC}JIsBeBaGBkBjK{YnG}K~@{`@\\{BxA_BtCy@fAiDbBmMfMmT`EqCbQ{BdE}Bf@}@x@{WeAyPkAgE?_Hj@aHaAaOHaAlAWd@w@~AkQl@s@lAKjIdDxC@nI{F~LmEjDiDhIuDhBsCn@uDNsBa@{EtFwJhCsAdDc@lKuHAeFgBqKg@oLhBsERgLfAcJpDuKtDcFpKuDXc@IkBd@i@nKgCtOJzKz@xGw@nM`LrF~Ab@a@VyBt@_B~CcCrUkJtDcEhDm@rBZxNlPjHpUhEz@`I{@`DnAlDLl@x@VdC_@`CgDdGeAhEsBbCUnAt@tPxCjEhExB\\WHaLn@yAtHeHpGxAbBwClEeC|Oz@n@nAt@xI`ApAzA\\rN_FhToBdVyJHm@iB_GaFqFnCyGkAcB', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.713043, -9.237514]","[38.712693, -9.236952]",7.701,16.14,15,True,143.9,168.0,False,True,283.8,-2.6,19296128175,19296128175,2026-04-21-044123-ELEMNT_BOLT_9D28-104-020260421-6564-ahgyip.fit,False,13,0,False,178.0,84.5,143.8,399.0,167.0,True,1118.3
2,"{'id': 3606646, 'resource_state': 1}",Morning Workout,0.0,2701,2701,0.0,Workout,Workout,,Suunto Race S,18207884881,2026-04-22T06:07:28Z,2026-04-22T07:07:28Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,1,0,1,0,"{'id': 'a18207884881', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,27,True,94.0,120.0,False,True,56.0,56.0,19310575184,19310575184,69e8704c87c1c639a408d281.fit,False,0,0,False,6.0,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Monsanto 🌅🏔️,47265.2,7224,8006,912.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18221763111,2026-04-23T04:42:45Z,2026-04-23T05:42:45Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,12,14,0,1,0,"{'id': 'a18221763111', 'summary_polyline': 'mohkFfdkw@kDe@{AeAeBjBo@F}DgGkOyHgDCqKpA{]}CsG~@gGSkKgBcDj@Up@PfDu@H{B_JM{BhAaa@rCeHvHkHVwCeP}V{Me^}AeCcB[oKz@cFs@aBsAyBgFO_Ad@iAfGSd@uQuDkIUeG_F_@lBqJ|@oBxFuBdDUfB|@tAgAf@\\{AuCgBu@mBeCmHwBoAuD{EeG}@eCOwFwCwA_@w@sE{]\\{A`CC^m@c@mI@eIhAkLr@}@tDc@~CsI~DqBnFsF_AwI|A|MnBpCbBVxFy@`Ir@`LIbARlAnAj@jDDrg@~F`@_GSO`GfAxD_AoER}IMcd@e@uDeAmA{A]yUi@kIf@kA}@q@_B_B_MBBbB`NvB|BdJk@tGr@lLIxB~@r@~APfCFhg@hTlA`FrBh@IvBuCtFiAh@eAUgAy@U_HfCo@i@_A{DPsAnCiCZ_AoAkFjB}HwBwEX{ApDiGDuAg@gAaEWiFrFs@WcAkCqAeA}AH_CtBy@ImC{Op@sJMeCcAeCyDqCy@Ls@hA{Kjj@oHKkFv@uBe@}AwCaBqLnBnNhBrBhBP`Fy@|Ht@bLIjClAr@|DPfh@nTlAxFxBrAeCNwAeBmBy@kEzDuFCkAiAqDlBiGMiA_ByBOgAbEcIJwBaAsAwCIsFxFu@[iAwC{@q@eBFgCvB}@WkCwOh@{My@eCkCqCqA]qAfA{Ktj@aIAuEt@wBa@cBwC}AyLtBnOhApAnA\\pG}@hIx@vKKlBp@x@rAT~ANbi@rSpAvDjAhCbCnFnL`EjFjHgCnAh@rAe@|ARr@rAD`Ht@pBpBfBtU|JpA~AZpDyAlCq@PiHkEkK{BqXx@gCvBwAbEIzE`AdI[|As@d@wZkFmYsL{@hBqAx@uIp@aFqCkBgCmH{BuA_EoFoHa@qAQuFqCwAe@y@qFqa@wGe@yBfHi@^wDIIeDeIzq@XfN_@jCcHhXcCbPyBl@]l@XzCsBvNcBhIuChJqAbIiArAyErBkADc@v@t@fD\\xHcB|Jm@fM?dJc@jFj@pEtE`L\\xNn@dDjAf@tJcDbRT|Gv@jK{@hM~KrFbBh@a@V_Cv@}A|CcClUeJdEmE|Cg@xB^tNjPhHnUpEz@hH_AlDrAfDHt@v@XlC[tB}C~FaBpFkBvBQtA`AxPzC`ExDlB`@WHaLj@wArHcH~@IrE`B|AuCxEiC~O|@f@|@z@nJhArAvATjN_FzRqAtFyCxO}FRc@mBiGcFuFnCoGc@gA', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.713066, -9.237213]","[38.712357, -9.236601]",6.543,19.16,10,True,144.7,170.0,False,True,217.8,61.8,19324536117,19324536117,2026-04-23-044245-ELEMNT_BOLT_9D28-105-020260423-7494-yz04m.fit,False,4,0,False,166.0,80.4,147.0,460.0,177.0,True,1061.1
2,"{'id': 3606646, 'resource_state': 1}",Morning Workout,0.0,2475,2475,0.0,Workout,Workout,,Suunto Race S,18235114646,2026-04-24T05:57:44Z,2026-04-24T06:57:44Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,"{'id': 'a18235114646', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,28,True,82.1,103.0,False,True,58.4,58.4,19337990922,19337990922,69eb1028ff59c1239a341d6c.fit,False,0,0,False,4.0,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Bimba e Saloia by Gravoesfera,72124.5,12001,13617,1221.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18262782629,2026-04-26T06:10:41Z,2026-04-26T07:10:41Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,4,11,0,2,0,"{'id': 'a18262782629', 'summary_polyline': 'wa}lFbgsw@wDc^yJSrD{MMaF_MgK{FyI}SgCiZmMoG}I_GyAw@gLwAuB}x@_HsPuIyXaWoJo@_NwImNOqJrChCnKa@vNjAdPiI~BqB|EvBvKtFpFLrCyAlDTxEiBhBsFxRYnI~C~SdJzJnAdCrAvHmCpJoElHiDlOxYhJN~L|AzAiC|KeG~IiT_HcZkSc[eOeEiHmCeAw@bR{B`MD|Oy@nCqCGw@pFuHxLs^{I_XDyJ}LyIq@mAzMwCtK}KrFqSf]cFfK}LtL}YlCMjMwTbCaUiFeCp@pBqA}AiDcFeB_BiJgFpAmA`CqC_BgIv@cBfLcAbAyMc@yAhDl@|E~Bv@LnDiEtK{EbZHlImF~DwDpLkFp@`Lla@x@fJjN|PcFj@eKtFwDDfAlO{@`JdA`]aAfO?n`@nT`HAnHqCjGX|C~DdMzEvHQnQnH~Kc@jG`AdIjIvWaQnMsO`CuDhDsH`BwGyBN_Ju@wBcCc@mGbF{GoByM~MsB`Dk@bNXdC~EpGPjM}BlEChEkFzBoJ_AuFnR}GrB@vJmDhUmFpDjCvKfFfBAlFpGbQfRfFtWbYzPvJnLnAfLxL|KnE~GYbEmDfL}BlIuE`p@pAxZ{NbNiKtD|DnBhGrBAhCpFnHlEnHrMzH~AlFaChFLdFaIfA{EM{GfFkIZ_LY}QxCqEzAcJfMwEpJrC`SzObf@zs@hb@va@pGzMjQjJzGjIfd@jEhEgAdPkLbCuFd@kQdJqNvAaH{BjIcDxAr@q@cAwDZyJcEqT{MG{GaJkHmA_AmB`@aNgAk@eAjCcC`@_E{AuEkK}@uGeIo@mAkGvIwZ|HwUrCxFtHh@`FyFl@mEmAqBbCgIvDyDjGsBwCgJlC_Fh@gHbHoK{AgI`@uJrFuEdIhBhByDhDBp@sClKiCdC_NGoRwHaJwAiOsCHLxFq@jA}DG_CkBuBg_@xCcMwPcHg@wCsEyCQ_ElDkGxLaGfEsFbNyEnEkGbHI~BuHvGo@xGeFhBd@v@aGbMiH}A}K}CqAyBx@gE}BpEgA|@gImAeMtFxBh@qGrDcE{FmDz@iDgFuAg@uJuSmDp@eLcA{h@lNmBrKhBhG`EtB_HpDLfH}EhAiO}AkDAiFsEmGv@iOnJcQrCoB^gC}A}B~BbCvLkOrLrDx@jG~EdKzAa@zBuELsDrBcBt@}DxEoCbFbGxFdCUbNlFzAh@mFyDmYKyS|HaFxJf@dF_COmHbBoIkB_FlAsCD}FmGkI~GeBnDlHlH|FlKp@zBiFToG~GgCDyF_CuMnDaA`DaGb@{DyC}CFsIiM{OqJcYcBeAkFxCeDpG`CnDK~C_KvG~CjOm@hEkJf@gCsFgBSyCfD^zBoAC', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.98325, -9.280839]","[38.98334, -9.280805]",6.01,17.16,13,True,150.9,175.0,False,True,253.6,3.4,19365964098,19365964098,2026-04-26-061041-ELEMNT_BOLT_9D28-106-020260426-4794-3j8rsw.fit,False,3,2,False,368.0,79.6,146.0,524.0,179.0,True,1747.7
