resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{'id': 3606646, 'resource_state': 1}",Mais valia ficar a 🛌,42505.2,5291,5291,208.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,17668765229,2026-03-10T05:44:49Z,2026-03-10T05:44:49Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,13,0,5,0,"{'id': 'a17668765229', 'summary_polyline': 'wmhkFrdkw@gFi@i@m@MoArB}JvBsFg@{AG_BpBsKCcBQgDzC{Qh@gCXc@z@E~Br@jCXdFjCbAgArDmDzAWlU|JjDl@jLdAnFtBdAKnBuAbGw@t@cBb@]h@Jv@tAFt@_BvJg@jH?jZ{DtuAq@dDoHvMk@pCSpEJnB^vAxCdFl@vBHvHn@hDXtEo@nHFfD|B~LfAtHf@xJ|@hFhCzI^lBGzBiAzD[|CeAr^\\rLt@xCbDxEp@|A\\lBp@zHbDbHX|AXfEn@~BhGhLnAbAfCbApA|AvF`PbF`TzDzIxC`EdH|FlBrD|Ff[RnFS`LVjCn@~B~AjClN`NlVlPfAdAdBlDhA~FRjC?`\\YnCy@hBFnAMbAsRnk@k@nC_BhNg@dACbD_AlIGzBR|BfCfMFtBYhCcAxCaDrEsBnBuEfCkAhBmA`I}CjEm@~AeA`Hi@xMaBrGaAzAqDdDgAzAaArBqCvI{AlCiJjIiAvA{@dB}AtEe@p@g@nC}BnH[xBI`B?nPUbCc@lByD|LuCzGgEfOgB|DqLvSgCzIiM~XQdA?lAr@rK]`BaBjBa@zA@rL_@jEKzDLlLY|AoBxCk@`CBdK_@jCDTVDNWD}@K_KHgB`@_BtBaD\\kBGwGb@sPCmIVaB~AsCb@}ADgA[{ENkBvMcZjG{UfH}MlAoCzDuNtCwGbEqMf@eCNaCBaRr@eE~A}EpAmBb@eD`BwEnAaBvJaJfBcD~BuH`AwBvAoBjD_DnAwB|A_H`@}Lt@_Fr@uB|CkE^cB`@eE\\iAfAuAhEaCfBcBlD{EdAyCX{B@_CQ}AeCuLGyBNyBbAcJ^kABmBpBiPfRij@pAiFBmAl@wGCwVSgEy@uEy@qCgAkB_A}@oVmPcNwMeBiCk@gB[eCReLSaGa@{CwEmVu@oB}@uAsHoGeDgFkDiI}EeSqFyOgAwAmD_By@s@kGmL_@mAy@{HiCkF_@kAiAyKg@wAgDwEg@mAUqA_@yK`Ac]RqDrAsEN{BUiBoCcJkA_Hi@aKsDsTAiBbAeKQ{BuA}FM}Hi@sBiDiGUsAEyAR}E`@wBr@_BnF_Jd@sAVyA|DsvADm[dAoLxAcHa@u@oB}@u@X}ApB{Et@_@Iu@eAs@Qs@x@Ej@LhAGVSBuDgByNcBkD}@{QuIgAcAu@Ne@|@eDdD}Av@_EaBoF_Aw@a@a@yA]C]f@InB_D|P_A|DB\\f@x@Pp@HbBMrAwAxGMzA\\jC`@XfEeDdEeBn@FZh@`BhK', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712746, -9.237142]","[38.712206, -9.236329]",8.033,13.18,88.8,7,137.3,384.0,156.0,True,726.4,True,141.0,164.0,False,True,92.0,6.8,18767130126,18767130126,2026-03-10-054449-ELEMNT_BOLT_9D28-92-020260310-7-r3y6c2.fit,False,0,0,False,102.0
2,"{'id': 3606646, 'resource_state': 1}",Sol de Inverno,62879.3,7645,7669,440.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,17685340645,2026-03-11T11:59:08Z,2026-03-11T11:59:08Z,(GMT+00:00) Europe/Lisbon,0.0,,,,28,17,0,1,0,"{'id': 'a17685340645', 'summary_polyline': 'enhkFbdkw@aFo@i@y@EgAnBqJdCqFu@kDnBwKKiHtEqVpIlA`FhCtF}FpAUtT|JdSxB~ElBz@CxCeBjEc@pBcChAb@d@nA{AlJo@fIA|Y{DjvAw@zDiHlM_ArJd@pDbDvFf@jBJrHfAfKg@fM|DvUjAdOtEbRShCsAlEQvCaAf]^vL~@bD`ElGpAtLfDrH`BzKlGnLfFvCfAvAvFbPhEbR`FhLrCpD`GxEvBlDdGl[XjFOtMjAdGbBhCdN|MnXjRlB`E`AjFTtDAn[c@pCs@lA?lC{R~k@uBxO_A`DFdCmA~MzChQB|Cc@lCcAhCyDdFsG`E{AxBiAnHmEpHeAdHi@vMgB|GaIdJ{D`LgBfDmLvKsEtKwD`PCxRq@lFkEdNsCvGgEhOePfZyBlIsM`Zh@`Oe@fBuAzA]fA?rKi@nLJtLe@pByBbDUvA?zK_@zBnDtHnDpDrAbFfBdLzArST~I{@bLiBtKlDdDLfAYbF`@~ElBjF|DlGtIlLvCtCzFpCbGj@j@`AiBpQiAvS_BtJUtDh@hOa@na@dBnPIrl@gApJaEfIeH|TuFzJoWl_AcIhK{HpQyDhG_FpDgGfAoJkAaR_ImLwMwU}NuBk@gGCmAwAgFuKgBeBcIaBgKlA}CoAsBaFgAiPy@oEaCoCcGwBuEuNmC}FsBaRwC_GLwLg@kBeAsAuHqDqDMqD_EkGcBkE_@qKcC_FuEoAiD{@u@eKPkEqDuAa@qWCcAaAUsBb@uC~Ac@vIjCrLZrUjEjPpGdAClB{@tEkExHiB`MgIdFo@|JyCzIcKjJ{AdMaF`Ki@xFmAvK{EpHSpSqDhEwEd\\oNl\\wXp@MrKwKpJs@vGwCnEuO|@_BjBwA{GwK_AsFZcIo@}AaCyB~B{Oj@oAYoNmBwWqD_QaD}CoB_Di@uBGwB@iMxC}F^iBZyc@ZoBdB}CZuAI_KtM_ZpGeVlJ_RdEgOzCeHvDyLv@kF@wPR}CxBcIzAcC|AmHrBeDjK{JvAkCxDcLhIsJhBcHh@yMx@wFnEyHrAqIdAaBjHyEpFyIl@kD?aCmCoNOuCrEwb@v@mD`Qcg@vA{Fn@sHAqW_@aG{AgHgCsDmWeQmPaQqAiGPkL[yGwFqZgBoDqHkG}DqGeDkIiEiQcG_QeAoA_FmCmGoL{AoKgDuHsAoLsFuJg@yH?}GdA{\\|AyGLaCcFmTs@gLwDcU?qB`A}JgB_KQaIe@gBkDmGa@iBA}Bc@cA`AkE@cEsAVyBw@}ALmAtAsAdD{@b@wP}AsBcBkAUmAr@u@dDoAnAkBRgC_@iKaO{AkIBcEz@_FUyAoFsIiEuNmDgGHs@|CiB', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712845, -9.236961]","[38.713482, -9.237602]",8.225,15.62,87.5,17,153.9,708.0,171.0,True,1171.3,True,148.5,171.0,False,True,137.0,-2.6,18783777917,18783777917,2026-03-11-115908-ELEMNT_BOLT_9D28-93-020260311-7-49hdsi.fit,False,5,1,False,210.0
2,"{'id': 3606646, 'resource_state': 1}",Lunch Workout,0.0,2437,2437,0.0,Workout,Workout,,Suunto Race S,17696813633,2026-03-12T12:46:44Z,2026-03-12T12:46:44Z,(GMT+00:00) Africa/Abidjan,0.0,,,,0,0,0,1,0,"{'id': 'a17696813633', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,,27,,,,,,True,82.4,99.0,False,True,5.8,5.8,18795300595,18795300595,69b2bf6d061b5519241270e4.fit,False,0,0,False,4.0
2,"{'id': 3606646, 'resource_state': 1}",❤️‍🩹,34451.8,4561,4985,289.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,17705051787,2026-03-13T06:22:31Z,2026-03-13T06:22:31Z,(GMT+00:00) Europe/Lisbon,0.0,,,,9,6,0,1,0,"{'id': 'a17705051787', 'summary_polyline': 'ymhkFfdkw@c@B_Eo@m@w@IiArB_KtBkFi@kBCeALiA`BqHB}ASwBFmBvDuT`@w@r@EbGnApFhCpFoF|AWbU|JnBb@tNnAlFrBlAMxAoAbG{@`@[b@iAb@YZ@`@Zn@rAuA~Is@lIG`\\kAj^oBvu@SxAg@|AuFhJm@tAg@`CWdFF|A^|AdD~Fd@fBLxHp@bERlDE~Ae@`EBtDzDlUd@bJd@fDr@pDbCdIVbBGtBoAjEYfDaAh]PbJNnBx@xC|CpEr@`BV|Al@nHZfAnBnD^dAZnBX~Dh@hBdG`LfAbAzCpAlAzArFzOrEvRl@fBhDlH`D~DdG~EnBhDn@fCxE~WTpFSrLVzBz@pCxAtBxMtMbW~PpAtA|@jBxAzGTxC?x\\]`Ck@|@E^FZ`@BPc@`@yDHmBBiUMqEO}AyAmHcAsBuA{A{WsQwMsMkAmBq@_CSsBRgMUaFcCoNaCkLgBiD{GwFeDwEuDqI}FmUgF{NmAuA}CsAeA}@}FyKe@{A_@{EY_B_@eA_BqCg@yAu@uISeA_AyB{CiEs@wC]oKf@_RH}@v@FPO\\yBKk@s@g@Ki@NsA?mBtAsERmBAiAWoBgCwHm@}CO}AR{GKiDi@eDaByG_@kDC{Ch@yI?sByAkPKwDbAoMUWs@MsGYOICYPcC^eB|GsL`@oAXsBxA{l@~Aih@@iZX{Er@aGl@yCd@yA?_@_@i@qA}@kAUuTas@wA}BmAu@kA[y`@kHs@e@wLiBaBwAmAeBOiAL_AdBcFp@sAb@}AFgAOs@SMSHc@~A{@b@}@CcBy@sAeBoA_E[k@cLgKW[Io@V_AbMyOdC_CtCcCTs@B_A]yB]o@iA]aC\\_AKcA`@oC`@cCMoAi@kBsAgIgHQFEXRtA?dBw@t@UdAa@PqAQaCsBmBaAoJwBgEGoM\\_Af@[\\]fAS|Da@pCE|BaApAOj@NtG[zKS~AyAjC_AbA{@\\{BJiC~AO`@|AtAjAT~@ElHcBb@PT~AIz@k@\\qCb@q@f@gBdEIjALl@p@f@nA?XRJ`@UrANZdBDpEp@fDdBt@x@`@fAb@dDdDbAl@`@bH`Rl@xBdD|HbAzA|H~GxAfCnAl@t@TfF`@fEfBrERjBv@Nd@?j@k@vBqB`LQf@Q]R|@u@zCv@pBLdA?hAgBzIKjADx@XzA`@VvBmBtAy@rCqAvAI^h@bBzK', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712757, -9.237041]","[38.712247, -9.236427]",7.554,16.14,86.5,7,146.0,553.0,156.0,True,660.5,True,142.8,159.0,False,True,177.6,8.6,18803567557,18803567557,2026-03-13-062231-ELEMNT_BOLT_9D28-94-020260313-23927-i00zxb.fit,False,2,0,False,98.0
2,"{'id': 3606646, 'resource_state': 1}",Workout,0.0,1073,1073,0.0,Workout,Workout,,Suunto Race S,17716057449,2026-03-14T09:09:46Z,2026-03-14T09:09:46Z,(GMT+00:00) Africa/Abidjan,0.0,,,,0,0,0,1,0,"{'id': 'a17716057449', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,,26,,,,,,True,92.9,107.0,False,True,-3.2,-3.2,18814640599,18814640599,69b52a561b1b416acf79582c.fit,False,0,0,False,2.0
2,"{'id': 3606646, 'resource_state': 1}",Afternoon Workout,0.0,1384,1384,0.0,Workout,Pilates,,Suunto Race S,17721992812,2026-03-14T16:38:12Z,2026-03-14T16:38:12Z,(GMT+00:00) Africa/Abidjan,0.0,,,,0,0,0,1,0,"{'id': 'a17721992812', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,,26,,,,,,True,72.9,109.0,False,True,-1.2,-1.2,18820628593,18820628593,69b594b2389021473c71f8a2.fit,False,0,0,False,2.0
2,"{'id': 3606646, 'resource_state': 1}",Vendaval de um raio,84128.1,11582,12856,932.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,17728768315,2026-03-15T06:57:17Z,2026-03-15T06:57:17Z,(GMT+00:00) Europe/Lisbon,0.0,,,,16,12,0,1,0,"{'id': 'a17728768315', 'summary_polyline': 'i~gkFlmjw@}@kL|GmCJ}OxHmBaGsH}KoCrKbEzIiGv]~N`PpCxLqDdBaChBlB_C`TA~Y_EdwAeJxRy@~IpFxOpAhTc@fNvFpc@|ExSeBvK_ApZZ|S`GfLnAfL`DbHbBbLjGlLjHbFhTzp@nO~PdGt[@nTfAzF~P`RxXpRxBvErAnJ?t\\uAfJ}Rjl@oDvTiAvQ|C|Q[rGwFnJ}JjImAxHmExHkBrVgBtGcIjJ{GzPoLzKmE`KeEpQ?`R{@fGkOhe@mPzZuQ~d@j@dO_D|G[xe@qDhJa@fPvIvMtDnQxBda@aDfXvDbEOjJzB~Kq\\|f@of@ha@mZdM{F|Fc\\jDgNxFoQtBeRvGgCYwK|LmRlE}LbIeStJ{OcGor@sJ{@tFnD~KoDzGrErLiAbJiBt@iJ{DaDdGyDV_F~FgEEElCtGvE_FzJeAlHmC`CyJ\\e@zC~@pGiDlDuAnGaMtHeBjEwFhFsW|@iMaUmF`LlEpLKhHyPmD_LzDyGGmJ}MwI\\sBuA`@kFxE}HaG_E}IeSgFuEz@eGy@sF^cFcNsAkKiFo@z@xAbDcE`JUxEmPrF{F`I}IVaCqFfD{JgNcLsFsMaDYiF|K{@}ApAqFe@{H`AkK|CwGyHqN@}Iv@wF`CeElDg@fEuDjDgMuF{KtEeGg@mMjAsEiGgHmCyHaIgIsGkW|BuIrZii@~AsOm@cD{CsCzAiFoB{ZaCaM}G}Pr@mEyHs]d@oI`IiR}@i@_IbFqA}Fg@gQsGjBwCgAmBuEvAwL`FIbDcCUmAkCIw@kK~@}CdGeEuAwHjDkDRgEAxDrEd@pDhFnQsFz@hD~FxA`@sEz@FOdD|BsD_@_FnCbDtCsF|CbBtCNbDsB|G_@z@uNvLwTxF_DbzA`r@t`@zUjyAjXhc@tLlVtKfAdF~AhAlIyD|m@bRlw@dIzEsAt\\{Xv[yAjAbAjAdHdz@_AbDiHH}LpMkY`GeU`KgS~O{f@v@uZlHwVxOoQjGkPzH}IlBcHdBsU`EyF|AqK|JiIfFkIp@cHyCgVdFyb@tTkq@t@cSq@aWuDiKsT}OjCCN`DwAKkKqImFBo@mDaMnEk@gCoFLfDgCnBqNkAia@mGgKmMcEsDoDaIAcA_QiFeN_IaM}FcVOoD~AuIUaIkCaFm@eMoJuZbAmFm@aB`BoCN{IxD{NmBkPf@iFg@wJcEyV|@iP_BeHYmJcEiI_@aEz@wIxI{Q~D{vADm[xCaVwC_BgCdCqFv@mBmDzAjA}BVg@tDeXcFaVwLkJhH{OaHaGd[bAhGqBxLz@`D~LcG|BpL', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.711994, -9.235776]","[38.712209, -9.236328]",7.264,15.54,83.3,11,145.2,451.0,165.0,True,1682.1,True,148.4,171.0,False,True,298.2,-10.8,18827484865,18827484865,2026-03-15-065717-ELEMNT_BOLT_9D28-95-020260315-7-k4veno.fit,False,6,0,False,320.0
