resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{'id': 3606646, 'resource_state': 1}",Fisioterapia,34494.8,4353,4446,536.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,17424523522,2026-02-17T07:08:16Z,2026-02-17T07:08:16Z,(GMT+00:00) Europe/Lisbon,0.0,,,,43,9,0,2,0,"{'id': 'a17424523522', 'summary_polyline': 'acrtFtc}l@xAjBbBf@hA]rB_CzBLlFxDdExDpB|@z@I~B}ClAEt@~@tAnIe@nAgChAkAbAy@tAi@pBSnDPfQKdCy@vCwJzRs@zB_Cbb@BtATlAl@jAv@n@xAVrHQpAh@|@rAR`BKnBiD`I_@pCJzA~BtK@fDk@jBaAfAgRzJiA~@m@bAm@jDLzJIxCc@vB{CjIm@zDCbBNfCpB`KXjDsAdj@~ChpA?bDQbAm@hAaAf@u@@iA[yDoDwAKgEvAi@xADlAnDtKnMlEzB`B`C~DbAdEd@~@ng@nr@hGjEzHtKtAnAhFzCtEX`EzDtGdOdMnd@|BbDzGtD|F|JThCm@vLZjBtIbL|FbO~GdKfF~I~@bAvBjAxH|AdLbF`OdIh@GbA{A~C_@zD|BjAFxFiCn@KLU[mLJ}AnIyT~@w@x@M`E|AtAE~GoC~BiCRiAGo@Yo@cB}AGqApA{DvCcD`@oEdCm@d@q@EuAmBcEIo@`@kA~Bq@l@s@H}ASaENq@z@W~EtC`GaAdAk@h@yAXkEOgA{@eBCo@`@}@jEcDh@u@DgA_AqCRmBhAu@lF?fF_DRg@Bq@wAsCBqAvBcEvC}BVcCd@aAz@OpChA|CKfBnB`ATbI}DtDj@dEeDlGgAjA@pApAvG`QzB~A`@K^mB@kA}@sPj@}E}AsFEw@LkFxAkFDiHOiA{@wAaGqGeFkCaA}@kLi\\gCeE}AoAcHaEsFeGoJ_DwOcJqGaJgEcDq@kA_CqJ^aJSyNy@mINgL]iC{A{F[wIgBqHEyLaDwSsCeDoByGuCmFoAcMsE}L`@eHu@oHRcKMkAuFaGkDcC_@o@SuAv@aJe@kDe@y@{A}@{C~@mFeAkFf@oCw@mAmAQeA^eHMiAsAaB{Bi@c@_@aGgM_AwJU}@i@s@qBw@o@q@}@aDo@aFk@qAaA{@oBg@c@s@JaBvAuBLaAw@iAuDkAs@_AcA_SuAuD`@yCCaAo@}EqAaC_@Sa@b@eAnKmDjIeBtB{Cm@iBFgH|Ek@UiBcCiDFy@h@IxB[h@i@FeC{@{@EuA`@_BtAa@HsA_A_GqOcAg@aHqA{@`@}@fBc@~B@pDyB`FmEvD}@Vq@S_@o@_A}E}A{Em@g@iDkA]q@{@uEk@}Ak@k@qAe@_O}Dq@rAmCvE_A`@}HeBaC@iAXkBSm@RaBxBkAT_Be@uAgB', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[40.24157, -7.526375]","[40.241529, -7.52627]",7.924,16.7,89.8,7.0,161.9,527,184,True,701.7,True,154.4,182.0,False,True,680.8,392.2,18521569101,18521569101,2026-02-17-070816-ELEMNT_BOLT_9D28-85-020260217-64616-f2icsf.fit,False,29,0,False,151.0
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Strength Tempo #6,28538.8,3310,3310,69.0,VirtualRide,VirtualRide,,MyWhoosh,17441557596,2026-02-18T16:44:00Z,2026-02-18T16:44:00Z,(GMT+00:00) Europe/Lisbon,0.0,,,,3,0,0,10,0,"{'id': 'a17441557596', 'summary_polyline': 'wynwC~nkpLWyAyDYiC}BeFbByDWSgA`C{@TwAmAcAcD`AuAa@e@eFVqByCsEgFfEv@`FqC^k@z@lBhBzEb@FhFoAf@aCyDaCc@_@~@CzHhAhAdDkBvA`BlEj@~@pALzBm@lB{Ab@y@s@XuCg@}@eDRmB}@eBn@y@|APdB~@@hAmBdA`@a@zDy@nATtAxB^|J~FfBJ`@u@]gEjEl@~@{AqBwE_CiBd@yCt@u@rAHj@|@AtDf@`BlBxAlBFr@y@@yAkDkBIkAdKeId@mAo@mAmDQiC{BgE~AoEMSkAzBw@X{AwAeAyCbAmAWm@aFX_C_DqEeFjE|@rEuCf@k@~@fBbBzE^\\z@KfDqAr@{BsDuCc@U~JfA~@rCoBnBhBvD^nAxAHpCo@~AwAXy@}@ZeC[y@wDHsB{@eA`@aAdAAdC`AJrAsB~@^]vD}@bBb@rAzAJxKlG|AF`@y@i@eCPcA|Dt@fAeBqBqEcCmBf@qCbAy@pAT^bFf@fBhBvAjBLv@{@DwAoDsBIgAhLeKYoAiEa@_CwBuEbBgEWKiA`Cy@NyAqAaAaDdAuAg@a@sEZuBaD{EaFzDr@lF{DrAdBlBdFh@F`FgAn@iC}DgCa@_@xJ~@hAdDmBnBhBdEh@z@tAH~Bk@bBwA`@}@y@XuCa@s@iDNqB}@wAf@}@fAF`CbA@bAiBhAd@a@tDy@pAXvAjBVhKdGlBDX}@]{DjEl@~@{AyB_FwBaB\\oC`A_ApAJh@tFj@dBxBxAzA?t@_AAyAeDaBIwAdLeKq@uAgDMmC}BiEbBmEUOkA|Bu@R}AiA_AkDbAuAk@_@wEV{BcCsEwFzDv@fFiDt@UhAfBnAxE`@RtEyAz@{BuDoC_@UjKjAp@nCkBnBhBpDZnAnANtCs@jBqAV}@{@ZeC]_AmDL_C}@{BxAYpB`Ar@rAqBhAHWdEs@zC~NnHdCGMmF|Dt@dAsAoBcFcCoBf@oCbA{@pAVfAjIhBvAjBLv@y@D{AoDqBIgAzJ{Hh@}B{E{@}BwByE`BkEYMaAfCaAPqAwAgAiDdAgAc@e@uEX{BkC_FqF|Dt@hFaDn@]bApB|AjEVZnEuAjAgC_EiCYUnKpAj@bCkBpBfBtD^pAvALlCq@hByAVw@y@ZkC[w@oDJ}B}@{BtAW`ChAb@hAoB|@BiA`HJlAxOtHjBWg@wDVq@tDt@r@e@', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[24.986327, -71.009225]","[24.987945, -71.009681]",8.622,11.28,90.7,,151.7,193,160,True,502.2,True,141.0,156.0,True,True,4.2,-2.4,18538672495,18538672495,myActivityfile.fit,False,1,2,False,63.0
2,"{'id': 3606646, 'resource_state': 1}",Madrugadas 🫡,61167.7,7342,7925,319.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,17447351889,2026-02-19T05:41:19Z,2026-02-19T05:41:19Z,(GMT+00:00) Europe/Lisbon,0.0,,,,27,14,0,5,0,"{'id': 'a17447351889', 'summary_polyline': '{mhkF~dkw@{Ek@o@o@QqArBaKzByFe@_BEaBdBkJGgI~D}T`@o@~HlA`FhCzFwFzAWrT~J`SzBbFnB~@IfBuA`G{@dB_Cp@Nr@zAaB`Ma@lGA~Y}DfvAu@fDoH|Mc@xBUpFj@rD|CjFh@lBHdHr@tERbEk@zGBdD`EdVt@rL~EbTIvBoAhEUpCcAl^`@dMv@pChE|GpAjLjD~Hp@dHh@jBhGfLfFvCpAdBrF~OnErRtEjKvCtDvGpFpBzDxFzZTnFQ|LnAlGzAzB|MvMbY|RjBjErAbK?h[a@|Co@jAGzC_Sjl@sBvOu@fCBvBoAtNRdChCdMDzBWdCgAbDyDhFcHpEyAxBiArHaDtEk@bBaAlGi@|MgB|GyHzIgEvL{AtCyLfLeEvJ}DfPMrT_ArFmD~KyCdHyDjNqP~ZcCxIaMdXU~Bp@xLe@lBsAnAe@|A@rLi@jJL~L]tBkBrCk@rB?fK_@xC\\\\Tm@@qOl@qBbBgC`@qBX}c@XcB|B_FCwKzMoZbGgUhKySnDsMxCeHzDaMx@uF@gQn@cF~AcFvA}Bf@mDvA_E~MeNrAgC~DmLvGiHbAmBpAkFl@qNx@mF`@kAvCoDrBgLhAwAfHyEzDkFdAiDPsFsC{N?}EdBkM~BiTdRej@bAsEx@}JM{Z_BcJmBoDyXqRsMkM_BcCiAqFRqL[{GaG}ZiBmDaH{F{CmE}DgJ{E}R{FkPgA{AcFqCqGoLsA{JoDmIiA_LqEiH}@iDYqLfA}]TgCrAsEF{BwEoRc@{CYwH{DkUAaBbAaLcBqIS{Ik@mBeDaGYaEr@yHnGyKtAwFxDovA@iXt@cKzCaM~Qeb@tDsPVwEuCyr@sJm_AkAe^y@gLoFwj@_CkMyCaLkIoTiDiGuBkAqWkFuOUaZnKmDb@eXuEaEDqJfBaKqBmBwAqCaGcBsBwJgCcFcA_BsGgGwJGoHu@sCgB}AoTsJWk@Bs@|@a@\\ZDt@}BhFgHfHcF~@AfHQZkAEeL}DaFnBwEbFAp@pAtDCv@qCdEaIr\\sDlUqKtYc@xCaCj`@sBvGqF\\qApFB`AmFta@\\bP_Id\\cC~NwB\\c@t@\\lDkBtMwArHuCfJiBdKkAhAgElBuBj@n@tD\\bIeBjLk@bMD`Gg@pGp@jFnEfKv@pRfAbBbL{Cl^`AhGu@vMdLfF|Ad@c@b@kChBmC|SyJtCu@vDaE|Dm@fB\\rAbAzJrLvBdE`@}@KuD|@}@dBj@zK~@|GNpF_A`PnA`MnAbNyA`Bz@jACnKrFzBtC|AhEdBwAzAa@~Gv@', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[38.712757, -9.237308]","[38.712672, -9.237155]",8.331,13.92,89.9,7.0,140.2,652,163,True,1025.8,True,145.6,172.0,False,True,200.4,28.2,18544471402,18544471402,2026-02-19-054119-ELEMNT_BOLT_9D28-87-020260219-1254-cd3f9n.fit,False,14,0,False,176.0
2,"{'id': 3606646, 'resource_state': 1}",☀️ 🌅,34612.8,4407,4473,154.0,Ride,Ride,,Wahoo ELEMNT BOLT,17468334415,2026-02-21T06:57:49Z,2026-02-21T06:57:49Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,8,0,2,0,"{'id': 'a17468334415', 'summary_polyline': 'k|gkFlwjw@AyByBgMDiDN[r@e@bFcBHOAu@Sg@o@k@Gq@bA{HVKfCJ~Au@bAw@I{@iCmAsAoAGc@ZaAdE_E`BGlIxDl@h@xBv@~AdA|C~@pIL`FTfGbCd@AvAkAjGm@NO\\sAb@c@^@^R`@f@Pn@?b@cBnJi@|H@xYqB`m@@bCsAxd@StA_@hAeG~Je@fAe@|BWbFBpA^fB`DpFh@hBPrIn@lDPzDAdAk@hFD`DdEtVZrHR`B|@lFrChJT|AEnByAfFQ~BeAl^L~GRdDz@rCpBrCtAvCZvAp@tHb@tAlBbDp@vB^rFl@xBlGpL|@t@xClAlAxAbGpPxBpKtAnF`EfJtC|D|GrFfAbBn@|ArAdGlDvSP~FUjKRzBt@jCfBlChM~LhYzRz@pAl@|AtApHHlB?`[MtB]zAi@r@BlBa@xBgR|i@c@xB_BfNg@bAFfBkAvKE|BTzBfCzLFhC_@nCcAnCqD~EaBzAkE|BkAbBc@`B[hDQp@_DvEu@vB}@fGa@tLa@~BaAjDkApBgDvCyApBaA|BiBbGgBnDiBvBeH~FeAxAaCxGq@lA?p@b@NZ[PqBp@kC~@wBzAmB~GcGtAaBpBaEnBoG|@sB~AwBpCaCvAyBh@cBv@uDf@}Mt@aFn@kBrBeCl@kAVeAb@oE\\sAhA{A`EwBdB{A~DqFx@{Bb@cDC_CuCaOIyADgBnAcL`@gACwAxBaQlRwj@h@sC^cABmAb@uCJ{DAkQSsGuA}He@wA_AyAmAeA_WyP}MuMqAmBo@oB[qC?}BTgIUmFaGi[k@yAeA_BaH{FsAaBqAyBqDmIuEaSgGwPkAwAyCqAmAgAeGaLa@uAYqEWyAe@uAcB{Cg@{Am@{H]iBs@{A{CeEw@sC]eMjAi^VmCpAmEDkBWeBoC{IeA_GS{AWsHuA{IcBuIEsB`AeIDeAOwBsAkFQiIs@kC_DoFWuAG{AVwEb@eCf@kA~FyJj@cBL_AJgKrDmkADgZVgEv@aHhAkFa@u@{Au@cAV_BhBoEx@g@Cm@mAs@Iw@|@Gr@L~@KTK?kD}AwFkAoGOoCy@wB{@cA_AeB}@w@MiGoCgAeA}@Hi@z@_EtDaAZ}D}A{Dk@{Ag@_@_@UiAa@E_@h@EbBMbAc@|AUhBmA|FWjBi@vB?h@h@zAJpAAbBQbBg@nA@xAe@`CAbBLn@XHzBmBbFkCnABb@v@h@`DCj@hA`G', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712727, -9.236981]","[38.71247, -9.236643]",7.854,13.28,89.9,5.0,171.5,354,183,True,754.9,True,151.5,168.0,False,True,96.6,8.2,18565524049,18565524049,2026-02-21-065749-ELEMNT_BOLT_367A-7-020260221-26489-9jiyyi.fit,False,0,0,False,136.0
2,"{'id': 3606646, 'resource_state': 1}",Endurance 😎,77504.2,11449,11955,823.0,Ride,Ride,,Wahoo ELEMNT BOLT,17481327183,2026-02-22T07:27:29Z,2026-02-22T07:27:29Z,(GMT+00:00) Europe/Lisbon,0.0,,,,6,13,0,1,0,"{'id': 'a17481327183', 'summary_polyline': 'unhkFjckw@gDs@s@kCb@iGfEoH_@aFfAwHKeHtEgXbPjElEoEnBYdH`C|A|BhIfEjPCpHhCvLyCfByBjBnBeCtRGb[mEhyAaJ`Rw@`JnFhOrA|Sk@`NlEnWnAnO`EpPoBzKeAh`@ThK|GdO|@xJpDrIlAtJ`HlMhH~ElMjd@lEvJ~O|QxFxZAfUnAvFnQfRpWjQrDbJt@xIU`\\}AdJiR~i@oDpTiAhRxCxPG~F}FtKaKfIuAnIeEfHoBvVgBvGeIlJaHbQkLtKuElKmDfOw@xZiPrg@aPvYuPxb@]nDh@jKw@hCc_AeD{NpCiOOm\\lYwDrAak@_Gv@vEtIhHpA~CcCnWlCn\\wAlIQ|S~CvJt@tG_El@h@jAfBmA_@g@Az@rDML_AaGuSs@QnCxLFtEy@cEcPzBiFtBlAvJ{KpFu@mB[lBaIjDwLDmCtD_DgFeDiBWyEkUmHkFiE}Jv@uRvCiJwR{Ix@cE`DoFx@eDy@{C{QaCuEHnCgGuCmB|EcFgEgDIkCyD}@vAqHr@v@rDiDzEiH~CuAfImC?pBdHsEhHoEb@sEnEsBEwAoBgB`EkMVd@zCExCgGdGmNMoAlNf@`Mz@lJ_AhDuD|DmBtK~CjAzDbHy@nExH`Ax_@eH~HhEnA|B}HvKR`FnGzGPbGk@fLqJxJ?jFjCbKmBvYtF~HxAlIzDtEbDTn@bB]}AmCMuG{H}@~AsGYeFcHuJjAaBxKRzJ~CpC^tJwB~HgLrQHpOrEtGpA|H`HdCu@pBlAd@XpBnC\\`AiAg@}HuDaJxE}KbA@pAbFxHzM|XqAxEwEdBoE`MwHnAeGrD_EcAaG`@_DpJ[tCyBhAwH`FkK_H{E?qBtEAtE{FzDWxCeG~IrDnB[|AmKyEsLtDwGsD}KPqD|AwApJ~CbMX~RpDxThHhIsG|GwArMqI|RwE~HsJlImA`NmFjKWbSyHn]kE`EmEn\\{N`j@me@bK{@dGqChFaQxCiCmGwJoAsGVqIqDeEfDsR{Buf@{DsQiEsEkBqFKgO|DmK\\ke@tCiHKeKbNiZjGaVfKsSbO_e@v@_GNqTjHiVbOkPvGyPjIuJjByH`B_UlEgHtA_JfJmHfGwJf@yG{CsO?yEbFeb@xTkq@p@wKEcVmAeK}BsFyYmSuPwQ_AsFFiSeGe\\iKeLgEwGcSqn@yGgEoGoL}AaLkDcIeAoKeGoLa@cLj@gSjAW`@oCqA{AzBcR{EiRL_NuD}Rf@{SiB{TfAoMwJwAp@cFjHmMv@yD~DcwA?oY|CmVsCeBeDzCoEh@qByAgAhE_Z_GqTaLkIzG{PqG{Fj[z@xDeBpPp@`BvLoF`C|L', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712856, -9.236972]","[38.712295, -9.236403]",6.77,18.08,85.1,12.0,150.1,394,167,True,1709.2,True,151.9,172.0,False,True,468.4,11.8,18578608049,18578608049,2026-02-22-072729-ELEMNT_BOLT_367A-8-020260222-59045-6xseg.fit,False,1,3,False,354.0
