resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,workout_type,average_temp,average_heartrate,max_heartrate,suffer_score
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - 2min Capacity,8499.5,1874,1874,256.4,VirtualRide,VirtualRide,MyWhoosh,16822530898,2025-12-23T17:54:40Z,2025-12-23T17:54:40Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,4,0,4,0,"{'id': 'a16822530898', 'summary_polyline': 'ga|_Hwh~r@pAbHf@bD`@pBNl@\\v@PVRPJDVAxF_BZGJBHLDP@f@?dBGpFCtLCd@CPILWN_CXKHINCR?l@TpBTfDF|AHzD@|FEfCKzCG`AERO@s@GkBa@e@?WHo@`@}ArAKACCyAsFaBkFQiAI{@M_DGmAOmAQkAQw@Q_@KAMJO`@sB|GQb@]r@c@l@kA`AiBjA}EfCsDzAuAn@u@b@yAfAg@\\a@NmAZw@VgBz@a@XeAnAa@Xi@JoBDEAKOIYm@eDeAiG[_BK]_@s@UQi@YwAk@SMOUM]Ac@Fa@J]j@wA^{AF_@DcAAcBC_@I]MYOUc@c@y@q@u@s@OUK[C]A_AH_G?}AIwBe@gDcBeJeA}F}@}D}@qDoAmEgA{Ci@sAg@eAy@yAc@u@y@gAY]s@q@iA{@wAy@{@[aAUaAMw@CQ@ODONOVQl@i@~BStAIx@Ad@?jCQxBc@nCS`@MJMDOAOIIMMc@UsB_@uCiAiHQg@[g@SUqAqAyEcE}EcEeD}CwCyCq@i@a@Sm@Uq@IoMYc@BaATwEzAuFnBeAj@_CpB}@h@yAn@oDfAsAl@yCbBkCfAsBn@wAZeC`@}C\\{A\\', 'resource_state': 2}",False,False,False,False,everyone,False,,"[47.335528, 8.518941]","[47.37471, 8.520486]",4.535,13.58,83.0,144.1,272,154,True,270.0,False,False,False,216.6,0.0,17913850748,17913850748,myActivityfile.fit,False,0,0,False,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Dia de limpeza 🦠,71525.0,8533,8698,451.0,Ride,Ride,Wahoo ELEMNT BOLT 3,16828131105,2025-12-24T09:03:31Z,2025-12-24T09:03:31Z,(GMT+00:00) Europe/Lisbon,0.0,,,,9,19,2,1,0,"{'id': 'a16828131105', 'summary_polyline': '{mhkFndkw@eFk@s@oBrB_K|B}Fq@eDlBmKOyH~E{VnItAnEbCbGwF|AQpTzJnSvBfElBxLyCdBsBx@Zj@pAcClSEn[aEdwAcApD_H`M{@fJh@pDlEdJHlHdAzJk@lHFzD`E~Up@~K`FjTkB|KgAt_@\\bMt@pCxEfIdAhKjD~H`BzKhGdLnHnFnFpOzEnSpEbKlLfLrB|DxFpZX|FSbLjAzGpPjQzWtQ~BjDtBnMGj]kA`E_@|EgR~i@}BpQm@nAHlBqAdO~CxQa@nG}FlJcJ`H}AzIgEbHgAlHc@|LsA`GyItKgGdP}FbGxFaFrGqP`JcLlAkFj@_Nx@yFfEeHlBgKtIoGtFoIp@kD?{C_DuRtBaQWk@c@h@H~AsA`N`DdSq@hHuFrIwGdEoAhBqAdIkEnHeA`Hi@tMgBzG_IbJgGdP{LjL_FnKwDrPIbSs@nF{IxVuD|MyPr[sB~HsMrYf@rOaD~GB|Ki@zKJ~KsD~J@xK_@jCnDhHhDhDnDvPlBrWJ`Ic@dIyBfNrDxDM|J~BtIInAoQlUuIvOcHhEoApB{ZjWmZbMsF|FgQzCiJTmNzFsQtBaRvGeCYmKzLuRpEyL|HoHdBqIpGwPiGuVuEkLWeJiCoBd@a@tCxA|Fn@u@vDUrOLdB^rEtDlKKfC`F~EpEpYxFpEjEbDJ|HrDhB|DMtLrCzFlBrQfJ|VtGhCxBrCt@nDdAlPjBfFhDxAnJkAlIxApBlBfH`N`Kt@fVhOpLxM`RzH~IjAjGaA|EeDbD}EpJiTtHoJjWe_AtFaKjHmUrEuJz@kM@ah@eBoQ^c_@[qTrBaKlRyXnAsM|CiInBaKb@cYoAaD{FkFaI{BgD`A}B_Gs@g@mG`E{@a@sAmCe@AkFvEcBVgDs@gC_Cu@qB}@iLaCce@sD{PuFqG_AsDIwNvCcH`@oBZwc@|CaJKuJdN_[xFyTvJwR`E}NbJaWn@sERuUzBkI|A{Bf@sDz@kA[Z?c@zBaElK{JhHsQpHmIrByHf@uM|@wFhEiHtAaJtAkB`HsEpF}Ih@{GwC_PDgF~Esa@`Ryi@jAiFv@kHDaSe@oLgAoFyAaDwYwSsPqQeA_G@qSgGe\\_B}CaH_G_DoEuE}K_EsP_G}PqAeBcFqCmGmLyAkKgD_IqAiLuEkHm@_C_@wLx@qZXkFxAeFFiC_FySm@oK}DyU|@wOcBuIQ}HsE}J[mD|@aJ~GsLz@mD|DivADw[vC_VeCcB{ChCcFz@wBeBw@x@HrBYV_ImCgOgB}TeLo@J}H|GyLoD{AsBc@d@iFnZz@bCHvBqBzLZzCb@N`IoF', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.712791, -9.237085]","[38.712202, -9.233863]",8.382,14.6,89.6,148.2,544,162,True,1261.7,True,False,True,144.8,4.6,17919530943,17919530943,2025-12-24-090331-ELEMNT_BOLT_9D28-72-020251224-680791-ny2ai4.fit,False,0,1,False,10.0,9.0,160.2,183.0,372.0
2,"{'id': 3606646, 'resource_state': 1}",Frioooooo 🥶,61951.2,8724,9135,743.0,Ride,Ride,Wahoo ELEMNT BOLT 3,16843716795,2025-12-26T09:21:53Z,2025-12-26T09:21:53Z,(GMT+00:00) Europe/Lisbon,0.0,,,,48,13,1,1,0,"{'id': 'a16843716795', 'summary_polyline': 'wi_rFdeyl@yCpDoC`CiFpCuB?_AsCQIeIlE}Ae@}CcEg@uAs@_@uKqNe@FiBnBeE|BwH`@sDq@yCaCeEgHyQoc@u@kE{@iBYeCSEiBt@uK{CeDaCuRu@kLiFuJtAoGOeL~BmXyJyQdEu}@{BaBXwGrC{@F{mAie@ql@aGazBgqAsj@{HcBaAoAV}W{DqkBelA_qAgQo`BcJqC?m}HxhA_C`A{B~F{AhAkAIoEqCmBg@eBAaIfAmb@nNuHnAk`@uAmBX{DrBqAPwA}@gBkE}Am@_ALkFlC{b@dEyT_FsUwA{J~CoIgBeCC{CNkIhCmAs@oDqIm@iBcFyAkNyHukAnHsI}@gNyFsB]mMdG}FBmGhGiIxGkAzAmCnEyAhI_@r@cLxCwC{BoD}FY{@W}CaAsBqHyFcDqDkCu@aBeAgIH_Cw@iDt@aAlBwB|@cIkFOgAn@}EEeAoAyBuAi@}DeD_C_Fs@_MgJcTuD{FoAyHuByDsDoPiBcGaCqELyDm@sCeCgDgBaAeAaEaHoK{B_GqD}EiJcPaB{@wAz@WzBvBfH~Hx\\`Cr]Kp@s@\\oEmAiBDeE|CkCz@yCfFuAtE?v@p@vDGjAyDdBi@rA[pEnA~F\\`EnAzAfDX|@`@zAnBj@pBc@jGLrFMhAi@b@qDBk@p@SfA?nC~BvFAhB_@p@_@JsEgCiDp@k@s@qB{GuAmAkA_@eGjBwCpDeAxB]~AQtEV~JmCpI_AtKGrF^|AhC~FhFdFDxB[n@k@ViPjCcAp@_AdBYxC?zHWrBgD|GuBnAUn@IdBgDhH]~Hn@nELxH}CvFWzJmCbE}Ap@_@hCcBdEExKQtAi@bAcENuBzAiDdAaEvDaDaDcNgQmGTsP|IgDp@oVsCkBw@qC}BiEmAiMUaAq@aBj@{K[cLzDaGaAsEyDyA[uAf@iA~Bo@TqWkKmJmBqBgBeB^yAKeZaFaA[kAgA{B\\gIsAuFqCaAeBkBSgGaCmPgA}ZjAiE~AoKfM_EtCgXlImBdAuVhIkCd@WZBvIlErx@G~AaC|PEpCbEzUVb@nAj@zBxGy@nBuDj@{BfA__@xg@gE`EwFtCgHzAYi@`@{Dm@qFuAoCk@Qa@v@}@tJyDzIyAfBwCm@oBHaHzEk@MqBkCsDJm@f@EtBc@n@cDw@iAGoA`@yB`Bw@Yc@k@{FiOeBu@mGcAy@j@w@bB_@nB@xDiBdEaEzDuAl@kAo@_AwEiB{Fk@c@uDwA{AaHkAeBeQ_F[JyDjHo@VkAG', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[39.812355, -7.506595]","[40.236855, -7.527038]",7.101,14.18,85.1,133.6,330,149,True,1166.4,True,False,True,743.0,319.4,17935440266,17935440266,2025-12-26-092153-ELEMNT_BOLT_9D28-73-020251226-7-hbr2tv.fit,False,26,1,False,,3.0,145.0,162.0,202.0
