resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,workout_type,average_temp
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Endurance #3,31801.9,3731,3731,36.8,VirtualRide,VirtualRide,MyWhoosh,17352537514,2026-02-10T15:50:05Z,2026-02-10T15:50:05Z,(GMT+00:00) Europe/Lisbon,0.0,,,,3,0,0,9,0,"{'id': 'a17352537514', 'summary_polyline': '}oxrCkvcmIeEFoAC{AKyGo@wKsAuTcDcL{A{Dk@uE{@sNaD}FiAM@IF_@b@KXGZ?^H^Rj@JHhOp@bCNtBP`BTpDp@~A^hAb@b@TlDnCbElCfHfExAfAjB~AnBjBdIdIbB`B|AnAvA`AvBdA`Bl@lOnEzBh@hBVzCT|BAzAKhAMv@QdAe@n@e@Z_@d@q@j@kAjDyJb@oAb@eB^eBN_AJ_A?SGk@GSUa@][OGgAUwBSoOsBqGq@sD[}BKcB?}CFyBC{CSeKiAkFq@cWuDqNoB}E{@_NyCgHwAM@KH]b@MXG^B^V|@HLvDTnJ`@|CTxBTbC`@~Cp@lA^dAj@hA~@dBnAvDbCnGvDtB|A`BtAvBpB|K|K~ArAnBrAzB`AfCz@nN`EdAVdBXbALtBLbB?rBMnAO~@Uj@UZSp@o@r@eA|@kBbCgHhAoDt@mDTeBAi@Uy@W_@OKo@WiCWsOuBiFk@qFe@_CKcHFmCImCUmCYkJiAaWsD{L_BaEo@oHyAuJyBaGiAMAKF[`@OXGX?\\D\\Xv@LFbPr@dEZ`Dd@bEx@tA`@~@f@xC~BfFfDvFdDrBxAnAdA|BvB~K|KvBhBtA`AzBfApC~@zNfErBb@pAPzCT|BA`CS`AM|@Yx@e@p@q@r@iAt@aBpCaI|@{Cl@mCPiAHw@Ae@EQUq@WY[S}@SkBOmKyAcI_A}Fi@yCOiHFyAEyAIoGm@{KuAmUgDoQeCqFeAyMwCqFgAO@KH_@d@MZE\\B`@X~@JHhPt@rDXjCZz@NlDt@zAb@~@h@~BhB~B~AfDtB`E`CvBzArCbCdE`EbHbHlB`B|AbAdAj@vAl@jCx@lMrDxBf@vARzCTbB?vBMjAO|@Sv@]r@i@t@aAn@kA|@aC`BwErAiEn@_DPyA?e@AQMc@Q_@KM[SaAWcCUqMeBmKiAkCSmBI{A?eDFwBEaDSsI_AmIeAiUiDoKuAuCe@mFcAqMuCsFgAM?IFa@h@KVEX@d@V`AHHLB`Op@nEZtANtB\\dEz@|@XfAl@fBvAvDhCpIdFzAdAtAhAvBnB`I`I`C|BtAlAxAdAbAl@fAf@tDlApMtDlAXfC^|@JzAH~A?vCUt@I`AYn@[j@a@n@{@r@qAZu@lCwH|@qCd@sB^sBJcA?OEa@Sm@]e@g@Uw@OcBMcOqBiEe@yFi@aDQ_B?eDFwBCqFa@iDa@', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[24.212894, 54.746536]","[24.219494, 54.747271]",8.524,13.54,88.6,149.0,237,158,True,556.0,True,151.9,170.0,True,True,4.2,-3.0,18449272097,18449272097,myActivityfile.fit,False,1,0,False,117.0,,
2,"{'id': 3606646, 'resource_state': 1}",Indoor,0.0,3612,3612,0.0,Ride,Ride,Wahoo ELEMNT BOLT 3,17370030137,2026-02-10T15:51:34Z,2026-02-10T15:51:34Z,(GMT+00:00) Africa/Abidjan,0.0,,,,0,0,0,1,0,"{'id': 'a17370030137', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,b16394595,[],[],0.0,0.0,89.9,126.3,229,136,True,456.2,True,152.6,170.0,True,True,0.0,0.0,18466827055,18466827055,2026-02-10-155134-ELEMNT_BOLT_9D28-81-020260212-32567-a14ay.fit,False,0,0,False,117.0,,16.0
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Zurich,14247.5,2889,2889,345.0,VirtualRide,VirtualRide,MyWhoosh,17359540379,2026-02-11T07:09:34Z,2026-02-11T07:09:34Z,(GMT+00:00) Europe/Lisbon,0.0,,,,1,0,0,2,0,"{'id': 'a17359540379', 'summary_polyline': 'ea|_Hqh~r@dAvFfAtG^vAPf@Xb@FFTLH@VCbGcBLAJDFNBR@f@?lAKdNAlFG^QTa@HeBRKDKJGP@~@L`AZpEF|AHrD?rGItDK|CERMDu@GkBa@UAU@WJ[Rc@\\_Ax@KFI?ISqBoH}@mCSgAOaBK_DQuBU}AQs@K_@KIK@QZe@`Bw@|BSr@k@zAQ\\Y^{@t@qBrAcFjCmEjBoAl@s@b@qA`Ak@\\YLsA\\s@TiB|@_@V[Zi@r@_@VSHUBgA@a@BSGK]e@aC_AyFq@}CK]_@q@SQ}@c@aA_@SMOUM]Aa@Fa@J_@v@sBR}@Fa@DaA?cAEaAWw@QWc@c@}AqA_@k@KYC_@A_AFaE@aCC}AKyAaA{FgBsJcAaFgAsEu@sCuBkGy@mBmA}Bg@y@y@eAs@w@s@o@u@g@k@]w@]w@Wm@OoAO_@AY@WFMNQ^YfAo@~CKdAAb@?rCKzAe@fDGPUZMHM@MAWYEO{@{GgAcHM]Ue@S[w@w@kE{DaFeEsBkBiCcCmBqBm@g@a@Us@Uo@KqMYe@By@RaGlB}DrAo@Zi@ZaCrBgAn@w@\\wC|@cA^wAp@uAx@qAl@gC`AwBl@aB\\qFr@{@NmBh@gCz@{Ab@yBd@gBXwEf@kRtAsAN_Fx@}ARcAJgA@k@Ek@IqA]OMYc@a@D_@IaFmCiB{@k@_@sCiCqBkBMQIUEW?kAUeBOo@U{@c@oAc@_Aq@kAeEqF{DyGSk@EYB[HSNM`@O~@OtBO`@@lAJd@AVGTSPYFUB]?e@C]G]Sg@gBuD?EMYS{@Ko@MgACi@?wAJ_BJ}@Ny@v@qD^_BVy@n@aBXg@l@w@`@a@x@i@`Ae@bHsCpEyBj@]h@_@v@{@p@_Az@wA`AqA`@e@v@m@d@WtA_@PMB]E[w@gEe@mBaAsC}EiMi@aBUy@Y{AGs@Iu@SkEMwAe@cEm@{DSo@[i@[a@oAqAi@u@Wm@GY?[BYDY^eAd@}@`CcEPg@@]IWy@qAq@}@CSNa@fBaDTk@pAiDBQGQUU}@i@a@[o@m@', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[47.335528, 8.518949]","[47.38752, 8.561096]",4.932,14.64,87.5,130.3,173,134,True,376.4,True,140.1,155.0,True,True,253.6,0.0,18456282319,18456282319,myActivityfile.fit,False,0,0,False,54.0,,
2,"{'id': 3606646, 'resource_state': 1}",Fui enganado!!,57784.6,7175,7210,424.0,Ride,Ride,Wahoo ELEMNT BOLT 3,17370622535,2026-02-12T05:43:23Z,2026-02-12T05:43:23Z,(GMT+00:00) Europe/Lisbon,0.0,,,,32,8,0,3,0,"{'id': 'a17370622535', 'summary_polyline': 'snhkFpdkw@wEk@a@q@EgAlBkJzBaGg@uBCuAfBuJEgI|DyTb@k@vHlAbFhC`GwFtASnTxJhS`C|EnBpAOtAmAnG_A`B}B~@h@b@pAaBzKa@xFEn[{DzuAy@tDgHhMg@bCWfFb@pDjDdG^tAL~Hr@`ER|Dk@vHD`DdEtVh@bKdFnTCrBsAvEU~BeAt^b@vMz@nCnErHdAlKlDbIt@lHf@dB`G|KnF|ChA|A`G`QlEbRlE|JzC|DnGfFnBlD~Fd[VjGSrK\\dDj@jBvA`CdN~MbY`SnBlEpApJ@|[_@tCq@xAI|CwRtk@uBtOw@rCG|DeAvL|CdQBrC]fCiAvCsD|EcHnEqApBoAzHuCdEu@lBcArGg@rMkBjHeIhJiDfKgBhDoMdMyDjJyD|OGtSs@hF}DdMoClGyEpPyOlYmCfJcMzXIbCl@dLa@xAwAxAa@pAAzLk@nKNdLW|AmBxCm@vBA~K]~BbDbHvDtDtAfFxAxIrBtXFjGi@nIwB~MNj@tCvB^pBDw@W_AaD}ClDaSScMaB}UkBiLuAeF}C{CyA_Cw@}BMgB?qNf@iBpBaD\\uBZiXAgJZcBzB_FEeKtMiZ|G{VtJoRdD}LlDsI`EqMl@}FG}LNgE|BmI~A}CxAsGfCeExJeJhBmDrDsKdImJhBgHh@wMr@}Eh@gBdDyE|AiJlAaBtGeEtD_F`A{Bf@kCFyCoC}NOcDpAkM~BqSz@yDrQsh@bAcEn@_JI}Yg@eEsAyFqCuDaW_QwMqMyAyBgAgFNoLYqHqF{YsCeFsHsGoDmGeCeGcEiQqGyQiAqAyEkCsGwLsA}JoDwIgAoKyEyHw@yDU{KhAs^bBwHF_CyE{R_AuMsDoT?}B`AeKgB_JQoIm@wBwCgFc@uBC_Bx@iIlHsMt@yDxD_vAAuXn@kJpCwL`R_b@pE}SDoEsCmq@yGuo@iA_Jm@g@uWvCgm@kDmZlMiCmBmC^u@YoEpAwCO{BoAaKuIQZLhEw@d@YlAq@Ny@O{F{DkJoB_VVyDzAyBnE]xEbAvKc@dA_AZwZqFqVsJ}@w@eCk@xBdBrBXbTpIb\\`GdAg@\\yAcAqJ?mBb@kCfCmEvDcAaA|B{@hMsAfCP~Fi@tNsC~EkEr@qCzBlAnAtA\\jK{A\\jBEp@wFxBeB`EDtBl@h@hBJEpBLd@jI~@rDzBv@bBl@lDhD`Ap@n@~Nj`@hJxI|@dBMv@kFjJcDfK{@tH_AbBkDjAiEk@yA{@a@PeD~MwAjQ~Jn@lIwAnBBzCn@rKnG|AhBlB`FdAgAnBu@lGp@', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[38.712872, -9.237052]","[38.712876, -9.237347]",8.054,14.0,88.7,139.8,545,168,True,1004.3,True,153.3,183.0,False,True,159.6,-5.8,18467420990,18467420990,2026-02-12-054323-ELEMNT_BOLT_9D28-82-020260212-95662-h68j6a.fit,False,19,0,False,245.0,10.0,10.0
2,"{'id': 3606646, 'resource_state': 1}",🌬️,26839.0,3981,4460,497.0,Ride,Ride,Wahoo ELEMNT BOLT 3,17391440225,2026-02-14T07:36:14Z,2026-02-14T07:36:14Z,(GMT+00:00) Europe/Lisbon,0.0,,,,13,8,0,2,0,"{'id': 'a17391440225', 'summary_polyline': 'mbrtFde}l@dAjAzA\\lA]xAkB`@UlBL~EfDdFpEhBx@\\?d@U`A_Bl@o@b@Ql@B^VZp@fAvFJhAGp@[b@cCfAeAz@cAbBg@`BWrCPdSKnBs@pCqIrP{AxD[dDeBr]BtAVnAd@`A|@r@|AT`GUz@HhAj@v@tAPxAKhBUz@sCfGYnAE|@NnBzBjKFvAGlAm@fBw@`A{RfKw@n@o@~@]lASlBNhKO`Dc@fBwC`I]~AOhBCdCHlAxBrKXpDsAhi@|CtoABfEUhAe@|@wAj@u@?s@SqCuCsAk@y@DsDhAg@n@MbANvAnFtPt@v@zGtDb@n@R|@C`AWz@sDnE[lAj@nGUvFVdAbAzBFj@Gl@aLlQgA|BQlADh@P`@`CvAXf@Hb@GxAqA|FCl@Lv@xBhBvF`@nAn@^t@N`ARvGCvA}@vCMrES`A[l@o@b@_AHeDqA_AF[ZQh@EpEo@jBi@d@o@TuC?m@Pe@b@gArBk@b@g@D_CUmChAiCXoAQgBcAo@Ai@Z}@|Bm@r@aDx@cBBiC{@{@CaPdF_Ig@}[pFq@b@q@vAIp@Vx@tAnBSk@iAaBEe@Fc@p@uAx@g@f[iFpGh@p@CbPcFp@@xC~@lBI~C_Ah@y@n@eBp@e@h@BrBfA|@LlCYfCgAlCRl@Kd@a@dAmBd@e@l@O~CEpAy@\\m@Rw@Fy@AsCNq@TWbAI~CnA`AGx@k@Va@R}@ReF~@cDSuJg@gBmAy@eGe@sA}@a@m@GqAnAyFHiBi@qAwBiASa@Im@N_AdAaClK_PXq@BuAmAoCQ_ARoFe@qEAiAV}@tDsETcABcAU_Ac@o@}GwDw@{@}EeOWeACw@Lu@f@q@bCy@zAQdA^lDjDv@Rl@At@Ul@i@`@y@PcAQ}Om@gRaBeq@tA}j@[_DsB{JMyBD}Bl@sDvCaId@qBJoCOeKLaB`@yAp@cAz@o@vRmK~@oA`@wAJqAGwA_CsKKoBHeATaAbDuHNcBMeBSm@k@w@kAm@aAGyFTcB[s@k@e@_AUiAEiBfBs]ZsChAwC|ImQt@kCJeBMcSTkD^uA~@_B~@y@vC{ATa@Hm@EcAiAcGa@y@_@UiADo@h@qAlB{@L_CmAeEyDkCiB[y@OMe@H_BUe@DoBbCeAZ{AYe@c@s@iA', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[40.241425, -7.526395]","[40.241526, -7.526281]",6.742,14.42,80.1,128.9,374,169,True,511.4,True,140.6,175.0,False,True,689.4,532.4,18488288211,18488288211,2026-02-14-073614-ELEMNT_BOLT_9D28-83-020260214-44573-jz46z.fit,False,3,0,False,85.0,10.0,3.0
2,"{'id': 3606646, 'resource_state': 1}",Penamacor,96196.9,12312,13211,1160.0,Ride,Ride,Wahoo ELEMNT BOLT 3,17404065928,2026-02-15T07:29:48Z,2026-02-15T07:29:48Z,(GMT+00:00) Europe/Lisbon,0.0,,,,18,9,0,2,0,"{'id': 'a17404065928', 'summary_polyline': 'wprtFbp|l@aFoL{B}@{EgIQeEeEyKoF_@}CiEsIb@_EeNsDiC{GnDsHJqBpI}O}M}OeBaCrBoDFuSwOuDc@cDnCyCoDqE}@gDiGgGiAyDoHuIiFqHqJwJ`KsAnFAnJ_EpJeBsEaBeUV}Fu@qFmLeIoIrBmEu@kMhQ}Cd@tBsOc@qCjAqCK{LaEeJoDy@aGbAaAiBrAyBtHw@lAoHY_FsEmI}P_LaEoFeHwC}Ae]gKeLcCiX_FaKbAiOaA_UvAaKuWs_@}b@}^m`@ca@mQeUoEeN`AkBpGk@pQeLxBcTjIu`@zAi^sGeZpFyIVmOfEe_@Ay[jB{CdRqJrBcFM}FwMyi@fRg_BNi~@zFmKfMqJ|BwIjDrDtKsOnEaAdQg@hMuJrGyI`LaGEoJjYkg@f@wm@pB}N~_@g`@bIuGvCeHjDmA|KaOpIiThKkIf@}a@fFoRjJ}CnOiRxI{Ch]q\\lFyNdIkK|FgRpAqWbEiNR}IjV}sAbMma@jC_XtWwf@zYkr@bOaGd\\kl@hOw`@d@iMfCsGhCqOw@oL|@sMrUqqAf@uYmG}\\tA_`@cHmToFcY}EeFwJhCaN_DyFyE`Pe\\^wGmAyJQyXlA_[pWe`AvRyd@dFgYpVgz@`{@ya@~KiJrOkC`H`FtZtk@zQj|@~^|w@lOvMvLfRbQzEtG{@zKcLzVaa@nG{DrQtBlDxDxAzFtCnoAlMby@KtGmDzQAtMnHp[nEtg@wIld@bGjx@eS|eCsE|ZkL~Wb@`o@sXlb@xCfn@q@zQ}JxYeF~ThGnk@~A~e@|F|`@nAfVvCxJfL~dA\\nPiQ`o@}D|IoSdRcEfYeFzIcAtJsRpa@uGnYue@fu@sGvS}JxEiEpJkAr^oBpQqBhFiInLkFrDsKoEoDi@}BtAqFyAmBtFqK~B}GvGy@rC~E`NpEfArJnIl@`RzLAlD`Jz@~SjHdWb@nZnEvd@qJlx@jA|[uD~TcG`ExA|DFnE}EtL|CzIfEhCY~LeGzImLjAwArDeAlRyY|XoAdFnGvU`GbApOnI`BxGlCdDeBpHtCnHnAxKzHdDZzDuCpXnKh^c@`WfEzKPzLkApH}HfPiBzFiI~EZdP}FdFqA|DZpJ{Dly@rE~z@qC~WbEfVfBrAvBfHq@|AeIdCae@vm@wOhFe@sM}BeD_BdLqEdKkAfAiGa@}GvE{E_DqC`@{@|D{E_AqFzB}HiQcJyB}BpC]`HsBzEwG|EcAq@kDoMeFiCiCeJcQoFcHhIuR{A{EbDgDyB', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[40.24152, -7.52627]","[40.24128, -7.525854]",7.813,18.62,87.8,154.5,396,167,True,1901.7,True,154.4,171.0,False,True,658.2,408.2,18501020800,18501020800,2026-02-15-072948-ELEMNT_BOLT_9D28-84-020260215-7-s4fead.fit,False,7,0,False,417.0,10.0,3.0
