resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{'id': 3606646, 'resource_state': 1}",Asturias  🏔️,74120.0,10790,11385,1131.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16873548545,2025-12-29T09:55:29Z,2025-12-29T10:55:29Z,(GMT+01:00) Europe/Madrid,3600.0,,,,23,22,5,1,0,"{'id': 'a16873548545', 'summary_polyline': 'a`rgGrl}b@`AaFhDfIxDz@~EeDh@rDj@aFaDyLsFkFcHeZkBuDiGaFwA_S}BmAaKpCcBoAAcKsWimA{@oSp]eOjEz@~Ni@~K`ExFdFjc@jp@nKnKpQbIrb@hCxD`ExCtN`CfEbR`I`FBdFsB`EsF`LwWxM_DpOyKfEU`[bF|C~CvHpS|K~IpQfa@jVvK~Oi@~ZwGhPP`LaDdKzApDyBnSmg@UqJuJuSi@sFxAuQ`H{IbC_QdDcCtLpLvZ`QfFhJrYE|CpHjGjH|PoAfDzBtEe@lIfCpEu@pMvFvJmA~LdI~L|BxGg@dHwEtK^|CfDxEh@rDzC|AnF~HxBzOzM`LPhM|GrClE|KnLbEmAjC|@|DmE`JmAxGgEnGo@zF~@aE}D_K|@aHcBuFdBuBcFtB_HiIgAdHaIzAaEpGqBhC}HRsD`CwCtHK`CqC~Lp@zBiB`DbEdKl@vEyFnAi@`H`GdD`@`BUtBuEhOnArBG|AqBpFLnO{PmBaEa@kIgDc@oE|BgA[SyAlB}KrAeAtG^vAoClDaAxD{K`JnErA[h@iHlFgFK}GjB_FZsLjDe@j@_JxAkAb@aDxC{@bByHxBFfFmG\\p@gAtCfEyA`@sB\\bCcBfCJvAnDsBx@{FtCgGdJdExFQ~BmC_@{E~AkBvHhAzIvNjEz@hCvE`CJtByIrRoMYuF`HdC~CoEfDq@nDqEzEmJbDuLhFqCbEeGb@iH}@uI^eCrJoD`JvBuIwBeFh@ySeQkFoBcL}Nq[qTeKmPaKyTyIcM{DyL_@gF`BcMx@cNLkJeD{H{DsWyCmEag@eIqMeLmJP}JyBAoIeBeH{FeAeUp@qWi\\iI|@wEvE__@{C{IPwGhCiFkH_LoFcRa@iSeJsd@gJuSgHmPkKuUcIwc@b@mKnImRjT}UtKyHxKGnIeBpLyIta@g[jn@e@rFl@fO{@vFa`@`]gCnFyA~L|@vRnBzEhUj\\tJ~u@WxQuCzTRtN}CpLiHhM}GtT}@tVmGfViMvYiO~GgCzO}HpLqAzVfKrUn@lHy@vEoRrc@}C|AmJ{AsL`DsOSod@rIeL_A_RmKgNk\\aNoMmCeIw@b@n@NBaAuGyLcDoBcYeDgEn@}NlKqMxCeOlZw@lCcGdCqH_@aPwHwBmEoDsObFgJv@gIsBhIcCHkBwDcC{AuVPiUyIyGeHgGuRqKqKaFkL}R_MwFuPiCvG}K}IgCzGeDhCmD@mDsD{ArDKlKqWpMUhA|AxSnWtjA?|KbCtA`JoCpBt@dBvSrH~GrBvEnFbW|EfExCzIQpHg@qCaF|CeEyA', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[43.351448, -5.891607]","[43.35106, -5.889447]",6.869,18.0,85.6,5.0,145.0,367,161,True,1563.0,True,152.0,171.0,False,True,793.6,129.0,17965817038,17965817038,2025-12-29-095529-ELEMNT_BOLT_9D28-74-020251229-7-4h85ab.fit,False,22,2,False,341.0
2,"{'id': 3606646, 'resource_state': 1}",Morning Trail Run,2934.0,1149,1149,43.0,Run,TrailRun,,Suunto Race S,16920688874,2026-01-03T09:26:36Z,2026-01-03T09:26:36Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,0,0,1,0,"{'id': 'a16920688874', 'summary_polyline': 'uvgkFhhkw@h@x@BZATIVyBhEAB@JHXp@h@tAbBdAbA`@n@\\jA\\`BAd@Mf@@VJRT\\N`@d@j@\\n@\\`AV^Fn@?bAFh@NJR?n@GZOXCTGTAp@NFDP^D^SvBQ`@CPN`@LLXAx@Z\\D`Ab@VBLAr@]JKHARQREJIJABBR?`@L^`@FPB@BI?e@Lq@LWD]AwBGu@IMWIwBe@w@GYOOCkDOIGEI?UK_@?gAIOGCMAc@BoAAUBQGGA}@ZGFc@HGAg@m@]o@i@{A@KJ_@A_@KQKGKIO[]wAKs@_@y@Wa@gDcD_@_@IMBGdAiBBO', 'resource_state': 2}",False,False,False,False,everyone,False,g2084363,"[38.712632, -9.23705]","[38.711968, -9.236985]",2.554,4.4,81.8,23.0,179.6,256,179,True,206.4,True,141.4,156.0,False,True,97.6,69.0,18013653954,18013653954,6958e58586a8006f3b614691.fit,False,0,0,False,21.0
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Active Recovery,22504.6,2888,2888,321.2,VirtualRide,VirtualRide,,MyWhoosh,16938026442,2026-01-04T17:45:51Z,2026-01-04T17:45:51Z,(GMT+00:00) Europe/Lisbon,0.0,,,,2,2,0,1,0,"{'id': 'a16938026442', 'summary_polyline': 'mjtmCuyunIwAgLZmAt@QxBhAzBzDRvBdCs@^tBd@t@bBd@pCe@t@TJx@_A`AOx@j@bCnA?Ha@_@kBVc@h@G~@`AR~DtAhBxCnAhGRp@g@e@oDqAc@_DjAk@k@PsAvAYbHjBlK_@tBd@tDiBdBUrHz@dEIpAeAp@qEI{@w@iAmBk@oCl@_@q@RoAt@_@xAFlA~@xANfDbBR^i@lAJt@r@Lh@qAt@@l@~AlElFx@hDItBw@dC}DvDoAhCaBxAHv@~@^Pb@aAbAGr@z@pAhBxJH~B]nB}A~BoCx@eDo@cBiAi@}@Dq@vAyAN}@i@c@yAr@Yc@Dm@dAq@~BHl@aAKw@[Ue@DcAdAaBW[u@^w@jACh@a@GeH~AqEbAgFo@iHuBkDiKwBsDL_EnBeCe@cK^gIoBeA~@JbAt@ZtBiAlAHd@p@VxCo@`@}GW{BaAwA{AYqAC_Co@aAo@Ca@b@^xBQ`@q@Dg@e@YoBJo@dAkAW}@qDVuBg@aAiDeCp@SyBwCyEqBe@{@jA`BbNhAdB_@x@s@GSk@\\cBaBoMVoAr@YfAT`A~@lBfDV~B~Bw@dAlDpBf@jCe@n@PN~@_A~@QdAj@tBh@Rf@QUqC^c@l@?p@z@HzCl@|AdBtA`Cp@nFLp@e@]cDa@c@qAGgBdAy@SKsA~@u@rInBvJ_@pCd@rCaBrB]vHz@`FSx@gAf@wFu@mAkBo@m@AqBf@Wk@F}@dAq@zAJfAz@|APbD`BPp@i@pAXj@x@Gd@qAb@Fp@dB|EfGh@fEcAbEgE`EeA`C}ArA@p@tA~@A`@}@l@Gj@z@|AnBhKBjBSzAcAnBsA~@aB\\{Ck@oBqAg@wAbBsBH_Ao@YmAt@_@y@Pm@z@_@dCFh@kAe@_Ag@@gAfAsAOe@q@T{@lAIp@e@IaH`DiL?qBc@sDiBoDkLkCkDPqDlBiCe@sK\\}HmBeA`APhA|@PbBeArAH\\b@\\zCc@j@_HUsCoAmAwAYkEg@y@u@I_@\\ZzBK^k@Li@Ye@qBRcA|@}@M}@k@SqCd@kBe@mAoD_Ct@OmB{BaE{@y@mAQo@\\SjAbBpMfA`B]r@y@KMo@XeB{AsNz@{@zAXdD|EVbCfCq@|@fDpBh@~Ce@p@bA', 'resource_state': 2}",False,False,False,False,everyone,False,,"[23.374255, 55.002714]","[23.370618, 55.002231]",7.792,19.12,60.3,,152.5,212,158,True,440.4,False,,,False,False,12.0,-14.6,18031196846,18031196846,myActivityfile.fit,False,1,0,False,
