resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{'id': 3606646, 'resource_state': 1}",Paraíso alentejano 🏔️,64141.5,9571,10914,1106.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16617316696,2025-12-01T07:45:29Z,2025-12-01T07:45:29Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,14,0,1,0,"{'id': 'a16617316696', 'summary_polyline': 'koloFp{el@eGrFsAh@jH`GtArBHv@wN~YgHvRqG~Y}ChG}FxGgOhZSpADhFyA`DUzDmCvJN~FgBdDsD~Cu@xA_DhJ{BpKqC`GtAlAE}@qWjPyM~NwIxS{ClEv@pD_DzG@l@|CsApByB`@\\kB|T{EdI}@lIeCfC_FbKqGjPuCvK_b@vj@}ArFgBvMsAtFDl@nn@ja@~HpDjl@|SjRzCxJi@xHeC~YuVhj@y[dYkS~JuEjbAcv@vL_G~a@cNtSsQfIcF~u@c\\~a@qZfMcGjDi@dIlAlEa@zn@iXxQmDhHaJnIkC`k@aCfQcDvFFfIcDtCa@rE`@fPxDzHVrEyAd^uRnTmBpQaGlFl@jQbKvD^nDYvb@wNzVcQxCgApFU\\eGrAwDKk@kCmAm@mAeHn@_C{@iJOuEw@sAj@gFvJwAd@gBWgB}CcBs@fGVj@cASwAiGw@aDwFeSyNkAgBwAmG{PkRmFa@sGVyE{@aBf@iBs@oGl@}EWqBfCyG~CeEBaE_BsBqB_BKeCoC{H{@]_A{@oNoOoPKkFi@}DtCmVGqJhKiLl@mEt@oBxIkHv@wBZeMwD}Js@uDW}FdCoJtAyIiDkLuDiIoGsKyCeCP_E|GmXA_BeDaDuGvBwCuAkCuHs@wGwGyQ}BgCaF_JsCqJ_HsITaG`DeKXiIvBwHHoGzBwFFkAuDaBaIkAgLkJq@}AZuDdH}PlAyGbJkC`CE~AmDL}AgAuFV_O|CkCvJkPCw@qAeAL{E_BwG_AwBcCuCuGNcP|GoW_DkIlEqHyBy`@t@yAi@oGmHKkB~AiMc@kB_AUmA|BqCrCqE`IgAlIg@xAi]tf@uDtG_GzHuBjIcE~BoE`HwFhF_EhI}GtG{EkFoHkLk@[kAtDjAmEsDkATwAgA{Fd@eCo@kJh@SfAyPzAkISwAqIgBkQdCqPcCsJfBmFwBgFl@mHaGaDeHgBt@{@zA[rCnArTIvCoOlg@eWzgAkVrp@qEfa@gHvVM`Ej@vK[hBoD`C}Bd@mFrF}Eo@mCrBcDAwHvIqIhMmAAgBmBy@K{LlIiGaAa@dAEtGgFnIeBr@uAa@s@gAMmFe@u@yJh@}Ak@o@{Ae@{G_HuFsC_Ew@{BQsEzAgRtAgClJsKqKrL{@pByAtRFbCh@bCbEhGdG~Ef@rGr@fB~Al@|Jc@b@bAL~ElB`BbCo@jFqIR{AK{D^aArGv@hLeIr@HtBnBfA@|IuMrHqIpCFzCsBpEl@tGaGz@HZh@AdK~DnJtDrBnOrALj@Wp@}\\bc@kHhTcHhFeIj^}BxD', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[39.389294, -7.405412]","[39.389553, -7.404677]",6.702,17.4,83.2,6.0,149.6,394,167,True,1432.8,True,147.5,167.0,False,True,869.2,384.8,17705879638,17705879638,2025-12-01-074529-ELEMNT_BOLT_9D28-60-020251201-348631-icn0ma.fit,False,0,2,False,252.0
2,"{'id': 3606646, 'resource_state': 1}",Nas calmas,34737.1,4251,4488,179.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16638505451,2025-12-03T12:19:55Z,2025-12-03T12:19:55Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,6,0,1,0,"{'id': 'a16638505451', 'summary_polyline': 'i|gkF~tjw@UyB_BqJEcDNe@\\UbDc@x@]T]Dw@c@aBEaAl@gIVI|@NhAC|BeAVWBMKY{BeBkAeAO]Ce@\\}@`BkBbBmAv@Ml@LxHdDzGjD~Bt@rP`B|EpBpACnAiAl@WnFq@`@_@d@iAb@Yn@Xb@h@Rl@Et@}ArJe@rGGfEDlSqA``@mBvu@QxAe@zAcG~Je@dAg@`CWnFJdB^zAbDpFd@dBH|Hr@fEP`DE~Ag@rEBzC`E`VNvARzFZdCz@xEfCtITxAElBiAxD[fCiAl_@L|GTtDr@dC|CpEt@~A\\rBj@`H`@xAfB|Cd@vAV|AVzELZ`HrMlAfAtClAr@p@^l@~FxPjCvLnAvEvDpItC~DfH~FbBzCj@rBnBjKnBlLPnFS~KXpCj@nB~AhCzMvM`W|Pz@v@t@fAr@bB~@rEVlBJrC?bYOdCUbAk@hA@zAWfBqRxj@g@rCuA`Mi@zAA`CgA`KCbBVjCbCvLBpCc@tCcAhCyDdFwAlAaExBcApAi@~A[fD[vA_DrEo@pB}@bGe@bMSvAcAvDqAxBiD|C}AvB}@tB{BhHyAtCsA|AgH`GkAzAm@lAwAzE}@pAFp@XD\\[b@aDrAwDtAoBjHqGtA}A|AsCzBgHnAuC|AsBtCgCjAmBbBuGRsCRyHz@}Fp@iB~AqBv@{A`@iBZuDh@aBbAkA`E_CfCyBtC_Ez@aCb@qCA{CoCmNK}BFqAlA{K^eABwBpB_PlPyf@n@yAtA}FHsA\\{BNyDAuSSiF}AoIs@aBaAqAsXkRoMiM_BaCu@gCSiBCkBV}IYwFuDaToAsFq@}A_AqAkGcFoCyDqEcKuEmRgGiQiAuAyCoAcAy@uGyL]}A[cEY_Bg@wA}AqC_@iAQmAc@aGY}Ai@mAaDsEc@cAWmAOqCOeHx@q\\ZyDzAoFBuBOgAqCkJiAqGOqAWaHgAkHqBaLAiBz@kHFmBUwBoA_FOgIi@uBcD{FYmAIsAXgG`@sBn@sApFcJb@qAVyAjA{f@nBwn@AkVFcD^oGv@gFbAeEA[gB_B_@Ew@TaAzA_@VkCVcAZ_@CaAoAk@Ka@RYf@Er@N`AENUHsDcBoCi@cJ{@eCi@iRsIs@c@[o@UK}@R_@x@aDdDo@h@u@P[CkAw@aA]_GeAw@g@]oAa@I_@l@IlBcExT[z@Db@n@lAPrBIrAeBlICdATnBGt@wA~DwCtMcAbB_AZMh@FTPBh@_AjAk@v@QfFf@', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.712296, -9.236823]","[38.71311, -9.237486]",8.172,13.04,90.2,15.0,144.8,548,156,True,614.9,True,145.8,168.0,False,True,92.8,5.6,17727350490,17727350490,2025-12-03-121955-ELEMNT_BOLT_9D28-61-020251203-775698-y3ffvs.fit,False,0,0,False,106.0
2,"{'id': 3606646, 'resource_state': 1}",Indoor,19730.6,3310,3310,392.2,VirtualRide,VirtualRide,,MyWhoosh,16650422216,2025-12-04T17:53:36Z,2025-12-04T17:53:36Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,1,0,2,0,"{'id': 'a16650422216', 'summary_polyline': 'akt]vt{bM?dADXPNTDx]A\\DFLB\\@vFG|@MXMHmE@QBOHyAtA_@HcUB[MqAoAYM_JCm@BIHCLAn@?|ID\\HJZFzl@AlADLFNXB^@zOBl@Jp@Rf@\\d@tKbMp@f@bAj@z@T~AH~EEdD_@zAG`W?HJ?N@hOHl@ZZd@F`@Ed@UTUTk@VqAd@cFJk@Te@j@e@j@EhAXlEvBx@D`@KRUJY?i@K][[e@UuBk@]QcA}@m@_AYq@[eBc@wAKw@AsBD[FMj@a@pCo@VONWFe@AmBNaBAa@USg@?iC`Ay@Fy@GaAWa@YK]H_@b@QfCXf@Al@Oh@a@lAaBNa@Ce@KKWGyCPoBBm@CsASe@AiCb@_@@QEOS?QJS\\SrEaBj@IfACb@K~@g@f@c@vAkBr@gBN_AE{BNu@l@m@nBaAT[DQAYGYm@iAu@yB_AwBo@iCWk@]e@w@q@g@]}As@]_@Ge@LaBG_@KK]IWDs@`@Q@UO@YjCyBXKb@B\\XvAtBx@|@dFxD`@NZBfBEpAd@vAXTLDLBdALXXHh@GlDuAb@[T]Z}@Bc@Ge@a@qABe@Tg@z@kA`B{Cp@u@t@i@fEeB`@YT]Nq@Bc@@uIB]FKXOn@CpL?l@ITKZ_@Ji@Gi@U_@QKc@Ku@C}HC[KUUMm@Jq@X]VMr@ChF?r@MJ_@@gBHg@^[`A]l@g@b@o@ZgABmAO}@g@aAUWc@Yi@UkAQ_AD{@Tg@Xs@x@]v@WlAUP_@Hs\\?QH@hDDd@VZb@LbPAz@F`@Lf@`@Pd@Hd@Ej@Qf@QXc@ViAPwB?a@LKJGR?zBQ|@Y^w@Te@Aa@KMKS]Ks@C_D[u@_@[e@Ki@D[Li@h@KZGj@AbIHb@VXvAHzF@jd@A|ECl@KVUVe@Ji@E_AQ]WWu@UsCG]G[OY[Qe@KaAJmA^u@t@]dCK\\SR]DQDcB?mKGqWKOQIg@CiDCc@@a@JK^AhDK`A]x@y@v@gDlAsHzBkFlBy@L}AHgBEk@Q]UU[Kc@Ag@He@LW^Yd@Oh@GjCMt@KzBo@bFmBlAIvB?dBQl@a@Jk@G[IIWOg@KmJAGKEmFKc@U[QKc@IsFB_@E_@OQQMk@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[5.02533, -74.03694]","[5.000748, -74.018278]",5.961,15.48,85.2,,159.8,228,165,True,528.9,False,,,False,False,333.8,-3.6,17739417266,17739417266,myActivityfile.fit,False,0,0,False,
2,"{'id': 3606646, 'resource_state': 1}",Troia - Sagres à vista,77177.2,9918,10756,693.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16663314805,2025-12-06T06:23:14Z,2025-12-06T06:23:14Z,(GMT+00:00) Europe/Lisbon,0.0,,,,10,15,2,2,0,"{'id': 'a16663314805', 'summary_polyline': '}nhkFfdkw@uGkBkBpBaAIiDuF}MyHaCoHCcK|COlBiRgBuAGiBnCaJzEkHpJhArLbCbC`BbJrAbFfCdGyFtASzTbKfRrBdFnBvLuCbBaCbB~AcCzV?jX}D`wAu@jDoHtMw@fJd@pDjEbJHhHfApJe@lN`EfVl@tKdFpTmBpMeA|^XnKx@pDrEvHjAvKnDfIzApKlGlLhHbFbG~PlEfRjEzJrLpLpBpDzFzZXbGU|KjAzGbQ`RdX~QhB|CtAlG\\nGSb\\cAhC_@`FaRvi@kDjTkA|Q|CjRo@tHiFfIiHrEiAfBsAbIkErHaAjGe@jMmBxHyHvIcHhQqL~KuEjKuDlPG|Ri@xEqPzg@oO`YqCnJ{LvWY|Cr@xKqA~Cy~@sDsNnCiOIc\\fYmDpAqj@sGwAViUqDyKuDaAkB}CAmNwEqCAyAzAsDjAsAwFwGuD{P{Gw^uISu@z@sC}@mBsB\\EjEk@Vms@{Pa^wEi[yQmLyFrb@nWtPxDAvAiC|D}GjSoElHk@|Dn@hL|DzJ|I|IrDrOhKzM`A|FdOvZHnDyArFF|AhFvC|@lB~@`IHbHgCpLOtFjDxLHnG|AdDHxElFjEzBnEaDnCyFoA_Db@o@`AJnAlCfEkAbJrDpD}CfEcArIX~E_CbDSnCpI~NrEhYeAzAsHMmD\\Qn@nL|CvFzD|HiCtKpENlAwCx@]z@nBJ_B^o@hBJlDdAhCbIiAfMRbHpEfKM|CjFlEdErZhGxD`EnDL`H~CvB|DKjMtCrF|B|RdJjV|FnBbCrCzB~UnBnFnDzAtJoAnIbBtKnQzJn@pUvNtL|MlQvHjKvAdHuA|E_EfNkYvHuJvW}_AdF_JtHcVdEiIbAkJHsl@cBgP\\e`@g@kQpBmOjAuSrCaTn@wKgC{g@`AsDiD_IiG~D_EuDeInFcEu@iD{EwAcZqB}WkDiPaGiHy@kDAcPtDwJ^qd@tCyHScHXcCjM_YfGsUfKuSrOye@l@eFPuTtBuHbByCrA}G~B{DbKwJ`HgQpHoIvBwHbBiUfEoHxA}IpAkBpF_DhH}Kf@gGyCkPPaHzEo`@nTmp@n@oIBqTq@kKqC{IyYwSyPyQaAsFCeT_Gs[kBoDaH{FyCiEcEoJwEuR_GsPkHeFoGsLwAgKkDaImAeLcGkLa@}Lz@cZVqFbBqJgFwTm@kKyDoU`A}NeB_JQgIgE_Jg@qD|@uJ`H}Lx@yC~DswACqZ~CgVeCcBqCdC_Fv@qC_Bq@`AMfCeImC{NgB_UeLgJhHuM_Em@mBoAb@uHq@uDeBmGi@yBkB}GjM{CtJg@jFiAfDmDtAsIiAwCbLaB`SvJr@xLuAlElA~JdGvD|HpDaCzJ`A', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.712978, -9.23725]","[38.712381, -9.236606]",7.782,14.7,89.9,11.0,156.7,489,179,True,1554.3,True,152.4,178.0,False,True,273.4,-4.4,17752525280,17752525280,2025-12-06-062314-ELEMNT_BOLT_9D28-63-020251206-1072208-lakb0u.fit,False,1,0,False,315.0
2,"{'id': 3606646, 'resource_state': 1}",Ensopado até ao 🦴,71834.6,10166,10496,1178.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16673011211,2025-12-07T06:56:55Z,2025-12-07T06:56:55Z,(GMT+00:00) Europe/Lisbon,0.0,,,,29,9,1,1,0,"{'id': 'a16673011211', 'summary_polyline': 'mbrtFxa}l@pE_@sAoDdJaOdKpEbK`JbRlEnChJ`F|BdDdM`BdAlG_FpBsE\\cHzBoCdJbC`I|PbFyBjFx@tAqElDEfDxCdH}E~Fb@nGsLvB_MlBrD?fM|AjCz@rRbHtEmBrHlEzB~CdNlEbDpAfLjFlLfGbE@tL|EjC~Ra@pBbBh@hEm@jKtMpNFl_@hE`LvB~OvJzQ|CfSH~L`Gz_@V`q@rBlJhP`SzZvNnRvOjPza@hIjFxHpKkBjWbBjHm@bGR~ToCmAoJyS}IdAyDbDqDq@eIbEoDiCoJo@aAtEuGjIbAnH}M|CmArAr@fH{GzGpAbF{@vG}HnBgHaCO`JiEfD|BbIcE|D@lBzEhE`E`KbErSjFpN~CbU~@pQra@`RdO~a@Z`RjBbKoIxXtKdNfCjMZhTi@nc@rA|AbE]fFtItFYjApAqBnVgB~DgFpBgBrIh@rGtCjFHpFlBjCWrHzC~IUjJiErHOzL~@nBvKv@tBgHbDwB`InQxDfA`BfDdGd@kBbQrMsK~@z@g@|Fx@jBbEwFlDq@dC~DfCYfAhEdCwCzEi@hA|DlBp@|AuB^sGlFWp@eErHqExAaGzDo@t@oH|BjBhAdHhEVr@kIpFaSrEcHPiHjGe@vF{Jq@_C}DdAeIq@?wClHuUfAwIzSjChV}DhEaEzBkN[yQsRoEqAmBdCkQ{C}DRcN`A{AlDr@Q}Kz@kKjBqCn@aG|F_CiD}IgBwT{J_CeCoHF_I}JaR?oDrD_JkAoOjAoBvHw@hGuMpHlA`@sDjByBg@sJjEmI|My@h@sGnD_BoAeHxEkTvIh@~CqEdFnAjCeDByGsBgIxFyL{@qDmEm@aDzCoH_I{CXuA}GrDsRnOmIfFuMbB[xExGdAa@uDc[WmWzBeEfHsAbDoFR}FqE}NAgGuAwFpAoDQqFnDyVi@uKjEqJaAwc@uHqX[aHjAsFvKiQfBu[pJoMh@kDqF{M_@mQhFeMi@{PuLoQ`BsEnImCtAuBSia@gBsDeWiT`AkM_BwXZuIyFuUKaEkFmJaBi^l@sFsLiQ_RmHYeGpIu@d@kBaFiQaGReBgFc@aGrCqEzBsPi@sUbD{K}KqKsRqFmF`AaMnJoZlO_c@}UeNzS{AbG{LOsLzDuF{@aHyEmFzDmf@cRkDZa_@iI_Li@sUyKqPgA{ZnAaE~AeQpQyx@dXpEdcAoCnX`EvUjB~AvB~Gu@dB_I|B_f@hn@cOtEa@qM_CeD_BtLmGxLmG]eHzE}C{CqDJyAnE{EcAyEbCsIkQoJ{BqBfCc@pHmBnEuG`FqA_AcDgMcFaCgCgJiQqFwGfI}R{AcFdD}CyB', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[40.24155, -7.526343]","[40.241476, -7.526445]",7.066,15.86,84.6,9.0,145.9,354,171,True,1483.6,True,139.9,165.0,False,True,574.8,352.0,17762395145,17762395145,2025-12-07-065655-ELEMNT_BOLT_9D28-64-020251207-859702-n0ve9b.fit,False,12,0,False,191.0
