resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_heartrate,max_heartrate,suffer_score
2,"{'id': 3606646, 'resource_state': 1}",Cycling,3778.0,681,946,43.0,Ride,Ride,,Wahoo ELEMNT BOLT,18647226206,2026-05-25T12:24:02Z,2026-05-25T13:24:02Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,2,0,1,0,"{'id': 'a18647226206', 'summary_polyline': 'avgkFdjkw@FZ?LCZoBtDIX?^PVlDhDb@v@Vn@r@xCBN@n@DLFHH@HEh@i@pA_AnBwBpBsBbBiB|DwE`@a@PMf@Q`@EL?LFL\\Fl@A\\OVCL@DBFT?JE@EYyAIy@GQECU@o@Hc@Li@b@U`@o@dAm@r@KP{@~@_Az@}@dAs@dA_@d@s@d@w@r@k@Vw@b@m@HMDQPORg@\\yAv@sCnAyE`ByCtAs@Vc@DQKGKcDaL_@y@o@gAiC{Dy@eBOq@Eq@KSe@g@KSm@gDq@oBBQDIROhAm@r@Qt@?~@FfANbAJd@H', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712383, -9.236854]","[38.712826, -9.237015]",5.548,12.14,70.6,28.0,96.9,273.0,118.0,True,64.3,False,False,False,90.8,46.4,19754851468,19754851468,2026-05-25-122402-ELEMNT_BOLT_367A-31-020260525-6445-1lynvd.fit,False,0,0,False,,,
2,"{'id': 3606646, 'resource_state': 1}",Sunrise crew,69019.5,8196,8531,465.0,Ride,Ride,,Wahoo ELEMNT BOLT,18657379708,2026-05-26T04:40:27Z,2026-05-26T05:40:27Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,38,13,0,4,0,"{'id': 'a18657379708', 'summary_polyline': 'snhkF`dkw@mEq@g@sBh@oIrCiG_@mEfAeIBwIrC_Nv@uHnLrB|CdCvFcGdB_@rW~KfOn@tGlC|CyAhGy@lBsB|AhBiCxTCb[{DfvAs@hDmHhM_ApJf@nDnExIFvHjAjKs@|GDpD~DlUx@|LbFpToBnLgA`_@`@lM|@vCjE~GlA~KfDtH|AxKhGhLlHhFvF~O|EtSpEbKtCrDjG~EvBxD`Gt[ThG_@|JtAhHdQzQvXjRjBfErAbL@|ZmAdFK~CyRrk@sD~TiArQ~CfRa@~GwFdJcHnEuArBkAzHiEpHeApGe@rMmBpH_I~IuGtPyLdLoEdK{DlPG|Sq@zEuP~g@mO~XaCpIoMnYh@fOeD`HD`L[pYuDnJ?hK_@hCtDxHrDpDvDrShBt^e@vH{BnNjDhDFbM`CxH`DdF`NbQjG`DhGl@f@x@iDbh@oBbOj@zNc@za@hBdQMzl@eAxIaEdIiHdUkGrL{V|}@oHdJcJrSuDzFgEvCcGdAaLaB_QuHeLqMcVcOaKu@eHaNgBiBuIaBcKlAgDaBaB{EeAyPw@{DcCoCcFoAsAoCz@`CzHzC{HcDiJaWwBuRoCaFNiMmB{DyHkDsDQ_EeEeZ_GoEkEyAyD_Ao@gKLeGoEqYQhArD[wARaAdHUwHTaAw@[sCr@qF`D_Ad@u@pBsO\\eg@tHuLjBgFbGgDvAyBaAuEeEgB_@_BjBgBrAyF|@e@`A@bErBxO}CbFsEvDPLcBoBeINoBbDcD`GYpC}CdDeKlGoB~AwEbBwAZkDoAeCJ}DkDaERiE`By@zEjCxAtC|@ELmAaBuGn@qCOuHpJ{NfBGzAoE{IlBsGiIkIuNyJsL}Hcd@yDaSw@_AHa@dGuCnEyFxA}D`CcCjSiFl@uB~FkFfDeIvJsHtBe@zDrAzIaGhD_DbB{DxLwIlB}DvIgChH{FdJsQfBq@bGEjMmGzCwEAmE|FyFb@TlGpVhChDfI|VzFlGxChFlGdDdAdBlDfSn@lIvEp@rJfFvFaSbLuU`D{LfJuWl@gFLkT`CsI|AiCjAmGzByDpK{JxGcQdIiJbBoGh@oNx@kFhEkHvAaJpAmBvGcEnFgIr@eIoCqNOcDlE_a@vUiu@r@aLGcUYwEgBeIsB}CkX_RePwPqAgGV{KU}GeGi[kBoDkLaL_EyIoFqTuFaPsAiB_FmCcGaLiBqLcDmHkAyKaFgIe@wB[sLp@{Ub@iJzAcGHyBeFiTm@mK{DmUbAiOgBiJQuHsE_K_@kDx@}IfH{L|@qD~DkwA@gZjAqMtAaGeCkBwDhCuD^_CmAoAhAPpBe@x@{PG{HxCqFnAP`FqF_@aA^s@zAa@`RsK~AiBxA', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.712888, -9.237189]","[38.712395, -9.23653]",8.421,14.18,86.1,17.0,160.8,738.0,184.0,True,1321.4,True,False,True,177.2,11.4,19765206566,19765206566,2026-05-26-044027-ELEMNT_BOLT_367A-32-020260526-7837-ntjhpb.fit,False,4,3,False,145.0,175.0,195.0
2,"{'id': 3606646, 'resource_state': 1}",Morning Weight Training,0.0,2613,2613,0.0,WeightTraining,WeightTraining,30.0,WHOOP,18671161215,2026-05-27T06:05:37Z,2026-05-27T07:05:37Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a18671161215', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,,,,,,,,True,False,True,0.0,0.0,19779236168,19779236168,36397203_41f9c3ac-3c43-4f90-bd4a-c216656068d9_weightlifting_msk_17798619379426954396418109831.fit,False,0,1,False,88.5,115.0,5.0
2,"{'id': 3606646, 'resource_state': 1}",Heat adaption 🥵,66388.3,7655,7825,431.0,Ride,Ride,,Wahoo ELEMNT BOLT,18675196348,2026-05-27T11:18:08Z,2026-05-27T12:18:08Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,32,10,0,2,0,"{'id': 'a18675196348', 'summary_polyline': '}|gkFxxjw@IcF_BqJ?aDzAcE~Cv@f@a@q@_Ep@aJhH}A_FcG\\iAtDoDlBOfUxJ|PnBbGxBbFsBtEm@zAqBjDt@fJuSaKrS_C~Ku@hK?b[}DlsAw@xDgH`M_AzJh@xDhErIF~HhAxJm@`HFbE~DvUnAdOnEbRuB|KgAn`@b@bLz@xCtE|H`AzJnDfItAfKpGrLlHjFrFxOvE`SfE|JvC`EfH|FrB~DxFb[PxGU|JpArGxPpQ|YzSnCpJX~HCnWsAzFGdCaSdl@iDrTFrBqAlN~CrQ[vGgAtCoDxEuIbGw@lB_AvG_CvABjAiAvBeAxGk@rN}AbGoIxJmGnPgMtLeEzJqCrKm@xDCxRw@jFqIvUyEjPmOxXuC|JaMlXj@hOW|AiBrB[zADpKm@lLHnLa@lByB|C_@fDUjMhDjH|DfEjD~PrB`Z@nE_@fHaCpOrD`DObJj@tErG|LlNnQjGtC~EVdA~@uD`h@sB`Oh@~P_@|_@fB~QKvk@eAbJmExIiHdUmFlJmWl_AeIdKoItRqDpFeFhDkGz@aIcA{Q}HeCiB}H{JaVcOqKw@_HiNgBcBmI_BsJpAoDyAcBmEoAgRu@cDkCwCsFiBiJwVwBuRoC_FJqMqBwDuHkDkDIgD}Dm[uGmEoEmAkDu@m@qKNaEoDcBi@cXHVZaA}AUiBt@sGfEiBpBsOXog@xHwLdB_FhGgDvA}BcAsE{CaAgAkAPoAbCcDh@eDfBs@nC|B~A?lO{CxEqE~DNJ{AsBuIVoBlD}ChFElCuC|@_EpBkFhGaBdBgFhBgBZyB{A{CJiEuDuEf@{DhBa@dEbC~A|Ct@GRsAcBuGh@oCAqFCoAhJaNjBIdBcFxD}DyA{EAkBnC}FvDmAbDZPcItA_KMkCqAuCqIaHc@gAF{@pj@`E`DsAh[cYpNJnMyBfAzBfA~GrBk@nPnAte@eCtCqGQ}H^iCfMuXdGiU`KcSrD{MjJ}Wl@sEJoTdCkJxAsBpA{GzBwDhKuJ`HiQrHoIrBsHj@qNv@eFjEkHrA{IdAcBvHaFnF}Id@qC?{CuC_OI_DrEqa@vUct@h@iJCyV]gFwA}GkC_EaXsQgP_QkAiGTuLWyFcGo[_B_DeH}F}CkE_EaJ_FqSyFePoAaBcFoCcGaL_ByKiDyHiAyKuEqHw@qC]aLdAe]TuDxAaFFiCiFaTo@uK{DkUdAsOcBaIUsIk@yBaDqF_@aDx@wJxGmLbAcEzDkuABmZbAyM|AaIqBaBeAVeBrBsEx@oCkAu@lAF`B[TmDkBsSmDwRmI_AgAu@D}H|GeL{CcBaCc@l@MrBsF`Vz@rCB|BoBbKA`Bf@vAbB_A', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.712559, -9.23735]","[38.712712, -9.232318]",8.673,14.94,87.7,31.0,149.5,649.0,175.0,True,1143.6,True,False,True,194.6,30.8,19783348355,19783348355,2026-05-27-111808-ELEMNT_BOLT_367A-33-020260527-7-3sf8oo.fit,False,15,0,False,154.3,183.0,266.0
2,"{'id': 3606646, 'resource_state': 1}",Pontualidade britânica,64262.1,8008,8369,650.0,Ride,Ride,,Wahoo ELEMNT BOLT,18698684810,2026-05-29T04:40:49Z,2026-05-29T05:40:49Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,25,12,0,2,0,"{'id': 'a18698684810', 'summary_polyline': 'cohkFbdkw@wDs@o@mDp@eFhDiIs@}BlB}KGgIfEwVlIv@lFjDhGkGzAQfPtIhFdArLVnIlDpDaBzFu@lB}B~AfBkCtU@~WgEnxAy@nDaHrLaA~Jh@lDjEnJB|GnApKk@zLjEtWd@bJfFjUwArIWrE_A~[\\`Mr@hCvEvH|@`KfDpHfBjLdGjLdFrCxAnBxFzOxEtSvDrIjCvDpHhGvB|D|Fr[@dUhAfFdQvQnXfRjBlDtAvHGjb@cAnC[tEmR~i@iDpTiAbRzClQk@`IqFjIgJhHyAtImEtHaAjGa@lMsAbGwIjK{G~PgLjK{EjKoFvA{G}CoF~`@kAjDaF@{MmKeCyG?kGqBqJwBm@mA}Ag[dFcHe@uMBkDrC`B|DkGjGG`F}BzDsLnGaHHcCz@kJhRuIrFwG|BuB~D{LxIcBxDmKrIyBjAmDwAmCp@mJrHqElJuEzDkBRsAbCkOrEmC~CaAjD_Bn@QtAoAzAyFdCaA~DuDrAg@e@s@wEkH{D{OsGg_@yIMq@x@cCS_Bw@m@oBz@BpDi@h@us@eQsa@iGed@sXy`Acb@sQqJcBmB_GhCeSAcCm@}LzDqE|H_@tIwBjKcF|@gAvEq@t@gEl@cC`CkIzCcEkGiHo@cJcGiJuKcIuGgAwGJsJw@qDkAiBwCg@_BsC|@_HoDuSaMqR_NuJeA_C_BiAgByFG}BaBsCkG{UaTcQr_@yhAtCqAxLjALyOr@sA~E{@nJdCbEtBdHrH`FfAxE}AlH_JdIhAc@gN_AkFC{J_AeDNqGYc@rCeFjCaPpBeE|Ai\\~CkNXgLnFgJgJ}Mg@}ByA]}DcE{QcGeKgPuAuHuCgAaEeJeEoBcBiCaByPoOu`@cC}D_AkEoCwEQuC_CiEEoEsHiMDeMmCeGkK{Ji@wEaAsAm@cDwB{EkGiIb@aClCaEfDcO]cAkCqAw@oFmJcOdEiHzFmNzD{CbKsd@pCeAtBqCvDx@bDa@x@~@BdEb@bAtDEjFzAvB[hCaErDkMx@oMzIkTjE}C`OyF|F}GlIbA~CaFpFsExBiDbK|BnD|BlO?vAlDDpGrExE~Bb@tIPvKeBlJ^xCuE`Bq@|B|DzHJ~LlGjAtAf@fD~ChAnCnFr_@xVzM`CvLcBbC_CbDmBpE_AnIx@|DhD~GzAvDmAv@l@lCUpLgIB{EcBiI{@{NfCsJE_H|@gIbDaLdEuFtLmDEqBb@aAzH_C~\\|@`Jq@`NfLfFrAtAkE~AsB~XsLdDwDvDo@`EdBtJlLvBpEd@qAOsDp@k@pV|BrJaAx[zCpNuApDv@rKrFdBdC~A`FrC_CfJh@', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[38.71299, -9.236872]","[38.712586, -9.23689]",8.025,17.14,84.9,13.0,156.2,852.0,179.0,True,1250.5,True,False,True,301.0,10.6,19807255430,19807255430,2026-05-29-044049-ELEMNT_BOLT_367A-34-020260529-590-bljby5.fit,False,12,0,False,144.7,174.0,192.0
2,"{'id': 3606646, 'resource_state': 1}",4h 🫡,117665.0,14996,16320,1094.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18713703214,2026-05-30T06:33:04Z,2026-05-30T07:33:04Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,74,10,0,2,0,"{'id': 'a18713703214', 'summary_polyline': 'onhkF`dkw@_G_DfFiRn@gZ|E_WdPtEzImGno@lRvO}GdBhBaC`TaEvrB_JvR_AvJpFxOh@rb@tMtx@oCz{@fGxLlI~a@bQhT~Shp@zOxQ|FzZnA|\\tj@he@lEnQyA`h@wRrk@sD`UiAjRbCvYyRhUuGbRuEr_@}Qb\\gSlXwD`P}@zZsPzg@ua@z|@ZxPiDjIO|d@sDnJ]~OrLdUhHp}@dBdErH`AdHwFvDvDbG_EpCtGbBln@iKnfAm@jp@lBbhAkWbo@gW|~@{W|d@kLlGa`@{Job@g]oLqA{KmQcYgAeGq^cK}FmJeW{Hgl@uTaL{ZmG_JoLuKJmGqEwWVdA|GmDdGtE~LkAfJ{MkCuCdGqR~GpGnKaIdTkNxBj@`LmGfMiWzU{RtAsE{@iLqS}E`L~ExSwDj@wBcCp@qBgHgCiAcIoEsEYcPrPc^g@_JeDeCpAcYtJu@tEtHvHSRqGmF}J|AkZcC}NjKkNLqQaIyNnHwMcJeI{h@vGAyFsIkI~IeWaBoZp@ye@nNeKyGa[Vqi@mYgi@}P~BwK_Cq@yEoJsB[gEcELqByGYhBo@|@oBFaDqDmCdEv@cKtEuDyIsByAjD~@iHmKwCmBiGxBpLmCa@yFuKvAgYeKfI_@}HeWa]cTuImSmS_CqYwHkGn@wHkDySyLiRgScQ_Nif@{ScR~a@ajA}@}@lPtBdAcRjPr@lVfOlO{LdI`AsDmp@lKu\\hHez@xI}Kn^w@~AqH}CyG|@cEhIsHjLi@dKqTrA_HkBsLtSef@jAkc@~FiE`E_TdNyTb]sKx@sXeDux@~BmChB_RnQvB~g@}XxB{RbFoJnUmM{Cy^`Em^zFoOfOwI_CqZeFoOTiWdZ}wA|D{De@mEvLwk@McQlF{a@tEMlAuEgEoAOiDu@jLvCz@zGwQdNN\\ma@jG{BbDeShXoj@jRaIbHkPbHTbEiEdHf@~FtHs@rKxAdCvSFxHnK`JnCfTyAhYvEla@eMrc@lGvHbHnPrh@tXhaDnCpr@sEbVwVvo@sFl|BeJ|Ry@rKlF~Mn@tc@tM|w@mDrj@l@dRxFnKxIpb@lP`S`Tlp@`P`R`Gr[tAr\\~i@ld@~DvLHbd@oUxu@uBdUfC{T|G}QtK}]a@co@_o@mm@eAw[eGa\\{PySiSyn@kPwR{Iec@kGsM|Cyy@kMgw@|@gOyBqTkFyOr@{IdJcSbEasBxCeUiSGeAbEao@aTiJtHcPiH}Fn[fAnFiB`O|@dBlLcGdCvL', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712845, -9.236954]","[38.712224, -9.236357]",7.846,15.9,85.7,18.0,149.2,896.0,172.0,True,2235.2,True,False,True,423.0,-28.6,19822553740,19822553740,2026-05-30-063304-ELEMNT_BOLT_9D28-122-020260530-28607-rg6szt.fit,False,31,1,False,147.9,181.0,406.0
2,"{'id': 3606646, 'resource_state': 1}",Graveling @ Ericeira,31475.0,5288,5634,649.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18727302929,2026-05-31T09:35:16Z,2026-05-31T10:35:16Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,12,12,0,1,0,"{'id': 'a18727302929', 'summary_polyline': '{lrlFhhnx@\\cBwB\\kBfA_BKcBfCo@Ha@u@VgEeAqDuBkFaCsA_@q@`@cCbA_MvEeOcBvAcBb@}@~E_AvAWK_AqC}@bAg@nAq@cBWMuBTk@OcBj@mCm@yAeAo@oEF}AsA?gDcD}Am@m@kBUmEa@m@o@Is@Xs@|Dk@fAoD|@eBjBq@GkAoA{@Iq@VhBa@Kq@cAaAaBXiEfBk@f@g@~AH|@zBtBV~@@tClB`An@jBjBjCDbAa@^qDf@mA|@i@pAYbDq@~@eGt@oDlB{DMa@[u@eBk@UuDzBoCKm@_@aAeDo@c@u@JgGfDeAAiBy@_AEiTfEkK_AgWqDkDEa@vAiBnFs@lA_I|DcPfO_DxAiLO}I^ck@kHkIGYUYmA_@Q_@Na@hAq@VmOOo@g@yHmLmAWeLOiAa@q@gBCy@TPJnAIgBL_AtCyF`AyCa@wFUiGZaDzA_INqHeHaQ_@gHwCaNg@}@}BaBgAoC{@kAyGdE}@jAe@lD`AbIEr@Yb@}B^eK}@e@RLlDqCbB[j@Ht@nAfD[vBH[OUoBT{K{@yAq@aCwB}CmA}B|@kCiCoDMyEqEsAa@aDUZuCPqI_@{Ej@eFqB_Ks@{JBcGmBeJkDwDoByGa@_H`@wDUgA_BoDEcCtA_D|BmDp@{Bp@eEpC{DhFcNbLwOj@A~AnB|BbAtJC|J~AlDeBtC@xC}BhAEj@`AVrBh@fANxBdBhAr@bBN`BAfCThArBdCh@|ChCdDGvAwC`B[nBx@rD]jDHxA`@V~@e@ZLJb@DhCa@jGVpCr@tCr@jAnC~AFpBLb@tBxBnIxNVbAFhEpBvHhDY^N|@~An@LrDgCrDiIvLcNnCwBfDgGhDsEp@a@rF{AVmAFqCf@kAdLmEnAcAtCsEvBoBpCaH`RqQxBiIbEoIXKRh@YjMN~FZvC|BnIxJtQbEpOlBnEbOnRxDdRn@~@|FzDZxAKrB|Cw@~AIzAb@xE{@xFl@dBq@xAMVj@QnF[`AcAvAAbAj@\\JCSIFI~DUzD\\p@Wh@l@N|@PFvCqFJgBnBcCpIsA|Aw@nAeAv@oC^c@pK`CfA_@nCyCb@MtEjCpBl@zCf@xD{@fAAtA`@hB`BbGjAtHUxIdAtEaAtAh@hChDbB~NvAv@rCs@fBh@Np@AjFb@pFl@l@`FpBfAlBh@hI}AdGhAfAQtEnC`B|@bHx@xCfA~AXjBq@|H{@tBgArAOpA', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.930103, -9.418901]","[38.930072, -9.417639]",5.952,13.02,78.2,23.0,143.2,403.0,179.0,True,758.4,True,False,True,164.6,9.2,19836426767,19836426767,2026-05-31-093516-ELEMNT_BOLT_9D28-123-020260531-7-clysr7.fit,False,5,0,False,141.4,168.0,108.0
