resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_temp,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 3606646, 'resource_state': 1}",Morning Weight Training,0.0,1967,1967,0.0,WeightTraining,WeightTraining,30.0,WHOOP,18737979813,2026-06-01T06:08:32Z,2026-06-01T07:08:32Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a18737979813', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,94.9,125.0,False,True,0.0,0.0,19847315562,19847315562,36397203_1aefba41-646b-4ad3-9b43-5503f2a0a64a_weightlifting_msk_17802941127239640159705550320.fit,False,0,1,False,4.0,,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Morning Workout,0.0,1814,1814,0.0,Workout,Workout,,Suunto Race S,18737992135,2026-06-01T06:13:03Z,2026-06-01T07:13:03Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,2,0,1,0,"{'id': 'a18737992135', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,91.7,111.0,False,True,14.6,14.6,19847328126,19847328126,6a1d2a242667f0223349a843.fit,False,0,0,False,4.0,27.0,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",No battery 🔋,50695.2,7026,7574,715.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18751553948,2026-06-02T04:28:31Z,2026-06-02T05:28:31Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,2,11,0,4,0,"{'id': 'a18751553948', 'summary_polyline': '{wgkF~fkw@fAnAJ`AiChFD`@pFhGdAbGpClFX|DtFP_@pDkBpAOhEz@nErB~EUnI`@hClBfCrPzAbAe@zAoDjAiAtG`@FdDoAzFf@l@^`FnEdJ?zHj@lHUp@wF`AkJzDkQvLqDfAoM?wIcHqCu@yJBaE|FcAR_@_ABeAjC_I@kLpA_Js@mDcF{L}JoL}F_DaF_@uJkDgBnAsACWoBb@uCU}AqBkGsEyEc@gF_@FiAtBk@q@e@aCs@Gg@bBaDxB]|CoDiBc@pFu@tDs@z@wGCaG_DsCkF[sGhB_In@gJ|D{I@yB{@aA_E_@_@{BcEu@kH}Vi@A}JuLmCsBeFdAyD`E}WvJaDpEiCpA{Bk@}N}LuIhAm[w@qVbHe@rEiFvHiCfJeA~IStKqBdFj@`MbBfJBdCgApC{IlGgDWaCxA_BFqGsAaEgDkIy@kE|@{DjBmClCqLvA{JgAmAg@iEgEuYoQwBuEwDkCkA_EsLaG_JUaAo@g@}Bk@[cBv@uCrEgJg@sKlB_Dg@mFJiAa@oEuEImHqAwCkG]cG`@eEgCyJmByBlDuFtEcDdFaIiAmGdHiNhFoEzC_JpTw@bMmDhMeD|EoBF_F}AaDP_@{@KwEi@s@uDb@kDcAeBv@uHmGwKSwFkEmGqKsF{EkAIcJlJoFpA_GhFqJhD}HnKgDSeDx@{GbI_KvC{HlHkErAkBzBuDrKgXzHiIpHKxAb@rAtBxApE|GzAjLxAlDdJtElHjBhDxDzBGfAjCpAx@`GK`HiBdD{ErDiD|E{I~AgAnClAlCrCtElCjEhFvFvAhBxDzDfOrAvBhCzAvBfKbClBIbFb@jDWhD`@pCCfExB|ETnChC~BZpFhGdK?vG~AhEbCfBfEb@`EuDnC]~W|CzDpAnDzEtJhW~@rMl@nBtArBhExB~D|ItCrAbBfIxJpOzRtGfCpC~@dCpLxOjDkBrC^dDc@lDv@vIQdCmA|AoHyCiHhAiEzDyBtBeDfL_@jDyEdDeItC{KMmBcB}FDkBxKsZxFkJnAwc@nA_CvDsAdA_DjBcNfK}QhBkBzCgBtPuBjFmD`AeXiAgQmA}E@_Hh@eG{@yNNcArA]Vk@`BsQxB_AdIdDzCB|IcGlMuEjCoCrIiEfBoCt@{EUoHpFmJzC}A|Cc@nKwH[yH{AyHg@_LhBiFTwLlAiJ`DsJdEoFbK_DRqCb@q@~JgCd]dA|Gw@lM`LrFtAh@g@`@mC|AwBvQuIbFyAnDaEzDq@lDhAzKxMfBjEh@uAMwDn@q@~V~BxGkAxTbChJZdLyAvD|@hKxFxAzA~B|FfDwB~Gn@', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712849, -9.236898]","[38.712877, -9.237364]",7.215,15.82,True,139.8,175.0,False,True,323.4,5.8,19861168460,19861168460,2026-06-02-042831-ELEMNT_BOLT_9D28-124-020260602-7-dl7548.fit,False,0,0,False,133.0,15.0,81.4,136.3,599.0,178.0,True,957.8
2,"{'id': 3606646, 'resource_state': 1}",Sem mta vontade 🥱,78026.8,9302,10787,524.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18780389816,2026-06-04T05:27:40Z,2026-06-04T06:27:40Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,39,8,0,2,0,"{'id': 'a18780389816', 'summary_polyline': '{nhkFdekw@uEgAe@wBpB{JzBmFm@cEhBsJEuHxE}VdIlAdFdCnFoFdBWfX|KfOpAfFrBhGuB~CbLg@~@a[iAe@iKyHIO}CmQmIMcAkCMyH`HuEiBoDQdEj@bFbCtFuF|ASnUbKtQjBlFrBjLyCjBaCnBxBqCrU?xX}DbwAw@lDmHrMy@`Jf@vDhE~IJvHdA`Ke@vM|DlUx@`M|ExSmBxMcAf^\\|Lr@nCxEbIhApKnDnI~AnKdG`LjHfF|FpPnEpRjEzJzL|LrB`ErFfZV|FSrLlAhGlQfR|WxQvBdEvAdJB`]mAlFGpC}Rjl@iDnToAbR|C`R_@rGsFfJkHxEqAnBmAzHiEjHcAxGi@xMiB~GaIdJcHlQsL`LeEzJ{DjPIpSm@tEaQzh@eOhXcCxIaMfXU`Cn@fM{CtG_@ff@oD~I]dPdDjHpDpDxDjRrBt_@wC`YdD~CKfI`@`ElBtFbEdG|LnPdHlD|Fd@l@~@yDdg@oBbOh@fRa@`_@dB`QCzg@a@~IaA~DqMx]aGbLwWp_AcHlIwI`S_FbH_G|CyIRmG}AaPcH_LkMsU{NwK_AgHgNkBgBoI_BqJlAgDwAqBsFyBwUgCwC_GsBeJqVyBsRoCgFHcMgB}DcIuDgDIqD}D}ZsGuEsEeCyEkKP_HsEqWCeAqAK}C\\uAzA_Ab@b@iC\\[jCvArFhHcA~MNpHtE|JQjCtE|ExEtZlGjDxDfEXdHfDnB`FUzKpCfFzBvR`JjVlGbCxBjC`CnV|AnEpDjBtJkAjIxAnBhBvHlNxGHrCfAnTdNhI`KrD`C|OpGlJfA`GiA`FqDhDoFfIgR|HyJjW}~@|FuKjHmUbEgIbAwIHsm@cBeP^w^k@aQbEif@lC}Rv@eLiC_h@|@{DqDwHmGzDsDsDwF~EyAN{Dy@eDiFeAeM}B}c@oDwPgEsEqB}FEcOvDcKX}c@~CeJSwIbNq[fHmWnJaRjDoMrIaVz@mGPoTxBaIzAkC|AkHlB_DhKwJxGyP`IgJpBkHj@gNx@mFlEuHtAyIbA}AhHyEzFkJd@iHuC_O?kEbFwb@~Tuq@f@eI@aTi@wJgAmFuAuCeYaScQaRcAkFCqTeG{[uBwDsIuHmEiIcHsWaG_QeHaFuGsLuAgKkDaIeAmKkGaMc@yKZmNp@mRzAaGLoCaF_Tq@}K}DuUbAaOeBsISwIeE{Ig@yDr@wIpH{Mt@mDzD{uAFm\\|CaU_EeCqTsr@kByCgu@yNno@pMn@jD~AxCnPdi@uAdHiCl@FpC]n@}M]oF`AwDhC}FfA\\hFqGg@{A~BmDm@c@bBaCfBqKXMp@`ApE', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.713005, -9.237576]","[38.711975, -9.23515]",8.388,14.52,True,148.2,177.0,False,True,153.0,15.6,19890489739,19890489739,2026-06-04-052740-ELEMNT_BOLT_9D28-125-020260604-7-1lnfod.fit,False,10,0,False,262.0,15.0,86.7,162.1,545.0,181.0,True,1507.5
2,"{'id': 3606646, 'resource_state': 1}",Morning Weight Training,0.0,2260,2260,0.0,WeightTraining,WeightTraining,30.0,WHOOP,18793028392,2026-06-05T06:05:35Z,2026-06-05T07:05:35Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a18793028392', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,81.9,108.0,False,True,0.0,0.0,19903355356,19903355356,36397203_28fe293f-cc9c-4ed2-9cb0-18cd1f4f5501_weightlifting_msk_178063953511369682957426476425.fit,False,0,1,False,4.0,,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Rota da treta do koomot,90202.6,13920,15496,1178.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18807589283,2026-06-06T06:03:45Z,2026-06-06T07:03:45Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,30,13,2,1,0,"{'id': 'a18807589283', 'summary_polyline': 'kohkFtdkw@eGwB_DrB{DmGsN{HmQrAc^}Cm\\cAcDv@q@pF{RwUeFlAa]pPqFxGJzAlAIUxEwEvFe@rJjFxKeFiKd@cKvEoFSgImEJoNcMei@L{JnEfEfQLxQeAlMd@tGcE~TcBIaD_HpBbH}B\\qIqNaGJzAbSeApEkInG_EG_KnPcBfIgHrBmExFsOhCwDw@q@bN{BzCgPsFyP|BcYeEwXfJuBuFeZv@f@iH_BiFgRrJwEO{G{LeHq@g@iJcb@pAcDgCFbEoClM{FfGL~HdBxBpKjAvArE|QlJj@zD~BeA`GpAFfDyUn@iDbDa@aC}FdJs@|HcDnEuEm@kB{EmCoAqJrNyLnAaFmAaB|KqFaBeDnJwHyGaPki@yJhAqBdBeD`P_D~Fv@bDoAyAaApAh@pD{ChOsM`ErCrDRlZpC`I}OhEpB`TY`M`A|@cA{@VoMuBwS|L_DbF`Cd@xFxGtLAjYsIjCRfDuCnE{HxBlBoDwH{BmG{Gu^eKiIh@mLtKaBdJyCxBgAjFoEk@iDnGgNfDeJs@~Iv@nNcD|QrF`N`@tHbFhJ_Bf[jNdE_E`E_KrIqEy@mGiHqMeHeBiG{Guk@uMsNyHmE{HoO_H}LuMkDwJy@{LxFs`@iCeJ_Or@gYoGgL~HcOzSiUpMqKHsDlNwGhEgHxJiDw@qKrIxBpIV`RzLbEdEhFtGbTj@bP|BjGlA|R`QxYsDjJhEjIlCt\\}DlRjIn\\lLhJhs@xHzC|SfKnOrHxUrSnb@Shh@iEvGsDcATyAvANhJdOfRvNpObF|Fvb@sAlPnAlLmDfM{PlFaGhL{OvQ}e@xP}P`KJpDU}BmBl@kKrXhB~HxQxInKvN~ItG~d@rLvXvBdHgAnDmGEgFpD_LJmOxD}T`GaG`NgG~J}Op@{PrDwRfUiVFqB|HeFtHu@nFv@n^jThJtHpAhQjBrJ|]pZnBTTcDOxDxEh@xDnFlT{IbBcGtFeAjC{UtEuH`MqDtEbBzGg@fFdCrHiEtsAfn@ve@|XpzA`Yrd@dM~T~JvDbIbJ_Ebm@~Qzw@fIxc@w[j[uAhCnJlz@yAbD_HH{LlMkY`HeWlJyQdOae@fAq\\dH{UzOmQpGqPxHyIpE{^lEqHzAiJdJeH|FoJf@kHwCoUfF_c@lT}p@r@_c@iEwRqYmSgP_QmAcGAeT_Go[qR{V_Rql@iH{E}FwKgBiLmFkU{FmKMi\\vAeEZcCcAoFpBsLsE{R@cOmDwRd@cRgByTbAcOqL{AjDaSsEuGe@hFeCWaA_LnFkLoF_JJaI{@uAsKR}CnNmESi@iDiHb@gFgO}EqFpC_HoDcE', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.71302, -9.2373]","[38.711897, -9.23479]",6.48,18.54,True,143.8,181.0,False,True,301.8,12.6,19918185811,19918185811,2026-06-06-060345-ELEMNT_BOLT_9D28-126-020260606-41238-5suc99.fit,False,25,0,False,319.0,16.0,78.9,138.3,794.0,161.0,True,1923.5
2,"{'id': 3606646, 'resource_state': 1}",Z0,55506.4,7274,8114,435.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18819459805,2026-06-07T05:59:35Z,2026-06-07T06:59:35Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,2,10,0,1,0,"{'id': 'a18819459805', 'summary_polyline': 'cwgkFbhkw@t@~@Bt@{BnEAp@nFtGdAbGjC~EXlEnEKh@b@[~CcBbAY`FbArEdBjDJvA]hHrAtE`Ar@tPxAv@a@dB{DnAeAfAGhEx@?|CqAjFj@t@DjC^fB`DtFf@dBHfHv@bFRxDo@vHFtCdEzVl@lK`AjF`DnMMrByA~FaA~ZIdGl@jLbGbLdAfKbDlHz@`Ih@hBfGdL`FnClA|A|FrPtE|RlExJrCrDzGvFjBjDzFzZV`GSfL\\~Cp@xBtAtBzMvM`W|PrArAfAtBxAbHTlDK~]cAzCYfEuRlk@kBvNo@jC?tBsArNRhCjCzMA|Cg@lCaA|BeDnEkHxEuArBiAvHkEhHcAxGm@tNuBdHoHfIkE~LqA`C{LjLcEzJ{DtOKrT_AxFmD|KwC~GaE~NiPnZgC~ImMlYIjBp@bLc@jByAvA_@rA?`Lk@xLNlK]nBqBvCc@lBA~K[bCzCxGzD|DnDpPnBxWLdHUrHkCxOpDlDO`Kj@lDtAhDEpA}QbVqE|H{@bC{AdBkCvBaC|@qArBcA`@_AvA}UxR{ZlMyF`GgQtCmJXaNzFkKdBwDF{QvG_DOaItJsAdA}JtCgFr@kLvHkItB_FtEkBt@wHuBkFoCoWwEwL]sIoCHVtIdCjLXlW|EdFhChGrBdACjB}@pEgExHiBnMmIbFk@vJyCrIaKxJ_BnLyEhKm@rFoAlKsEvI]|RqDfEkEr\\aOd\\gXn@FpCnCjHdBp@c@`AoCxIkGtBgHtBmKfC{HxC{CqGuJgAgGPaJa@}@wBqASm@hD{ROyLmBeXqDgQcDiDyA}BeAqE@iOl@sB`C}E`@wY?eJZcBbB{CXmAO}Id@qBbMgXxF{TfKuSjDkMfDcIzDaMx@iGL}SvBgIbBwCrAwGtBqDdKqJjBkDrDwKfIoJlBqHf@sMz@yFd@kAtAeA|@_BhBwKjAcB|GiExDgFz@qBj@{CBgCuC}OIsChEs`@pB_ItA_BxBkIdCwEVuBf@i@nBqGOo@pBiHp@uICeWUqEaB_IiC{DiX_RgM_MqAqBs@cCYkCRyLUkF}Fa[yB_EiHiGgDkFiDgImE}Q}FuPuAeBeFwCcGcLsA{JkD}HiAyKw@oBcDuEs@cC_@gMhAi_@bBwHH{B_EsO}@cG[sHsD{TA}B`AkKeB_JSsIe@aBkDqG[kDx@uI`HyL|@wD|DyuAFm\\n@sIfBgKyAgB{A\\kBzByEp@}AwAy@Ei@bAN~Be@p@aMk@sF|@gEhC}ALmCx@K~@n@jDMLcGq@o@Z{@bBoDm@a@dB}BhBwKZOf@fChN', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[38.712765, -9.237079]","[38.712286, -9.236449]",7.631,14.86,True,138.8,170.0,False,True,131.8,-1.6,19930300809,19930300809,2026-06-07-055935-ELEMNT_BOLT_9D28-127-020260607-7-birbd3.fit,False,0,0,False,130.0,15.0,85.3,147.2,437.0,162.0,True,1072.1
