resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed
2,"{'id': 3606646, 'resource_state': 1}",1h,23520.7,3527,3705,329.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16682601537,2025-12-08T07:50:19Z,2025-12-08T07:50:19Z,(GMT+00:00) Europe/Lisbon,0.0,,,,7,6,0,1,0,"{'id': 'a16682601537', 'summary_polyline': 'wbrtFbd}l@jAxArAb@pAUjByBp@QvB^lAk@`BCvFdBrADx@e@bCyDhAuAOk@mCeA{A_AcDqDuAq@eEkAyAiAO]?g@~@aFHeDc@gCgAcC]sC~@kKwB{OBaBr@mD`@_AjEyEpCwE^}Al@{Hn@gC@mBlBqXIwBmA_N@mBU_@a@AoA|@_RjEeGz@yDRkESgOqBoZyFqBo@i@a@B_A~@aC?aAsAkEgCkLa@{@FE_A]kERwAM_Ai@_F{Ee@Oc@PuB|D}@Hi@a@wAwB{Ay@iCsCiDcEkC_E_BeB}@O}CXoFbBcABaFaEmEsAU]eAsC{AgBw@k@q@@kChAmFZ}@`@}AvA}@KwBuD]}@C[H[n@{@RcAt@aPHa@^g@~EKnEl@|G`@^`@nAhCz@|CjAhBf@d@ZCRSvAsDB_@_C{CkGiLeE{GAc@\\o@`EcBT]AsAi@{AUWc@GeCrAw@SsA\\e@AgCeC_BcCe@cBIqCa@{@oAq@eAOy@Rg@h@_A~ACr@d@bArC|D`B`DPp@LfBDdBGn@c@r@aJ~HaJ`G_@zAEpCc@|@Cd@J`@XTlBElCnAjB`BbB|BdErHn@|B\\t@x@tAfA|@pAdCVjAx@dAb@hBJlAMhDm@dC_@fAyGlMiB`FOJsAgA{@aC_AgOSgAg@oAkAoAmAg@{@G}AJs@Uc@RKl@^bADf@CdJOxA[fA{AdCsAjDcFnKu@Hw@q@@Yz@mB?UKBe@`A[bAkDuCkAZy@GOJ_E|UzGrBnEThAj@Rl@OZgBKs@`@kChFaBhC@XPJTI~C}Fj@i@ZAlCzB`DnFnGjDzAvAt@`AnAhDZb@d@NlCLz@\\p@t@nBfEr@b@xDt@\\\\v@bBj@n@b@Fb@M~@eBv@c@v@CdB^tAp@|ArBr@l@dIpDd@f@r@xAv@^|COtAgBd@K|AJ~DbA`GPvCnAzCtD|B~@Xb@PdAl@j@v@MZe@TsE\\aAd@MpGCb@WhA}AhAm@x@MhAZhBlAf@x@jChKd@~@z@RtBa@hDMh@\\lAbCd@h@l@F|Ae@nBjAhA|DrBrEFl@KnANz@bDlDf@xBVf@~A`@XV~@`Ed@fAxRnZ`Ah@hAFv@[pB}BfBDz@\\dE`DpBlBJAiBiByFaEuASu@DkB~BqA\\eBi@}@oA', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[40.241566, -7.52642]","[40.241464, -7.526399]",6.669,15.58,81.7,8,125.7,325,141,True,442.5,True,137.7,155.0,False,True,605.4,421.8,17772157502,17772157502,2025-12-08-075019-ELEMNT_BOLT_9D28-65-020251208-2064676-vmib7y.fit,False,1,0,False
2,"{'id': 3606646, 'resource_state': 1}",Indoor,0.0,1800,1800,0.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,16696523057,2025-12-09T18:24:56Z,2025-12-09T18:24:56Z,(GMT+00:00) Africa/Abidjan,0.0,,,,0,0,0,1,0,"{'id': 'a16696523057', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b16394595,[],[],0.0,0.0,88.6,18,141.3,272,151,True,254.5,False,,,False,False,0.0,0.0,17786270026,17786270026,2025-12-09-182456-ELEMNT_BOLT_9D28-66-020251209-1018891-k49r3m.fit,False,0,0,False
2,"{'id': 3606646, 'resource_state': 1}",Indoor,0.0,57,57,0.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,16700409819,2025-12-10T05:45:07Z,2025-12-10T05:45:07Z,(GMT+00:00) Africa/Abidjan,0.0,,,,0,0,0,1,0,"{'id': 'a16700409819', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b16394595,[],[],0.0,0.0,70.5,15,127.2,329,94,True,7.3,True,128.3,142.0,True,True,0.0,0.0,17790190180,17790190180,2025-12-10-054507-ELEMNT_BOLT_9D28-67-020251210-1622243-e7quqd.fit,False,0,0,False
2,"{'id': 3606646, 'resource_state': 1}",Percursos alternativo 😔,60967.9,7926,8214,398.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16701060456,2025-12-10T05:46:23Z,2025-12-10T05:46:23Z,(GMT+00:00) Europe/Lisbon,0.0,,,,50,8,0,3,0,"{'id': 'a16701060456', 'summary_polyline': 'ymhkFxpiw@~DkU|@iAhHxArEdChGyF`BMxTbKlRxBzElBlAIdBsAbG}@jByBj@Tn@nAsAzJm@`ICnZ_EtvAy@fDeHdMi@fCS~El@jE~CjFb@`BJ~HdArIm@nJFfC`EzUn@zKdFvTCxBcBdHiAnb@n@pLv@tBtBzBuBcDk@kBi@oLjAua@~AsGJkCkFyTk@kKsDiTEgC`AyKcBoISsIm@wByCkFe@{Dv@{IfHiM|@gEzDavA?kYp@_JrCwLfRqb@xD{PVqDuCks@wJw`AqAk`@aFwk@qB{NuDcPgI}T{IeS}A_GwAwLCag@WcFiCkPkJ_Xy@kEQo[XkHFgZZ{FwAkJ_B_@{BaNu@gGu@wHHcAnF{BgCkOgHgSsHyMeFcNgE_Huc@yf@in@_h@iKsNuFkFmJkGoGuC}UuEaOeFcOeI}BuC]iB{AkC}BgBux@mOiCVkCpCoBx@wRo@mFj@eCs@cKs@WVBjAqA{AkAQwlA_F}AXeNa@{Bh@ePfI_BV{AvA}StKeD~@_Gd@cOk@wVqDoIaCe@z@g@rCg@RcCjKK|DjAtM[hBeAhAeAjDcLlMmAhD{BpCyHpAeCfBaElAwDVwA|DqAfI}AlDaGfFiKpDwJzLoBzPdEfNJ`Bc@lG}A|GuG|JTpAxBtANbAQt@yG|B}InG}@_@iBaFeEp@oBtEeE|_@y@bAyGrDeCP{DeAiGsDy@wCsBgBkKvDiHp@iEe@_@\\Cr@`@d@vIp@hB~AvDbAr@lC@vBg@fG{BjFP`AjSnJnJ~BdDnHzAlBjOvKpB`D~@~D^|OfXlFdIt@zFbCba@hApDf@`VrPvJpK|K|JnAtDtAhLt@rDZ\\f@Sd@aBtDkCvAe@~BD~MdIxJhELfAu@tDdAr@~HmPlJyJbBkCFkBbD{D~EqAlTVrDwAfEoD|E_C`@~BqDnA[bDpDxLJ`Hz@dDf@dN`GpLxB~BNnA`GtNlIdQnPnQBf@uBxFOrGfAzExIxRzDnC|NzCvTpO`OtGnQ|J`Hn@d@e@zAoKzAkMIqApDd@dA_@nFaQ`Mz@\\|@rAbWG`Ka@f@a@YDs@b@SxBl@\\bHtGlJfAtDnHzB|@v@p@~ATxCzB`DxAtFv[bPzNfJzBL|EeAxGdCvJ_BV~CyFtBcB`EBtBj@h@rBPMtBV`@hHp@tEhCn@pAd@vDnD~@t@t@zHbU~DfJ~KbL?hAuE~H}DrLm@jGgAlCaDnAyEe@yA{@e@PoCnKoBxSlJr@rMsApCn@tKpF|BbDxAjEzC{BhFV', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.71463, -9.2306]","[38.713169, -9.237371]",7.692,13.28,88.8,9,136.4,577,158,True,1083.5,True,149.8,178.0,False,True,130.2,18.6,17790853090,17790853090,2025-12-10-054623-ELEMNT_BOLT_9D28-68-020251210-1430545-no9fhm.fit,False,26,0,False
2,"{'id': 3606646, 'resource_state': 1}",Troia - Sagres 2025,205220.0,23309,27757,1351.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,16732494017,2025-12-13T08:25:12Z,2025-12-13T08:25:12Z,(GMT+00:00) Europe/Lisbon,0.0,,,,32,16,0,6,0,"{'id': 'a16732494017', 'summary_polyline': 'kpviFlkbu@YoScJcG|PkW~i@eb@zkAylBde@m]poAso@hP}Wv]}Kx{@kj@vwBo|@`GoKfByd@dHmJbu@sKjv@eXv{@}Jb_@}N|cB_uAhVqb@~b@id@n|AehAt^kd@fNmi@`MmNvJfKvdBwDbaAnHt^xP`r@xl@boBaCxcAkNxjFqWv`@eKra@zKpwA}B|oBtQhZl\\tHr]xa@`RpMu@zc@_VjdBv_@nTaFrUhHpRqHdYhEdd@o^jo@kQbKjBnDfPrp@ja@`bA~Id]sHtJpFfGoVjLgQhFwY|QwWrx@u_ApWm@vEgR|y@m}A|FCX{TvOq]xBfBhKoJaA_Pnv@Y|b@hMll@}G~RlDrIaFlFtLhMjDrh@qGfLpO@|SvGdP`TtI`q@|Bx@pH`LzLjOt@fi@u`@pTF|P~J`JqKxMxGbIoS~MpIfM_AhIuOx[aJvJ|AjOeLdg@sKla@{[vO{I~`@XhMpMtUuC~a@|TrO`Apm@~i@rWiD~PrShKgG`NtFbQlmAlD|L|EtI|\\hQps@jPpe@he@hDnSr]nU|Fd`@~MdQhEhb@zQhu@`e@mNxtApZnkA~n@zGrIrHf_@~nAnYf~@nD|`@kQlZiBlsAosBxFs\\nnBn{AjKX~z@wZr]}Dx~Ab\\f}DggAhpD[f`@aWtnB}cDv\\u_@ftAl~BdbBi`@fdFq]nx@ykAje@wYbcBow@tZzUpHxVvShVfT~DrVsOjb@zRho@`JbQcH|M~Apq@lfChpAfiAdtA~d@|]w]zKxA`QwFxNpDxFpPuH`[nIjMgCt^|PzSxB~JyKjk@uJlHvFfHyHnSLxPaSxP[vGhBcGvJgArDiJjVeFj^ab@~b@bPjDek@jb@`OjXb@bTuBbn@yXvlClpBvm@~GaB~E~AaFdaD`HtKkJj@{T|RIlb@gTlQdE~RyDlDdKvX|SpWvDxBvZp~@sKvXwNpTxDpReQfJhH`Sy@nZ~GnRxNb_@pCps@hf@l\\\\bZ~SvOtKdnAbt@xxBnz@lm@hLrTo@`TlXlKhDhVaB`DdLzJbH|DrTbRxh@NviAsK~IdFnu@{Tlf@pK``@nYfLvn@`Hf]d_@`LwFhUae@vb@sZtIeTbz@mn@`JqP~e@gGfKxO|VFpfCfsAdzCxvC|v@jQ`e@qGtJwPvIsBxHtXjDoB~LbPbgAtt@|gA~Dzj@pb@jlBxk@bp@bI|yAfl@eItSur@bk@qWqs@', 'resource_state': 2}",False,False,False,False,everyone,False,b16394595,"[38.45694, -8.866939]","[37.022356, -8.946014]",8.804,17.86,90.1,15,136.4,674,155,True,3188.7,True,157.3,183.0,False,True,267.8,-0.4,17822684461,17822684461,2025-12-13-082512-ELEMNT_BOLT_9D28-69-020251213-713329-1r2xe9.fit,False,26,0,False
