resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,id_str,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,elev_high,elev_low
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Afternoon Weight Training,0.0,2075,2075,0.0,WeightTraining,WeightTraining,30.0,WHOOP,19294450394,19294450394,2026-07-13T12:33:32Z,2026-07-13T13:33:32Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,4,0,1,0,"{'id': 'a19294450394', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,91.0,113.0,False,True,20412832332,20412832332,36397203_59234353-6577-4948-a290-696bbe908fd7_weightlifting_msk_178394601214186718807605658533.fit,False,0,1,False,4.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Lunch Rock Climb,0.0,4388,4388,0.0,RockClimbing,RockClimbing,28.0,WHOOP,19309010905,19309010905,2026-07-14T11:48:00Z,2026-07-14T12:48:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19309010905', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,True,108.4,141.0,False,True,20427606745,20427606745,36397203_26a24151-1a53-4cf2-b3e2-f247f81486ac_rock-climbing_178402968018367033290281185854.fit,False,0,1,False,14.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Fofoca,60309.1,7291,7424,459.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,19319212628,19319212628,2026-07-15T04:56:55Z,2026-07-15T05:56:55Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,17,12,0,2,0,"{'id': 'a19319212628', 'summary_polyline': '_ohkFndkw@_Em@g@k@ImAhBuJbCcGo@uDjBqJSoH|EaWtIpAvE`CzFyFxAQzT|JvRvB~ElBfAI|AqAfG{@hB_Cp@Tn@nAcCjUA~Y{DhvA_A`E}GtLk@`CWrFd@vDfD|Ff@nBFbHfAfKk@dHDnDzDfUl@|KjF~TCrByApFS~CaAz\\b@|Mj@vB~EpI`AtJlDlIxAlKlGnL`FpCrAdB~F~PhE|QjExJ|C`ElGfFvBzD~Fh[TfFSrLlAtG`BbCjMdMtWnQpCbEjBpLE~]eAdDApBg@hCeR|i@yBhQg@jA?bCoAdN|CxQ@tCg@tCw@rBmDzEuHdFsAxBoA~H{CfEo@pB{@dGe@bMoBtHoHjI}G`Q}LnLuEpKuDtOKbTk@nEcErMaDtHaE|NgPjZuBxHaMdX]|Ct@nKs@xCaAZ{_@gAu\\gB{NjCkOKw[~X}DxAaj@kG_BNkJsAHnDnD~IrA~MbFjMOdCcCxEOjAB`BhAnDGt@cBfB{FbD_@t@HrAiJvMOzBTvDe@pDzAhFM|Aw@@yAuCeEeC_ACq@t@c@`Eb@hAdCtBDbFhAvBM~BwBhCaBvEaGxA_@xBuAnBu@~DyC~C_FAqDdD[`AFrAnB~HE`Ai@V}Ce@}ErEePzCgAIqBmBu@?eAj@mAhFoBpBI~@Zr@dE`BfAvEwAtBeGhDgBzEuHtLYfg@yB~OsD`BYx@Vb@vAChJlCbPx@nS~DvEbCdGpBfA?lB{@bFoEtHgBvL_IrFu@fKeDfIsJfJyAtMgFlJc@zFiAnK}EzI]zRoDjEoE~\\qO`b@_]dFwFxJ_A`H{C~EuPtCqCuGiKaAoFNkJkDyDjDcSYiNkBiWwDmQyFsG}@aEGqNf@{BtBiD^oBVmc@\\oBzB_FI_K~M{ZjGwUxJ{RtDcNtIaV|@oFNiUxBeI`BmCzAsH|BoDxJeJfBgD`EmLrHoIrByHf@oMv@mFd@{AlDeFtA{IjAcBfGuDbGyIl@qCJyCyCsPGcCrAuMf@cAEeBtAaMx@{DdQwg@zA_Gj@uIAkV_@_GeBuHyB_DgX_R{OsPoAgGR{LUgF_Gs[oCyEqHoGiDcG{BkF}EcSeGaQeAoAgFuCkGmLsAaKgDqHmAmLuEkHu@wC_@wLfA{]ZgDlAaEDmCeDmLcA_Gi@_KyDmU`A_OeB}IOaIo@cCaDyF_@cDVsFd@_CvGgLdAkEzD}uABsZh@qIvByKcCqB}@P_BtByEt@uCcBq@fAJfBSZqHiCiOkBaSyIiAmAo@JsF`GcAZiD_BkHyAi@aBe@G_@pC_FfWv@nBLlCmBtL\\nCb@N|CuCbGsBl@f@hAxG', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712975, -9.237264]","[38.71202, -9.235763]",8.272,15.4,True,140.5,181.0,False,True,20437970096,20437970096,2026-07-15-045655-ELEMNT_BOLT_9D28-144-020260715-7-g4czyv.fit,False,13,0,False,144.0,86.3,15.0,147.9,693.0,173.0,True,1079.8,181.8,20.0
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Walk,0.0,839,839,0.0,Walk,Walk,,WHOOP,19319810443,19319810443,2026-07-15T07:42:00Z,2026-07-15T08:42:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,2,0,1,0,"{'id': 'a19319810443', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,99.2,114.0,False,True,20438581213,20438581213,36397203_2f01dfaa-d52b-4e22-9999-f4e7dc64d0f7_walking_17841013207490658689396783795.fit,False,0,1,False,2.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Weight Training,0.0,1355,1355,0.0,WeightTraining,WeightTraining,30.0,WHOOP,19346537486,19346537486,2026-07-17T07:38:37Z,2026-07-17T08:38:37Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19346537486', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,80.0,106.0,False,True,20465731780,20465731780,36397203_39023c42-68b8-438f-9c44-ad600b2d7278_functional-fitness_178427391712526447418935982938.fit,False,0,1,False,2.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Lunch Rock Climb,0.0,5579,5579,0.0,RockClimbing,RockClimbing,28.0,WHOOP,19349922567,19349922567,2026-07-17T11:30:00Z,2026-07-17T12:30:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19349922567', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,108.7,138.0,False,True,20469166480,20469166480,36397203_12a9192e-d3f1-45c7-8b8c-4217ea86adef_rock-climbing_17842878004945093318641576671.fit,False,0,1,False,18.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Entregas ao domicílio 📦,76943.4,9333,9580,559.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,19358369069,19358369069,2026-07-18T04:30:49Z,2026-07-18T05:30:49Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,69,8,0,4,0,"{'id': 'a19358369069', 'summary_polyline': 'anhkFhdkw@qEa@aBkAwCzBgEoGkNwHkOjAoIs@z@uP|BoJtAs@zJXeHYyBiA{DdNqBrPgS{AeNj@oMoBcDr@DjEc@b@uA_Ea@VmOkPmFfAkD~DaXvJcDrEgCnA_Cm@yNwLiJdAqZw@_LfCeAaBm@{QcEgJk@{Fl@{U`EwJfE{ZvAiASiBr@aFbEcOvCgRpD}D]iD~BeO|He\\QgPdF}a@`@y@lEArC_LeGk@jGb@fA_DzBqc@|K{ZxE{XvGsX`G{H{@mEv@cBxEcAx@mBvNtELeJlEs@zI}I|EXnLxEvBnBt@`LnGnLCjB}AdEn@fB`HzCtHuBlCPdHjK~G`C`F`@jOmBhYnEp\\eLtH_@xJ`AbY|GwEoMuB_OGmh@cB}PuLe_@u@kFp@kfAgAcJmBSkFga@|FuCoBuN{G_SmJ_QcE}KeF}Hw`@uc@op@gj@}PcTuM}ImIeDmQ_DiEgDoBz@eFcCyOsIqFaK_CkBwu@}NaFAoFjE}Si@_Ej@gPgB{qAiFcQAqW~JoVlNiEfAyRDsY_EmIoCu@^k@yGJeVcJgBYqE_A{AaN{AcJr@yFeD}EhAyM_FkGFeVmFwDDgPaGoLaBeR{FiKoEyKsFaJsFeB}CiEiAwE}GwFsB}DsFeQyGiI{GuJKqIwCeJmAyCXoCeAuSiOkKsF}JaJmALm@sAuYaUcLaM_D`B}@}@yAx@qNsIqIcK{H`NoFs@aCeCmHbG}HrOyDnXeIhMeA@uF_E_Ox@xLz]nLlUjQvbA|Lxd@hS|]|A|FD|Gy@pCY|NxGbj@rDrJh@tD}Abp@hFde@wAnEoJnA}CrCsDdPRlJjOl_@jE~GzF~CbSvDxItIFjDxBfC`F`Tf@~Y|F`DhCpHpCrN`GlIf@bDvC}@xFz@lOSx@wEvB_AvIvGbHKjEoF~BsQdA_DhLoIzIH~E|BhApBjClQ|H\\vKsB|J^bNeAxNoIlDgDlGyJ|Dw@xQbE`[pErFbC~f@jBjV`QfW~V|A~EjCjQj@Dt@mBdEwCjEQrQnK|FrBLjAs@bDl@hAv@]|GkOdTkWfE_AlVj@nIaDdEvNfAtMd@hN|]tt@lPnQuB`IGpF~@tE|IbSbElCrNvCzTpOla@pSrTdB[bSs@~GbP~E|@pDvBy@p@nDfEpAbCvBlBiAlD_ObLoCnCtCjCnH~RfJdVtNfJq@zGdChJaB\\dDaFtAaC|Fd@vBdC`@GbCzIlAlD~BbBfG`F`CzNb`@jMbNzPfEnHhANlAaF`WfAlFqBrKVxCh@x@tD{CxFiBxBbK', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712791, -9.237023]","[38.712126, -9.236106]",8.244,16.9,True,146.3,178.0,False,True,20477767639,20477767639,2026-07-18-043049-ELEMNT_BOLT_9D28-145-020260718-7-7t12bp.fit,False,44,2,False,239.0,87.2,16.0,151.6,940.0,178.0,True,1413.6,176.4,5.6
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Ouriço 👀,109078.0,13842,14987,1253.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,19374318750,19374318750,2026-07-19T06:27:52Z,2026-07-19T07:27:52Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,90,14,0,4,0,"{'id': 'a19374318750', 'summary_polyline': 'qmhkFpdkw@{LDuAaAeAgIt@{DyAeAAcDvCqXmCcEmNkDhB{J`HkMoMsLiOe`@eE{BwB_HgTqJdBgHvFyB_@uDiK|AeGkCgKd@ii@wYaCoHF}EuDgD`@dFoLfEoFhOeKoCwCzUoXbLqg@q[iMg^iF{GyCwOaCxAkN{AmIrG_Tz@aMnKwGpQuTrHaK_\\WeQ}CmOiIcRiG}Ge@iMeJyC[mDoKyQcDoKdAcQiPaTJkEqHjKmBuAoGee@qFcK{DcTaWuViWsQkf@eBmi@cNsMq@qPvQiM`Hy`@~@R`D{IjJyBrLuJjVm@|PpB|A@bM}Cxi@oC@fAlCeMbOiTbw@kNzPgFrNwJdKeOuCiMfM_GB}HpJkFvBuE~RsKvM{KpCmKuCeTlEkLtOsM}C_FuE{I`@_VmJaJyQmTaOmZvGwYpAik@ncAuc@~Iq\\vYiQjIqM~AgH|KoQlJqUjGcG]aMdMoLbDiHhGaBmDLjPyIxt@c@p`@eQrTaHf@kZ{NyXqDgYyIoIdIlBd]s@lGyGjN_WnF_IuA_PiGwPnHmKx@mT~LaOk@sJmO_AyLoIuDmDWcQbKoCaAcBoFkCGsAnL{M~\\eIxw@kPvC|Fth@nKhBMpRfD@~AsChBxD~C[dAtG`DU`DfFv@lKdNtNfBbGrPfQzEw@fGvBrYnXiAtd@_C|N|LtGzFqC_A~L{Y{AwJ|C`OlAjWlIxIObHpDbOoAaAfEPr[rDnJdJc@lCePvDvBlBxHpEHbAxBA~J_FdJeBzLrIzU{Ttm@eR`[}Iha@kBh\\wa@d^yIvPcMbk@{Kv]q@v`@~CnQvJxQrHfVhOvRzDtR~HjHaCrYkIzIcHtTVvVmB~PrG~Hw@lFlFxN_FxCh\\wRdd@{EtEdAtHsD~CdFvIiBjFjDfP_ExAcHdHiDkHsPcCuC`AuCdJqFgDyGf@uSaDeH~KeExEkHm@_RnOpKhOOjI|Df]sPhTiWtLuChW{\\~u@yIjRoJvRkDdTy[jTcJrMrDxYb@zf@wEfI_OtJyApH_KtCm@zGFjPrFdI]bi@`YnVlIhTzQbq@lObe@iYdY_IpWy^vJ_Ejb@bElJwJfWmB`NxAhM_H`Me@za@xUfJpHnAxQhB~IjS`S|KrHlGRnDfFfTsInBeGnFcAhCsU~E{HpLqDnUbErHiEbxAfp@rb@hW~}Bbf@|V~KtCnHrJyDlm@bRnw@dIjc@u[l[wAvA~@v@xGjQt@~g@iBnDyHBmLlM}XhGuUdKqSpOye@|@o[hHkV|OuQdG}OdIiJrEg_@hEcHpAwI`RgSr@}H}CcTrE_b@pU_t@l@ga@wBcPgl@ug@qBiHPuM', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.71275, -9.237211]","[38.685794, -9.306684]",7.88,17.72,True,147.7,176.0,True,True,20494035734,20494035734,2026-07-19-062752-ELEMNT_BOLT_9D28-146-020260719-13036-op0q73.fit,False,36,1,False,368.0,85.5,20.0,142.5,498.0,167.0,True,1973.4,307.0,32.2
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Lunch Hike,0.0,2039,2039,0.0,Hike,Hike,,WHOOP,19375870463,19375870463,2026-07-19T11:34:00Z,2026-07-19T12:34:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19375870463', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,True,89.7,109.0,False,True,20495626376,20495626376,36397203_1c47683f-2768-4582-82c1-0f9e858ced92_hiking-rucking_17844608405028550132376840063.fit,False,0,1,False,4.0,,,,,,,,,
