resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_temp,workout_type
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Base Miles #1,17520.5,2526,2526,191.6,VirtualRide,VirtualRide,MyWhoosh,17180872430,2026-01-26T10:10:41Z,2026-01-26T10:10:41Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,0,0,1,0,"{'id': 'a17180872430', 'summary_polyline': 'woiqHoqp]d@jIJx@FPRVhCfAr@RXALE`@]jDmErAkBP_@Le@@uASmH?k@@UNc@R]dBwCtAuBVWLGJCL@ZJdAd@XDLCb@e@vDaFVULCL?\\D`IpAvAVZNJLFPBl@i@jKGl@S~@[v@]r@kH`Lk@bAQf@CTBV`BxD^p@JJLDN?pB_@v@Ex@Bv@FXFh@Np@`@tCnBpBjAjB~@~An@lD~@fA^hC|A~AdAjAfAn@v@^n@Rb@Vx@d@bBZx@f@dAr@rAf@fAXx@d@bBdAnEN`AHzA@tBCrEFrBJbAN`AVz@Zv@Nh@H`A?n@Al@MbAOf@Qb@iAnAgVxTiB~A[P]Lm@F]Ak@M]O_A{@c@k@e@gAYuAc@qD_@gCc@}Ce@_Ca@wAM]mAiCeByCwDaG{GaKeAgAi@q@oAiAs@cAs@i@g@s@m@cA[]qAcA{B_CiB_BaAg@{CgAkAg@iFsCuBcAwAk@m@Mq@AW@q@NuDfBw@Xy@Py@D{@Ew@S]Oq@i@_BgBeKqM_C_Dm@s@k@m@YUWQs@[q@Qs@MkAGiA@q@HkAVkA\\_Br@wA`A_BbBeF~Gw@xAe@lAa@fBm@nDQzAa@rGWbCOlDKnA?fBDxADlCDj@Np@t@nAz@fC^bBZnBLxAPbFFj@JnDJrFFpAHn@Rz@Zt@l@dA~AbDXd@TVn@f@pFzClEzBb@HRAPG~As@~C}AdDgB~@m@RS`@u@`CwF`@}@h@u@TQp@]hH{DdGaDt@Y\\IZA\\@\\DXHrAj@p@f@l@p@P\\vCpG`C~FlDdIzAhDX|@Bl@An@S~@Sb@W^g\\f`@wA~Ag@`@]Hk@DyBBiJ@{@B{@Ny@XgAd@_B|@oBlA{B`Bi@d@{A~Aw@l@_@N_@Ho@F_B?aAK]KaJsDyBeA[YWa@g@mAWa@Y_@Y[]W_@Q_@IaAQw@[c@[_C_Cm@_@aHqCw@OwBQ[GSKQOQUyAwDYe@WYYOq@SuAk@qC_A{@c@y@o@{AwA[UcBgBq@m@_Au@}AgAkCeB_DkBcAe@]I]C[A{@DiALeB\\}GdBgNxDk@X[VmCnC{@f@i@RSDkSzBm@DUCUGWOg@k@g@q@iKkOQ]Ke@OoAg@gI_AwGKkAGgACeBDwAHiAb@gD', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[50.187896, 5.008083]","[50.229675, 4.991695]",6.936,16.54,54.6,138.4,162.0,142.0,True,349.7,True,134.5,150.0,True,True,71.4,-5.2,18276274892,18276274892,myActivityfile.fit,False,0,2,False,33.0,,
2,"{'id': 3606646, 'resource_state': 1}",Afternoon Hike,1743.0,1249,1278,37.0,Hike,Hike,Suunto Race S,17185019697,2026-01-26T17:52:05Z,2026-01-26T17:52:05Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,0,0,1,0,"{'id': 'a17185019697', 'summary_polyline': 'k|gkFbyjw@@aAH_@NSv@OVQf@i@PGlAIp@Ol@WZEXUl@YtAQT?BA@WVYHQAo@Hm@Au@ES@yBKU[_Be@aAm@q@OYBCD?~Af@ZXHZCt@@rCCp@BrBEZ[dAa@bAqAZUFQLUJaAJWFq@VwATSLMTST[Ni@DSPGV@T', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[38.712915, -9.236945]","[38.71269, -9.236922]",1.396,4.14,57.2,,,,,,True,129.1,171.0,False,True,86.2,47.0,18280465915,18280465915,6977af47c9e5df2f19cf532e.fit,False,0,0,False,12.0,22.0,
2,"{'id': 3606646, 'resource_state': 1}",Roadie,24645.2,4140,4411,593.0,Ride,Ride,Wahoo ELEMNT BOLT 3,17226597658,2026-01-30T07:36:58Z,2026-01-30T08:36:58Z,(GMT+01:00) Europe/Madrid,3600.0,,,,0,0,0,1,0,"{'id': 'a17226597658', 'summary_polyline': '{nrgGtbyb@Y_B]oEm@wB}BiGM}@UcE[yAuA{Ei@mCMy@YoDe@kDQg@Yc@Oq@y@oHIoHBi@Jg@v@y@Nc@@mEjA_Pj@uD|AgI~B_OZ}CJoCTc@dBoBbBwCrH_Xr@qB~@mAhFoEb@y@D{@Aw@m@sDIgAXoDBcDLkBv@wE|@_Ed@cCjBgTNaAZeAzA}CVmAFgB]mE@}B`@cDfCaP`@qAdAaB|JoJ`Ao@lAOvOhAhB\\~BzAXHdRnAbEb@|Eg@pHyA`AH^b@rB|Dv@z@`ShN`A|@`AvA^x@~FfP\\h@d@Tf@Ex@_@xCkCdAa@`BIvF\\h@I`B_Aj@OtDDj@Xr@pARdAFnCTt@h@X|ABhAPh@`@`BnBf@XPB\\SPe@h@mHVy@nAw@fBe@v@{@h@_@jAOp@Vf@l@f@lA^TN@~@c@^Ip@DzBf@tFxBPL\\l@j@dCn@zIf@dC|@nCjF`Nr@xAbA`An@^p@N~@B`@NbBfCfDhDxCp@hDnATODc@EoPNaAf@cAnAkA|H}IfByAv@_@hAYlHw@fCiBr@w@b@_BjFyXdDsQAEGJqAtHaAvEaD`Q}A|H]pAm@p@eBrAo@\\kI|@aBt@cBtAoKvLa@v@QbAAhBFhMIf@SBcDqAmB]g@ScDiDeBiCYImBMgAm@w@w@_AuBiGyO{@wDk@oI]{BMc@Ua@YWaGaCcBa@}@Gi@H{@h@S?WWs@_Ba@c@_AUo@Fs@b@}@bAqBd@u@b@]`@SrAc@jGOd@]J[Kk@g@wAiBUO_ASwBC]QMSIc@A{BMaAk@uAa@g@]MyDGcA\\gAp@k@JiF[yBFq@TuBnBkAx@g@Ta@@WOc@s@_GkPUg@u@kAoC_CgQ}L{@aAqByDk@g@eAAyGnAiFh@iEc@oQkAw@YgCgBeBUkCE}Js@y@JqAt@}JjJmAlBc@vA}CxROzA?rB\\|DGnB[pAwArC[lAQnA_BtRm@pDqA|Fe@tCKtBAxBW`D?h@JnAd@tCD`AE\\Ux@a@n@qEvDgAnA]|@qGxUs@lB]r@kBpCe@\\}@CORA\\FtAKzCKrAaG|^aAlNQ`DOl@g@h@Mb@OjBAz@LdGdBnPGpE]bE@h@JTRFpBy@PJJRlBlHHx@R~DnD`KNz@RjDRlALl@^R', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[43.351353, -5.870017]","[43.351253, -5.870409]",5.953,17.7,74.2,136.5,306.0,163.0,True,564.3,True,137.6,161.0,False,True,398.4,155.0,18322245640,18322245640,2026-01-30-073658-ELEMNT_BOLT_9D28-79-020260130-7813-g2k0xi.fit,False,0,0,False,74.0,7.0,
2,"{'id': 3606646, 'resource_state': 1}",Morning Run,3000.0,1036,1036,49.0,Run,Run,Suunto Race S,17235553111,2026-01-31T09:46:17Z,2026-01-31T10:46:17Z,(GMT+01:00) Europe/Madrid,3600.0,,,,2,0,0,1,0,"{'id': 'a17235553111', 'summary_polyline': 'uhrgG|l}b@a@}@Yg@EMCg@Dc@DUFIHEHAZ@TAlBu@nAW`Bc@N?FFHPJ`@?VG\\@N^v@DXLpBB`AOt@Eb@a@nBMnAO`@MTKLQLWH[BSEe@Se@GsBI_@KMKESAc@Hi@d@aBDq@@iAIa@Oc@m@gAGc@?[Jm@HMLGj@BPCfBu@hAOdBc@N@NNHVDXGt@FPT`@Hb@JhB@pAQv@Mx@c@fBEp@EP[t@WNa@JO?KGCWACULM@YGcBGk@GWKGIGSAe@DYf@eBJqBC[GYQc@W_@Ue@Ec@DaAFQNITAb@BnBu@jB]z@UNALDLTJd@@TGX?JZj@DVLtADdBCRM`@MnAW|@CT', 'resource_state': 2}",False,False,False,False,followers_only,False,g28153273,"[43.35148, -5.892158]","[43.351518, -5.892325]",2.896,3.7,86.6,204.5,284.0,205.0,True,211.9,True,159.5,173.0,False,True,247.0,228.4,18331256030,18331256030,697dd3d9d6824550766aeb0e.fit,False,1,0,False,42.0,23.0,
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Alcatraz AWOL,17603.8,2535,2535,203.8,VirtualRide,VirtualRide,MyWhoosh,17253987035,2026-02-01T19:10:56Z,2026-02-01T19:10:56Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,0,0,1,0,"{'id': 'a17253987035', 'summary_polyline': 'sycoFf}wpVKkBK_@a@c@_@QcCk@e@LKREdAFl^XjC\\jBHr@L`CJd@TXZJd@OT_@Ja@JyA?kNDQNGrLFZIPOLYHo@FaNBa@Ns@NSNIf@MpIDDNCdMBhLEx@Qr@Un@o@jAMb@C|A@fKLHnUDZHRRHj@L|CBPPVXHX?vH[j@JRXHj@R|KBPl@DpHYZ@XJX`@h@vB`@lAfC`Fp@zB`@h@b@Zh@H^YXi@d@oAb@_Bb@iBNeBHaCJsA?{@EaAF_@X_@N]@MGUUOgBB[K]o@SUwAc@QYi@aBk@m@s@McA?gBFuAUWIUWK_@ASDe@N]z@kAX{@Bk@Ks@S[iAu@a@y@SQSK}BHKC]a@Qs@GsB_@_COwADm@LYLE^?r@Px@Fb@I^[Pe@Bo@K_AU{@IO]Q_@?mAVo@AaAUs@_@q@o@cAUm@[aAeAM_@OcAu@uBOYSSaASSMMW?qBEoAKu@KWe@WuAYu@i@aAqAeB{DQYaAy@Ca@NWXGt@Jp@\\TVRXl@|ATX\\?R]Dc@Ig@q@aBU[oC}Bu@Sq@HUNUL_@j@Wl@Or@SfBAn@?vPGRqI@o@RW\\QbACvKC|ACVUl@QJUHcA?uIEq@ECuLEcACSUa@a@OS?OFORGTEr@Bt@f@`FD|BA~AIh@MX[?IMCU?iAUwGEeGFsAPc@JIp@Gl@VJN\\v@TFRMBM@}AOyAO][[yC}@i@JMNGr@D`^TzCn@vDHlBNt@TZf@FVMLOJUHe@HgB?qMBSPGtLF\\KV]Ly@FgNFm@Nc@NSXO^EdI?HJ@PCdMBvKGhAKb@_@bAk@hAMd@AfL@f@BPzUHZJRXHn@L|CDNVRj@BjGYnABXZHl@R`LFN^DvHY^@XJ\\f@h@|Bj@`BlBhDp@|BR`@VZb@ZZJXGb@e@b@aAp@cCb@iBNeBF}BLwA?{@GaAH_@^i@HS@KEUWQyB?QSe@w@iAYOKWc@e@yAW[]Si@IaA?gBFwAUa@QQUGa@Fu@N]p@y@^cADi@Is@]i@c@U_@]]o@SWUKuBJQCY[MWGYKoCc@iCIu@?g@DKBMRQZArAZb@?b@I\\WHOJg@?m@a@oBIO[Q[?sAVyAMkAi@_Au@cAUaAw@e@m@[eBs@mBMWSQk@K', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[39.346585, -123.500286]","[39.339021, -123.497787]",6.944,17.12,54.5,138.2,162.0,142.0,True,350.3,True,140.6,155.0,True,True,76.0,-6.8,18349902476,18349902476,myActivityfile.fit,False,0,2,False,47.0,,
