resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 3606646, 'resource_state': 1}",Morning Workout,0.0,2503,2503,0.0,Workout,Workout,,Suunto Race S,18274720588,2026-04-27T06:04:27Z,2026-04-27T07:04:27Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,2,0,1,0,"{'id': 'a18274720588', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,27,True,81.7,106.0,False,True,54.0,54.0,19378056339,19378056339,69ef066117de5f365f01c637.fit,False,0,0,False,4.0,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",1h sunny 😎,35041.0,4129,4193,155.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18277698141,2026-04-27T11:02:04Z,2026-04-27T12:02:04Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,4,0,0,1,0,"{'id': 'a18277698141', 'summary_polyline': 'omhkFpdkw@_Fk@m@w@KcAx@mFh@eC~B}FEg@]s@McAJkA`BeID{AUmCDwA~C_QVwB`@{@r@EzGrAxEfCVIhBcCrBoBh@Ox@@dTvJvDn@rMhAtDdBj@JjAMz@{@v@]rFw@Zc@Vy@b@Wt@L`@h@Pf@Fp@}@zEg@zDe@|GAxY}A~f@_Bhn@]pBg@pAuFdJi@pA_@fB[xFFzA`@bBdDvFb@`BJrHr@~DTfEGbBe@xDCxADjAxBtLhApH\\tHv@|Fv@hDxB`HJ`AB`AG~@sAxEQnBgAn^@fCXbI^hB^|@|CrEp@zAVxAn@xHj@fBxAfCh@vAT~AZbEh@jBlGnLjA~@xCpAjA|ArFbPnEpRlE|JdAbB`BhBjGfFx@hAr@`Bf@hBzE~WVlESxMVhCv@jCvAxBdN~MhX~QhA~Aj@|AdA~EPzAJfD?zWKhC[vAo@`AHxAo@`DcRxi@a@zByApMg@pA@rBkAnKEtAP~BjCvMDhC]dCcArCgExFwAhA{DtBcArAg@|A_@tDWdAy@|AaBlBo@fBcAnGa@vLYpBiA~DkApBmD|CqAfBy@hBgCbI{AvC}AdB}GvFqAfBaAzB}@zCw@hACb@DPf@LPURqBj@{BbAaCbByBpGsFzAcB|AyCbC{HbAyBxAqB|CmCnAuBd@yAr@cDTiDT{Hv@iFl@oBvBgCj@kAVcA^_EZuAjAeB`EyBrBgBnDaFdAyC\\uCE}BUaBwBcKMoBDkBhAcK`@_BH_ChB_ObAkDfPme@^wAPwAd@{@@}A`@mCHcE?aQOiF[uC}@qEo@_B{@sAwAqA{U_P}MsMeBgCm@oB]qCTmLWaGoEwVw@cDs@}AeAuAeG_FqAaBsAwByCyGm@aBwD_PqGmRg@y@o@m@cCcAqAaAiGaLg@iB_@yEWuAc@mAeB}Ca@qAm@sHa@wBo@wAwCcEu@{BSmCQuHbA}]RwCxAmFDkB[kBiCsIgAkGQeBQcGaAwG}BmMAuA~@kIByAQgBsAuFOaIq@aCaDwF[eBCcAXcF\\oBj@uA|FuJj@iBR_BbB_r@tAqc@AgVFyChAsLvAgGYk@kAaAc@KaAVcA~A]RiCXkA^]Co@sAm@IWP]p@Ef@Hz@CPWLyCwAmCi@iOkBuRcJaBoAk@L{@jAqDnD_@To@HiD}AaHsAYWYuA_@AWh@IlBY|@aEvTBj@l@hAN~BKjAaBvHAhBXfB^XtD_D~DeB`@K^Fb@l@~A`K', 'resource_state': 2}",False,False,False,True,only_me,False,b17389585,"[38.712711, -9.237155]","[38.712215, -9.23631]",8.487,14.52,23,True,142.7,163.0,False,True,97.0,13.4,19381062541,19381062541,2026-04-27-110204-ELEMNT_BOLT_9D28-107-020260427-16720-1auvv.fit,False,1,0,False,90.0,90.3,150.3,640.0,163.0,True,620.1
2,"{'id': 3606646, 'resource_state': 1}",Sunrise crew 🌅,59436.9,6854,7398,327.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,18287996762,2026-04-28T04:41:47Z,2026-04-28T05:41:47Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,34,13,0,2,0,"{'id': 'a18287996762', 'summary_polyline': 'anhkFjdkw@{Ek@k@m@MuAlB{J|BqFm@}CpBmLUaHbEcUf@o@~HrA`FlCjFsFfB]hUbK~QrBbFlBlAGjBwAxFw@hB_Cn@Pr@zAcCvTCtZ{DdvAw@lDiHjMi@pCSjFj@rDxCbFl@pBHnHr@lERfEm@zGBxChElWp@rKzEnSC`CsAzESbCeAt^b@jMt@dCrEvHdAlKhDtHt@hHh@tBdGdLrF~ChA|AzFrPzElSbE`JbD`EzFtErBlDdGv[T~FSzKdAhG|AfCrNlNfX`RvBdEvAjJ?b]a@tCq@tAGxCuRrk@yB`Pw@nCDzBgA`KEnCxChPDfCW|BiAbDcDpE_IlFqAtBeAhH_DrEq@jBcAvGi@~MgBvGyHzIiEvLyApC_MpLaEpJuDvOMjTw@hFyD~LaDtH{EnP{NtWuCzJuLnWYbCn@fMa@|AwAvAc@zA@|Li@bKJnLWvAuBhDg@pBBzJ]~CRTZ}ACwM`@_BtBeD\\kBZad@XaB~BoFIaK~MoZ~FcUrKoT|CoLpDuIpDmLv@_F@uQr@qFvAqE~AoCl@aEpAgDzM_NrAgCbEqLlG}GfAmBxAmGd@kM|@}Ff@sApCgDhBwKbAwAvHgFpDaFfA_DVyFsCaOA_FjBqPzBkQzQei@tA}Fp@cJMsZwA}ImB}DiYcSuMoMyA_CcAeFPgMYaG}F_[{BcEcI_H_FgJeByEaEaQaGuPoAwAoE}BmGkLi@qBs@cHkDaIgAmKqEsH}@eD[uLbAo]V}CrA{EFsBaDoLkAoGg@yJ{DaVbAgNeBcJO{Hg@}BqDwGSsERwDf@}BxGmL`AeE|DuwA?{Wp@cJbD}MjQs`@bEaRVyDqCur@uJk`AgBae@uFmm@gBaLqCoLmImUyEqJeCuAmV}EwP_@yYhKkDf@aGk@sPkD_EJmJbBcKyBkB{A{CqG{A_BiQ{Dm@kA{@uEeGoJGkHq@oC{BoBwScJc@gA\\{@x@DPx@}BnFsHpH_Fx@@vGUp@_OeE}DtAcFhFI`AnAxDAt@sCbEsHb[oElXuBrG{GfQuBra@b@f@`Kl@v@`@bBdYIzJ]`@e@]Ds@h@[hB^XfGf@zA|F~HrAbE|GjBbAv@p@tAV~CzBdDjBjGpSrJbInEtLtH`BJ|FeAxFdClK{AVhBMz@oDn@cAt@eBlEBdBl@r@lBBNb@WrAZn@nHp@pEnCxAbGbD|@dAlAlNn_@fJrI|@vAIlAwFjKuCfJc@bFiAdDiA|@iBVmEc@}Bo@mDbOqAdPzHv@dM}ApEx@zMlIjBtDRtA`AvAtA`H', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.71279, -9.237026]","[38.715409, -9.241025]",8.672,15.64,13,True,145.3,171.0,False,True,121.4,12.2,19391410710,19391410710,2026-04-28-044147-ELEMNT_BOLT_9D28-108-020260428-2544-dprxrb.fit,False,18,2,False,164.0,91.3,154.0,717.0,172.0,True,1054.5
2,"{'id': 3606646, 'resource_state': 1}",Morning Workout,0.0,2519,2519,0.0,Workout,Workout,,Suunto Race S,18302140663,2026-04-29T06:07:11Z,2026-04-29T07:07:11Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,2,0,1,0,"{'id': 'a18302140663', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,28,True,92.1,115.0,False,True,50.8,50.8,19405656191,19405656191,69f1aaa83f94594bae4c83b0.fit,False,0,0,False,5.0,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Até porto covo,108763.0,14023,22164,657.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,18330394084,2026-05-01T04:26:11Z,2026-05-01T05:26:11Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,99,18,0,3,0,"{'id': 'a18330394084', 'summary_polyline': 'cohkFfdkw@eEi@q@}BlFcRm@qDrB_LMwGpFaXOcBiKOmMuCkOsNePea@}E}CeBcGgOeI}Ck@CaBpBqErGaAaAcFyJfBgGcC{Ix@}j@mZkCsIjAaDmUmXgCwFuEuv@dBiVxAu@`AaDPmIrA_EzWwi@`M_HeA_Cw@wSaOgFaFn@d_h@i`v@fLlF`@dSzOvEh@c@TaRhENjBhAMfBnC^f@oEnDOq@sEhAiIbq@dOv{ApDjNeI~|@gaA|KkJlj@{^pw@s_@zGwFrG`HbBvHtCjA|BjEOzDhKge@|NmYnI_KvYgQnLiMrU}\\rAyEbh@s{@zJyL~c@u\\|oAwo@bKuRpDmDv\\kKn{@kj@v[uJgPzEfWkH`[}LvOmMlR_D~TuMpC}CbBsFlBud@bGoIrKwDxi@qFpu@_Xl{@}J``@}NjjA_}@`XyVjGkInN{Xhc@qd@bb@y]zj@q[zLeLnOaUjNuNnN}i@lLqM~ErHtCnA`eBwD`j@jH|UDz^~P`l@xi@hEzAbsA[`XwA~fA}N`oAsDp{CaRtVsIzFk@jb@|Kfl@u@nMv@`\\{BrQpD~]TxNdDbNn@fK|ExRi@`EvCdT|WpElWjBfEta@vQnM{@bP}H~IiIpGqAvdBz_@`TgF|UlHfRoHdE~CbSb@ld@o^dQ}FlKRnPcJnKrBbD~Obr@pb@b`AzHtWgBbEkEvCdDrEnAxCqD@cHlBwGlGuEnEkNpCyRfBiEzDwCfB_Fvi@_s@`G}DdMiOfPd@lFmAvEgRbIeJlGeOjXgd@~M}\\bAu@~Dh@u@yEnAmM|@{DlJsKjBuKzB?uBqKd@wLbn@|BfTaCnDhBvVlCvErE~E_BhNtAtUoGjSlDpIcFnA~@|CrJtFpCfFZfVuF`QYlCtAfCxInCrBEfSxGfPlG|D|KzCjYkAxIv@lDdD|EYt@pA@vEdFzE|BLdA|EvDo@fIbBrIgJxH}C`D{E~F_EtDKbBaCfTArKzC`BxD`Bp@dBoA|@gFpE{A~D\\rDzFhA?pDqFbAwIx@cA`G`B|FjFfMaAxHoObIo@nGaE`IqBjKzAtNaLng@uK`JqFtCwFtHiAfHkJzGa@rFsHja@T~LpMjFp@tGkE`EAvb@dUrO~@|EtHbg@r`@~KuCxI_@jQxSpJiGlGpDlEn@x@~GpOlcA`ChK|CrFj_@zVvt@~Pbf@|e@hDjStMhFpEbHhHfEzGjXBdCoY`i@cDpD_Nn^u\\x^mN`IyEkAgJnD~Kjf@rKrgBtFfQ', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712978, -9.236702]","[37.851786, -8.791298]",7.756,16.2,15,True,141.2,181.0,True,True,235.6,-39.4,19434134523,19434134523,2026-05-01-042611-ELEMNT_BOLT_9D28-109-020260501-15983-5l5y0d.fit,False,61,2,False,333.0,85.0,130.4,572.0,166.0,True,1825.7
2,"{'id': 3606646, 'resource_state': 1}",Circular Porto Covo,61549.6,7240,8173,449.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18345522803,2026-05-02T07:17:13Z,2026-05-02T08:17:13Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,25,12,0,2,0,"{'id': 'a18345522803', 'summary_polyline': 'sx_fFtntt@l@c@?a@gM}]k@sBi@gHiJy~AUeBgJma@PoATc@~FcCh@Et@Pbh@nT|C~An@EnBsA~ASzKSnNp@|Bu@~TgNrh@aTnQiF|ASbBDl~@nTxOjCpDz@`FlBjc@zTd[bRxBlB|EpFb@x@^xAzDjYn@tA~@j@xnAjY`[Pfb@xCpB[x\\kPzAS~PXpB_@bBoAv@sAvEsKbAgBn]{d@rAmCvFuN|@cBz]sc@d@eA`@cBlBaT\\iAx@{@D]QW}As@e@a@miBwpBw^ga@}IaNqVuVqBsCk@_BGaALgGMqA[kAcAaAoKyFwA_B{EsMOkCNoC~@uBhIaJhAgDl@oC\\m@j@i@lCoAh@g@Vy@GaAe@w@w@UsCh@iLHyGUgDXuAe@eAuAk@cD_AeCGmAlBoWDcDw@wJyBaLwA}EmE}Hc]cYoB}B_BaDs@qCe@}C}Do]_@sAkA{Bc@sAI_BCwIKaBe@yA_GuLc@uAG}BTiHTmCSwCi@oA{DoGo@kBEmAc@W}CjCaArA}CvGi@|CSb@wCjAeAdAOjAf@vA?nAw@tBeAfAcBj@mJrB}DbC}GjBaADyDu@q@D]\\yAnCODK\\gAp@mFxBqGj@{@^c@r@eApD}@p@cGXqIgAkAAcBj@{GxF_AhAc@|@eRrk@sNvY}@lAo@^}HhAkAl@eAbBmCrHg@`AkMnLsIxEsAR{DFmAd@qBvA_AT}@Ay@SuDwCuAk@kBIoBf@ubD~gBw@hBiEpMIhA?`NHp@Xj@fCzAjDpG^fBEjCiIte@St@qAjBWt@c@tJkBdMe@rAoH|Lo@r@g@FkDm@eAa@mFmDgAIsNjBeSnIulBvsCyApAeBr@qSjDw@`@yB|Bk@VuMz@cAZc@`@m@tAcBhIs@|AgH`HaiBvoCmQjUkAxC}F`RoB|GAd@^b@n@EbFeEbA[jFZtAMvFeDzE{BnDgCpAi@rAMtDHrAKdWwGz@Gr@c@tEkA~DmBrJ@bBUbAa@hAy@t@_AfBeDvAuAhP_HB]Zm@ScAA}BKg@\\aAsDc`@y@qRNkx@JcM|CuEzEgEjA{Ah@yA`BmIz@sAbBg@lI[vB[l@YpA}ArA{@xR_D~Am@fBoAbDmEvr@qeAh@q@ZIxUrFjVjGfMhGxAb@`r@|Bjp@jDrBf@~QbKb@t@VhBf@jAtJfc@jKpfBV|Ap@zBtEtMMb@kA~@dChH', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[37.85334, -8.791813]","[37.851028, -8.793491]",8.501,15.34,16,False,,,False,False,224.8,6.2,19449457938,19449457938,2026-05-02-071713-ELEMNT_BOLT_9D28-110-020260502-7-jkqg88.fit,False,10,5,False,,90.0,163.8,486.0,177.0,True,1184.8
2,"{'id': 3606646, 'resource_state': 1}",Retas infinitas 🥱😎,84518.3,10130,10744,766.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,18356504122,2026-05-03T06:48:51Z,2026-05-03T07:48:51Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,29,18,1,2,0,"{'id': 'a18356504122', 'summary_polyline': 'g}_fFv_tt@wHiUqK{gByJoe@b@kA|FgC|Fx@vNkIzZw\\hOg`@bDmDrCoGxOyYxDmGoIe\\cGqC{EqH_NiF{@_Cu@aKu@iCqe@ue@mDyAoo@gNuU_O~@aHb@s@huAew@ul@SaFkCkgAw`@mAEn@DPe@Qo|AoPgbBm@aCcGyMg@gC{CceAyHuaBgA{CiB{Bwl@oi@qPqXtTyj@bJiu@bQmaAmtBalC_jA{zCem@c`AuBwBob@eLqa@eJkRzEeTWcEuAcCd@kD`BoGfJuD`AeK~FuOxEsAAsFoCaHoA}N|AcHxF_D|G}@|@gFf@uDjCeF@cQlJ{NjEqPe@uQlFw`@fB}HeAaFaD_GsAuJiEeP`@gZbI}HpFqFhAcIGgUdH{NtAgJ`GoDlFoEhBmFxGeH|AgAtFqGfJsEzYyGp[cCpE{E`CoCbCyBvGiB`NcBlHR|QSfC_HnXQtNb@bJiBxHuBtU}@zDoJxVaBtGZ`G_@t]`BbNBvM}CfbAx@|KyAdPkD|LFpDpB~OcDdRXtBlCpGhDlLAlCwAdCDhBzFnKPjC_FpLmFfGw@`LgGx[sDnLJ|Fw@zCY|JmCtDQ~@jBnCn@fFvBtEz@rDM`DuApE|AnFnAzI@jEgAvPlChHCdJVhD|FjH~EhBnHp@jB|GdCnDUfAmEzBwJ~IZ~AzDjIe@`Gv@wD]sCd@k@rm@dCjTcClDhB~DNxEtAxI`@~BjDtAf@bF}AzMxAtEs@vEuCvHiAbOnDrCCtBo@bCyCjAWnA~@pCfJjFrCtB\\hE@fToFlK{@~BP`EfBfCrIlCpBSfFPnL|A|BpBjIbApAnG~DbLzCjImAjN@bJt@hDdDfFUn@hAJbF|ChBbAlBbCT~@tEnDq@rBn@jBO|B`Ah@WzGqIhDkB|Bc@dD}ElDuAbBwBtDI`B_CdKe@jHj@bKrChB|D|Aj@zA{@b@uDj@kAtEuAtD`@jDrFnADjDaFjAcJjAgA`CbBfBApFjFdMy@t@e@pAyDlE{HjHe@bHiEhIqB~JzAjNyKrg@wKpBmBrFgCfCmF|HmAfHmJfHk@hFiHbGd@|XOnA`@zF~IrBhAjCSfBhA~GkEzDAfPnHlQpKpG@pBhAhCGlFzHhRzMbSjQ|BFtHyC|IWvBnDbHvIzCdCpAEdF{EfA_@~A\\`DnCnEl@j@p@PdFvPrgAtBbIfGjIyEbO@dQzDjDzC`GX`BK`D_Idd@eCnFe@~JkBbMeKzPiFq@sG_EkAMsNlBcShI_r@vdAhBdAbj@fN|N~GldBnH|T`LfB|EvJfc@nKtfB\\`CrDnK', 'resource_state': 2}",False,False,False,False,followers_only,False,b17389585,"[37.853512, -8.791763]","[37.852178, -8.790955]",8.343,15.34,14,True,145.1,162.0,False,True,274.0,26.6,19460613906,19460613906,2026-05-03-064851-ELEMNT_BOLT_9D28-111-020260503-36900-cdzl0h.fit,False,8,1,False,236.0,89.5,156.8,513.0,171.0,True,1588.5
