resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 3606646, 'resource_state': 1}",Lunch Weight Training,0.0,1885,1885,0.0,WeightTraining,WeightTraining,30.0,WHOOP,18849570970,2026-06-09T11:32:55Z,2026-06-09T12:32:55Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,2,0,1,0,"{'id': 'a18849570970', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,79.8,100.0,False,True,0.0,0.0,19960953129,19960953129,36397203_b73453b8-7a5c-4d07-9be7-33282da6ab58_weightlifting_msk_178100477511028063975594740012.fit,False,0,1,False,3.0,,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Covilhã- Cuidad de Rodrigo,108088.0,15174,15983,1295.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,18862171448,2026-06-10T05:28:16Z,2026-06-10T06:28:16Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,2,18,3,1,0,"{'id': 'a18862171448', 'summary_polyline': 'ubrtFpd}l@hDzBvEcDvHMrIfB|FuHiLkJwJqEhAgLiC}K|@iL{BwPjAuG~JqNzEwk@{Hk~@uDkDg@uEp@a_AdCcL}ByJ`@gO_DuOrAeGEsCgAqMuCkN|Gcg@YkM`AgHu@sVpIsPcDeMeJkL{F_PwDyV[uKmFqWkAsh@{EgRm@sGyKq]eWo]uGaNwDyMwB{PuDiLhLqWd@qDw@aZqKok@wEyKtHsPic@qg@ke@sYse@ew@eII{LiEiZdDcZqCy]rE}H~FmF~HuLhJuHbBqFc@_AcGcFuJwZw^wCmH{AoLqIyQwAiP{HuJ{ByGqHmf@zB}^wDq_@eKsa@aHc`CvG_jAbHgb@pL{TGaJoB}MXk[}GiZYoMqIwVmO}WiI_HoGuIwE}NiTc^yA{MsK}J{HgPaAqSsDiI{@_PcC_E{FoCqBqCsLiDuDsDWqAp@gCoAeH_HoK}A_M{E}GgBrAs@c@r@qCsAuJp@MnArD?qD`AqB|CvAj@eGhFwClA{KjDmEuCsT^}KkDeNr@gYcHeVuJoJiEwYyFkHkIyRwMuKw@qD^kCdEyFbRmi@bDwC|KaDrB_Cj@eDXqU{CuL_JyLa@cQmPy[}Gaa@tC}b@NqMw@gc@gD_NLec@wB_Is@iXqOms@oKw\\_@_UkC}LiQyVPmBhFcEsG|@mC_Ad@oB~BaAbAoDYuOzCaNsA_Q^}RwUom@cGmEiEkNmEiGsDaPkPyDgCsBgA_FmLiUSkClAgIaIkQuCeAaGxBkH^wRcSwSsDoFeJZoGyGeGmGyK{C}M}AoUp@iG]oKcA{CW}GeDyImBiQFaF|CeLmBeIgAyLaMid@lAyW|@{BpE{Db@oH{FqVtBuHcBeMXyKyBoSrAsUmKmRu@yLmEcLoLoLqKiMiEqPeJsQcCeLiDcI{@{Qn@ys@kAal@Di]zDaVtAox@zBsPGwM`K_i@jAwNS{DeF{TdE_GjJmHbAyNtPg\\Lma@{BoHkeAqvAeHcM{ZsSaEeFnAos@eCei@_DqNLmDaAv@_EmBeGwNgGgGaAiPxAygAIqm@l@_M]eh@dB}WKaJuAeJ@eKcA{Hj@wL{@gCaF_A{BeHgWibB{Uc_@e}@aoBkuA{qB_z@wfAaLqRk|BupFeSyTam@eK{o@cf@qb@aDeXiGaE_Eww@iwBrB_NB{KbG{MeAeOl@oPtFgTlKaLnB_Ed@yRhDsQw@gGaJ_MoEcTp@eVpC_MiAsGaDsByOkDi\\EcMgL}C{LwAwB{PqA{PaP}GgDw^mEwStDuOuBuBiDqEyTmXmTuM_OeHgTy^u^uiC_`E', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[40.241371, -7.52597]","[40.575766, -6.562671]",7.123,15.42,True,148.8,171.0,False,True,845.0,402.2,19973775789,19973775789,2026-06-10-052816-ELEMNT_BOLT_9D28-128-020260610-7-6flx53.fit,False,0,3,False,423.0,83.0,15.0,160.7,389.0,176.0,True,2436.8
2,"{'id': 3606646, 'resource_state': 1}",D1 - Estágio Asturiano🫡,41093.2,5458,5680,496.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,18875760924,2026-06-11T08:34:03Z,2026-06-11T10:34:03Z,(GMT+01:00) Europe/Madrid,7200.0,,,,4,10,0,1,0,"{'id': 'a18875760924', 'summary_polyline': 'qorgGhdyb@c@wBe@iFgDyJNuA_@gEwCeLg@aHg@aDu@kAmAuJm[jOkAK{FyD_@NaAfH_AtCEhB{@hE_BfEqC|CWhG}CzKSPCxDr@tI_@~@p@|ElAzBz@tFW~BPd@hArAvAlM\\bPW|Hz@fC~@FV`FpBlErG|KbDzCjA|DTlHbBrGt@xHnA`IPdGQ`C}BvLm@hXaCnSwAlBqK`HiApAu@dC{@zHwCpDg@tAaAxNg@~AgE`C}CtEaNpCsDzDgErCyAjCaDjEm@tA_BtH{ArPaA~BqKtCsPk@mAb@qAfA{@jBs@lDeC|CG~@`@`DYrBq@|@_HlC{BjCiNbZqBrGOhGaCvFaAn@aCy@kA\\Yd@YfA@`AjAbJYtDFxDInAk@jAaC^{@t@q@pBc@fDcAlAmFC_JyDuJ{A{HkFoKaEsA?_Dx@_E]qC`AqDPwEqC}Ek@_C}AkFcBaFyEmCoHu@iGoEoHcAg@uCIyDoA}Ec@qAsA{D_KaBkBwCqAgEU{CaAyBOeEkMaA{IgAoD@iEeAeD_@_CCcCa@sCEqHaA}EUmE{AmEmCiLiBwL_BoGkB}DaCsCYy@EmDPiBnC}CRw@?}COw@y@m@sGsA{Dx@}BqBgEqByDM[s@eB_M_BiDi@wH}@oEF_CdE{HbEyIh@_D]aLl@gZS}AyBaGEqM_@yE_@gBq@cAsU{Mc@o@{@wCWiBSmHt@}KNmZmQy~A?mNU_Ai@o@cIgCsGoFFe@dEwEvOgUpAw@Ls@Ka@_BmA}CwGqHya@s@g[b@}MtA{NAqAiFePeAiF_AgCqAkBcF_Fq@mAoA_KGyI|BeQhCaB|Cu@d@m@OaBqAmBO}AKaQzAaIQsIZi@`Dg@jE}B|K{CpBBlExAxDTxC_AzAXrI_BzIcDfC_B~EsBnVjAf@g@Hq@EeEm@sCXsAn[sUxDeBhAAnCdArAlDrAIl@Zf@g@p@?fEfChFzBtC`ClHxJ`Q`OnA`Bt@RzPxNd@x@PzAxAQlA|@fJ~HrDnD\\p@~An@hKhJv@hBzBt@jHzF`AjAxT|Q`AbBtCz@x@~AtBItFxCvUzTp@hCnBz@dFbHd@~A`A^zD|EtIfGlBtC~BnGpArBdR~Q|O|KzDfFB`AQnAh@zEq@~EgDxJ{@bHqA`ASf@Cr@Nn@nBdBhDpGxFzEd@`A~Ax@xGnInL`QtFdKvD`F~CrCr@nAz@VrE~ClBHpZqNt@vDx@lI[nL^^fB}@TH|BzI`@zFpCzH', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[43.351479, -5.870288]","[43.352677, -5.869421]",7.529,17.36,True,143.5,170.0,False,True,308.2,91.8,19987587555,19987587555,2026-06-11-083403-ELEMNT_BOLT_9D28-129-020260611-7-5okpo2.fit,False,4,0,False,128.0,85.8,19.0,154.1,516.0,177.0,True,839.3
2,"{'id': 3606646, 'resource_state': 1}",D2 - El Gamoniteiru,98917.9,15954,16537,2195.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,18888224002,2026-06-12T05:13:12Z,2026-06-12T07:13:12Z,(GMT+01:00) Europe/Madrid,7200.0,,,,84,14,0,1,0,"{'id': 'a18888224002', 'summary_polyline': 'aorgGbbyb@_QaeAzY_@zKzDxw@fdAlQ`Itb@fCrDxDtGxTfRjInMoB~Qg_@`N_DdOuKja@fEnNjYjKhI`R|a@|PnItLx@hc@kI|]sCzOOzSgh@Y_J_Lo[xAmQbHkJlCgQfDmBlLvLt[xQ`EfIbZC~K~QzPqA`\\hDvMpFpJwArLjIlMbCrP_GhLf@hOlIj]~YvKJxMdHfPtRrII`YcN~NZaEeEm[dA}BcFtBcHeI_AvJkOxGwB`HoSvHE|BsC`Qu@`DfE~Jh@~GcHdO|GtCeF|OjAjPaE`LoNmC_OeMx@|AwNfJa@vG}E|CkK|LvDf@gHrF{FvBa\\`Ei@tAjS~BlNxCvEcCpCg@nNbDhLrO|IvDpKvQl@x_@|RTfJhM~EaArF|N~@xFhFfRRpInSfMxU~PjLhFjTpPrLK_EtAd@dHrL|@vOnH@jFja@fHo@nFkNfJpQnIsGjKcBcJdEuFtL}NcDQlRaCfHqI`CeCuBcDpEsU_IiHeWwEmCs@~EeH{CkCfEwArR_F~JoA`[mLfLyHdZeTrFqCpHuInCeEbGeLn@{IsEqBtH}IpFv@qFm@tFxIyFrBqHvItEhLs@lEmGhIiCpCiHdT{FnHoYxLaMjAkZfG_Op@aOjCaElHtCl@wEbFvCzGvVnU~HfDoErBpBdJgCzBcHVeRxN`DrFsLjI_E|EnI^bIrL`OfNu@dLpHS|E{ItF{AnIxAlNvGhH_@jDoRnBuD~RiGyK{Du@iFvDgErSmIyB}Pv@iAxBtMpQeBvP_GjERdFjRzQrL`AbA`Fg@lWdIrFaDdI^`JiH~EzE`KgBtKoJdKpIzCtJ_CvFr_@qErZvB|GgMhNuKnIuCdU{HtEcE|QyHpHgJr@aHdGsAtFqJxC{AhSgEvNkTbT}B~H{L|NuHrFkKr@wJxKeX`AyMsGcHdE{Iu@uJdEyTz@aHtHkQ|h@}SdU}@fRcEjEc@pRrDzL_@tWkIrq@gItVkPhLoVdAmW|Os^bGay@Jek@gj@a]eCeF_PaRyRqa@oEcAsDhBaXcGaLc[mRgg@uh@yByJg`@sI{W}PiOqT_CkReRyUuNAya@ch@ai@kKeZtT}DlMsKhEeHgEgLqTiGaBeDxBqBpHag@xOaOtQg_@xGyQYgMwHyPuR{U_@kd@oMuJ}GwNuTwB{ZoKqVqt@}c@`FgNfTw@Fc\\bCsG`OkIzZsG`BsC\\oMfC}D{Mq[~DcGg@qHyJgNKgKyVed@vDyl@bNyYaAmGkKyKa@uQdDiJX_LzLiJnAqK{E_k@}LeMqDyL@oc@eBcHqH_KkJc^cH}FaBsSyNjAoByBa@yPfUyN', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[43.351387, -5.869988]","[43.351223, -5.870631]",6.2,18.98,True,148.8,174.0,False,True,1758.6,87.0,20000227013,20000227013,2026-06-12-051312-ELEMNT_BOLT_9D28-130-020260612-7-g1mo1g.fit,False,59,2,False,465.0,78.9,15.0,156.8,445.0,181.0,True,2496.1
2,"{'id': 3606646, 'resource_state': 1}",Lunch Hike,1704.0,1769,3863,69.0,Hike,Hike,,Suunto Race S,18902762898,2026-06-13T10:51:35Z,2026-06-13T12:51:35Z,(GMT+01:00) Europe/Madrid,7200.0,,,,0,2,0,1,0,"{'id': 'a18902762898', 'summary_polyline': 'on~fGd|~b@OHsAXo@?a@FY@y@IW@q@N_@d@YNQNKAWWIECOMNE?EIAPEAMJ_@_ACEAFTBS?_@ZQXYX]|@STk@hBMx@a@p@M\\ANQPGd@BTIARRILQDBEPMQKE]CAUTo@Xj@[NHEMX{@ZMPW?KN]RWLw@JYBMZw@T]Pq@PYhAsAd@[RCZ@jBb@\\?p@Ix@Hz@g@ZMhAcAj@y@', 'resource_state': 2}",False,False,False,True,only_me,False,,"[43.25035, -5.897003]","[43.250222, -5.896997]",0.963,2.84,True,82.1,140.0,False,True,793.8,744.2,20014996198,20014996198,6a2d4ba0fb6b634b0e322a05.fit,False,0,0,False,3.0,53.2,35.0,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Afternoon Hike,1487.0,1366,1366,0.0,Hike,Hike,,Suunto Race S,18905164273,2026-06-13T14:46:03Z,2026-06-13T16:46:03Z,(GMT+01:00) Europe/Madrid,7200.0,,,,0,0,0,1,0,"{'id': 'a18905164273', 'summary_polyline': '{uuhG`yy_@HzBHt@Bz@FjHExB@Z?jBBjBAp@Gx@FlBAnANJPFHLg@c@MWE[?WDs@CuAFiAA_@@mCGcAFmACYDmB?[BYIaBC}AMgBCmBCc@GsBEs@As@', 'resource_state': 2}",False,False,False,True,only_me,False,,"[43.534073, -5.378258]","[43.534167, -5.376792]",1.089,2.6,True,79.9,97.0,False,True,11.6,5.8,20017435510,20017435510,6a2d72ae1a769f7ede980851.fit,False,0,0,False,2.0,52.0,29.0,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Evening Hike,0.0,3240,3240,0.0,Hike,Hike,,WHOOP,18907907186,2026-06-13T17:56:00Z,2026-06-13T18:56:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a18907907186', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,True,71.1,91.0,False,True,0.0,0.0,20020217733,20020217733,36397203_b255220a-4c9e-44ee-8344-df80b8a7641c_hiking-rucking_17813733604523570031679672629.fit,False,0,1,False,4.0,,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Morning Hike,0.0,692,692,0.0,Hike,Hike,,WHOOP,18915466252,2026-06-14T09:18:22Z,2026-06-14T10:18:22Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a18915466252', 'summary_polyline': '', 'resource_state': 2}",True,False,False,True,only_me,False,,[],[],0.0,0.0,True,90.1,109.0,False,True,0.0,0.0,20027908562,20027908562,36397203_48f22131-d2fd-4c6f-bdfa-223d01be4323_hiking-rucking_17814287022885638193346216183.fit,False,0,1,False,1.0,,,,,,,
2,"{'id': 3606646, 'resource_state': 1}",Afternoon Hike,962.0,1029,1099,64.0,Hike,Hike,,Suunto Race S,18922592846,2026-06-14T11:42:02Z,2026-06-14T13:42:02Z,(GMT+01:00) Europe/Madrid,7200.0,,,,0,0,0,1,0,"{'id': 'a18922592846', 'summary_polyline': 'm{cgGbfwb@EJBHj@S@QLB@DAVEFEXC?LLIDIXEF?DFFAJFq@JMIKCIDYH[@OGAQJMLEF@DOHOS', 'resource_state': 2}",False,False,False,True,only_me,False,,"[43.279365, -5.86049]","[43.27936, -5.860465]",0.935,4.68,True,99.1,149.0,False,True,203.0,142.6,20035145688,20035145688,6a2f17b8fb6b634b0e404c63.fit,False,0,0,False,3.0,57.1,31.0,,,,,
