resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,id_str,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,elev_high,elev_low
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Anti ageing,0.0,2944,2944,0.0,WeightTraining,WeightTraining,30.0,WHOOP,19388053446,19388053446,2026-07-20T11:48:29Z,2026-07-20T12:48:29Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19388053446', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,97.5,128.0,False,True,20508084510,20508084510,36397203_183d3ba8-0b77-4652-9c31-9248084717e8_weightlifting_msk_17845481094942358518260133662.fit,False,0,1,False,7.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",🦇,26954.4,3967,4546,227.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,19393906216,19393906216,2026-07-20T19:02:12Z,2026-07-20T20:02:12Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,6,7,0,1,0,"{'id': 'a19393906216', 'summary_polyline': 'anhkFfdkw@uEa@[Oi@o@SGUFaBpBg@Ai@g@{AeDgAkAeAu@qB{@iH}DwD?yFhAoBPaHk@o@]q@FyCMsNuAmAD_Ex@yGWwHaAaAk@q@ZeAAe@RQ^CV@nAHxAQTO@[k@mByHMwB?}BfA_^n@{BhBeD~FgFt@_AXuAIqAmA{BkK{NuAgCoAyCwKoZ{@gAM]YMqBJgCj@sAQw@Vy@JwBQ{Bc@_Ai@i@u@{B{FEe@Fe@f@_@vEFZUJaA\\kPKi@kDwGIq@AmDIc@MI_FA{@h@]Fa@KuBwAcD}@[o@EsGd@gOFILwCLm@P[HsDt@gC\\qSEoDc@}FS_Fa@{GMs@UI{@VaJe@g@Oa@Tk@xBW^mBIqCk@UTM@SnF]hDDXNNxAb@v@@j@WP[^eBdDcLPkAHaCXmDj@iP`@qF^cBl@oBz@}Bh@{@nBmE`C_I~EeYhFsSf@_Df@u@r@a@^i@d@kAfAu@Xi@?e@k@oAUiAJw@v@aAd@S`E_@RJ`@~@h@j@pChA\\Dh@KrA_Av@[XCXLZ`@FVf@nOVzCRj@ZHnCe@v@i@tAuBSyBHc@tCuEhAcAr@MnBJhBr@xAx@aAm@A_@jDeEl@?lCtAZAv@q@VAxE~Fp@fAVx@FbAA`A_ApBUfAF|@d@v@rDpB|@Zn@FhBYbE{A`ACn@J|@b@d@b@rCtFrAvAdChAfFnAhAF`BG`GsAzDQpAJzF`AvJrBvCPpAK`Ba@~Q_HtBaA`Dq@lBGpGXlEj@tGnAvKxCvAz@bAbApAjBr@|AlFbNdC~HvCdMdB`Ld@hE`@lG`AvIhBrS\\hGn@|U`@hHtFbh@j@~GjA|KhBlb@^pJBrCWjCoDlPi@|A}BfF_A`BeKrTk@NyAw@k@Ei@T{@tA]ZmFt@UI}@gAu@ASPUr@C^L`AQVWC_D}AyAS}@YgJy@_Cg@qSgJq@w@[Mi@Ng@|@_E|Do@Za@BuCwAqF_Ay@]WUUkAQOaAX_Ck@aEAyDgBwFc@kAo@Oc@USc@F}@tB_DhFq@dBkB~Gs@tACdBs@jE[x@c@l@kAv@mAPaFg@wAy@a@NS`As@lB}@rDe@nCoAlPPXdJb@~AMvD{@nBOv@B~@b@dAHr@TnKbGx@bA~AnDN`ANNPIj@cAjBo@v@?hEh@', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712807, -9.23709]","[38.712906, -9.236851]",6.795,16.3,True,124.3,151.0,False,True,20514030835,20514030835,2026-07-20-190212-ELEMNT_BOLT_9D28-147-020260720-7-9jps5a.fit,False,0,0,False,32.0,79.2,20.0,121.4,680.0,139.0,True,476.3,169.0,21.2
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Weight Training,0.0,1971,1971,0.0,WeightTraining,WeightTraining,30.0,WHOOP,19399047803,19399047803,2026-07-21T07:17:14Z,2026-07-21T08:17:14Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19399047803', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,93.4,117.0,False,True,20519269439,20519269439,36397203_b421531e-a1bd-4843-879b-c5fef9abcefb_weightlifting_msk_17846182349788423354270439427.fit,False,0,1,False,4.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",🍔,60207.0,8548,10508,651.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,19424483541,19424483541,2026-07-22T19:54:21Z,2026-07-22T20:54:21Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,30,8,0,4,0,"{'id': 'a19424483541', 'summary_polyline': 'kwgkFpgkw@`AtBeCpGnFdGjApGhCzEXvE|FR_@bDmBhBIjDnDxL[hInAxEbAx@pPxAbF_HbHh@CzCmAtFh@v@^|EzDhH|@|Ea@dChAtJMfK|@wH}@cAmKdBwI|DeOhKkEdA}KOiJ_H}Bm@eK@oFzG}@s@oH\\mHeAuQX}F{DoChHdAdP{Z~N_AfIqBjCaBb@yC|Gw@^kBo@aEmHkB]sDwCyCyG{JaGuDToBtEgDxBaDeLaQnJiGiIeO}KaFqG_Hs@y\\p@}FcNAsKiV?gHwAYiA^}D_@}BqOoE}S`DcJ`FmCpCgMlEoKtG{BQiNyFsP|B{Bw@oEFyByDqG?kEwA[kAjDoGVuBMoD}BsABiCrDmIrBcDiAkFtAiOsDuGwBaLcNgGkHAeAq@mAyCcBn@wCvE}Ie@oG`AeCn@H|@k@j@oDQeKrHsCjIjCfMDfC}E~KyBp@tB[~EaL@qCkCmM`@cC~BuEpJ_H~DFl@cBvBo@nFy@xJZ~EaGlAdCdA|@`IJhMrGxApElDdBzBzEnb@bY`Ov@bIqAlHeFfFcAtHt@jEjDtIrAtBeAbFJvKiI?iFiBwJm@wKrBkGP{KbAgI`BqGzCgG`CkCpIkCr@qAyAaGe@wPiEmKi@mDf@sX~DgJhEc[xAkAUyAj@cE|Hq[h@gGn@}AbCsAc@eD~BsO|Hm\\QyPlFwa@dFc@zE_QtCie@bKyX`FqYxGwX|FwGw@eGrAuArEy@tAgC`G}i@O_CeCeIzDkDReC}FwQjDgFaEvDGr@nGnR|Ij_@lIxO}HrIeFfAvAbc@rE[dEqElBX~FrC`HbTsIrOl@xEWh@p@j@rA|Gv@JnBqBdBQdEnFfFmFdDEfAdAG`CgEtHLvAhB|CeBtHdAxFgDzDSjA~@xDx@v@xGgClAr@WhBwGzAwB|ChHbOnElF~GoCrFXx@~ADpGv@xB~WdMtBzBZ|C{A`D_AHqGaE}JyByXr@sC`CuA~DIhEz@lJgBjB{ZwFqXsLaBM|@zAsBbBiJ^oJkKaJqLiC{FkEes@F_MvA}KzAs@~@eDYsBhBgJrXek@xGeEbIoBbB}BGaDjFcHlGb@hEmEtD|A`Bw@bHdK?zByAhEx@nBhHnC`HwB~BH|AfAbFrIvJrCzQeBxZrEb[}K`Fm@pNdAvSxElCbBlCtDvHvRdElObDxRpFln@`Bhd@nJ|}@nC|o@WtFoErRsQt_@mDm@gCdCeFt@{B{Aw@hAAzBqIkC{NiBaUgLkJjHuLiDqBwBCvBfLpBnKfJqBlBcEc@QrJj@lEeGbBcAnBdCjO', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712788, -9.237072]","[38.712276, -9.236472]",7.043,16.14,True,140.6,184.0,False,True,20545205909,20545205909,2026-07-22-195421-ELEMNT_BOLT_9D28-148-020260722-6-25ur6p.fit,False,9,1,False,165.0,78.5,19.0,135.9,949.0,179.0,True,1152.5,246.8,13.8
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Lunch Walk,0.0,1019,1019,0.0,Walk,Walk,,WHOOP,19431271493,19431271493,2026-07-23T11:35:00Z,2026-07-23T12:35:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19431271493', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,91.0,113.0,False,True,20552144871,20552144871,36397203_ffd901c2-af26-44d2-9ba4-18d6699e7c10_walking_178480650015126630826140096960.fit,False,0,1,False,2.0,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",#500,46261.6,5264,5483,280.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,19442281836,19442281836,2026-07-24T06:55:13Z,2026-07-24T07:55:13Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,29,6,0,2,0,"{'id': 'a19442281836', 'summary_polyline': '{ugkFfikw@NpAmCvFtF~FbAjEHtAtCnFVbE~@EcAJ_DtA{N|HiApDK`BF`DhA`G|JnOfB~@dC?rAk@l@aAp@{CdAo@xAZdB|AvP|AbAg@|AqDdAeAhAMrBr@lAMRRE~CkAvFh@f@B`C\\fBjDhG`@|ALbIn@nDTdEo@xHFbD~DzUj@bKbA`GpCrJT~AKpB{AhGs@vTWvLTnIVvBr@hBfE`HfApKlD`Iv@tHf@dBfGbLlAdA`DvAbArA|FpPrE|R|D`JdDnExGrFjBjD|FxZXbGSrLZrCx@hCrAnBbN|MrXlRjAjBn@rB~@dFPfC?b\\c@|Cm@nAGpC}Rfl@aC~Qm@jAF~BoA|MRlCjCbNEdDc@zB{@rBoDzEkHvEqArBeAdHk@rAsBfCo@fBeArGg@rMmBjHyHxIaElLaB~CqLzKqElKS~AyBhHg@pCItS_AbGuDrLsCrG_FzPiOrXaCnIyLvW]tAl@xLAvAk@dBwApAYfABtLk@hKJtL[dBcBfCs@|B?xKa@lCrDpHhDbD|A~F~AlK`BrTJnI]rDHrAiC~OZp@xBxA^x@StIz@nFnA`Dn@f@rC|Ex@x@fAbBDn@fAr@bE~FrB|AzExBnAGzC`@zAt@Xa@EuAx@mJeCof@BwAr@oACq@qBoFu@u@q@LwEpD}@YyAsCi@G_FnEuA^{Dg@kCiCs@wBs@sHY}NqBkX}AyIwAeFaDyCgB{Cc@iBK{Pn@_CjBqC\\}BCaH`@uO?mJ`@aBrAyB^yAUeHZkClMiY`GiUfKiSnDwMxCcHbEsMv@kFAiOTeExB{H`BiCH_BbAyD~ByDjK{JxAsC|DgLtHuIlByGr@eOz@sFjEkHhAgIrAoBtDsBvBoBzDmF~@iC^yCEyBqCsNAwEjAeK`@qA?}AvBaQdRgj@hAeFv@wIIeZ}AcKgBuDcY}RaN{MyA_Co@cCSwBR_LWoGaGg[qBsDeH}FmCcEgEuJwEkRwFmPuAeB{EiCkGqL_@qA}@eIeDsHiAsKw@gB{CoEs@cC_@kMr@gXVgGzAyFJuCgDgMcA{Fc@mJ{DmUAeC`AeKQeByAeGImHm@cC{CiF_@wAG}ATiF`@}B`H_M~@uDzDgvAFe\\tA_NdAaFOc@wBkAs@LkBbCaFv@oAoAo@Oy@|@HtB[NuDcBySaDyR}Io@{@q@LoF|FgA`@uD{AuFeAu@a@c@}Ae@?Wf@GlB{EpVx@hCJxBgBzII|A^rCb@TbEiD~D_Br@D\\r@xAvI^jCAhB', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[38.712379, -9.236822]","[38.712796, -9.236992]",8.788,17.72,True,154.8,179.0,False,True,20563412955,20563412955,2026-07-24-065513-ELEMNT_BOLT_9D28-149-020260724-7-brgb09.fit,False,5,0,False,186.0,87.5,20.0,165.2,796.0,184.0,True,869.6,100.0,15.6
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Tortosendo - Viseu,137623.0,18446,19625,1379.0,Ride,Ride,10.0,Wahoo ELEMNT BOLT 3,19457957728,19457957728,2026-07-25T06:33:45Z,2026-07-25T07:33:45Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,17,12,1,1,0,"{'id': 'a19457957728', 'summary_polyline': 'obrtFzd}l@bN_@nPpLbGoDhCjKyIrKOh[gNt[_Crb@~BtG`PnCeEtSjCtSqY|TqGvh@~EbzCeWjChG`T`KnIiF`KtBpX}NxW~DzFoAxLhNnGy@lWcKfAeBdK_MhGqbB~Wr]dXdFyAzCpLpHWbBlf@zL`CrArMeBzVaHdIj]f[pBnQ`T{J~EpDQpMtKKoA|PcHxGKjOzM~GqAdQ~MrXrIg@nD|TaN`Y_MxDwZia@uCdZeEhC_RcT}PiCnHlLpBlT}d@fZtSfGb_@sEvG~RpOvUiNrKaPl@iDbLqVuBmEpKsN[nEtNbOlKo`@vHjGxYoMpPf\\~Vr_@kHyQta@hK`tAp^x\\vC|NvFrBbKth@iJpJnIj`@uAvN{C~EqJuT_OcDgBeRqNcVwMeB_ElGwN}J}KfI}JkJmYtY{KDuQqj@{l@{EwCjFbAfOiUtGgApJdXlVzQQ`Gf[pNxK|EtO{l@gR__@tCmIqLyg@nFiI~ScVlMhJ|d@wJvJNrIxKp_@fJfBiHfu@mi@kBqLbI{JuPoMpB}AtIlJbXNzb@zCvIbJbN~G`HiGv\\rBbMmKYuClHpKfQeAfU{J~@wGjKvE`^uKnA|@~[nIxNkDfBrAxUcKh@mCtK`Nhs@{U|JeEdPnCfRhJpHmGjR~@hQj[lNgPzGvC~UiXrYbIrc@gGfKwBj`@zLfZ~VfPHdOdThn@BzPiN|EiAzKlI|[MrYwL{G{Cn\\cHbMiWkFuM_^dBqN{Jaj@yBol@{FsZmFiCmB~~@aJdi@gi@fk@IxW~ItSuVfa@yFto@}HlN_@~YwUvZ`DpI_k@no@dMnXqv@xZyUzRqEzYyVfDgJvfAqMlYeHi@eCnInCln@eNfAgHdOqDvm@hIzkAcE_@rDdDdBz^Axw@mD~PwQ~IpB`_@yO|c@qBh\\eInEeYgN_d@lP}VxZ{KJaGhSoK?gOzUPtt@vKx]yA`V_LdTs@hRa[xHeJfLYbU_Mz[}HmGmFwh@_QyK}HaXyi@c[mh@oa@_EiQm\\o_@yHcTqZ{FqDch@qRcXkl@qVa`@u_@kNeZ{IoAaZvAeVvEqIdRgt@ve@eR}Ike@Tkb@kO{Sl@gOkKqYf_@oc@cEg`@|KeZeSoSX{FdImFd|@uHrPcMnAapA_rA{Z}zAwi@ky@}uAwIo\\qg@oX|Bsd@qO_KaMyb@wPuY_b@gp@qC{a@vXebA_Q}R|]y}@|`@ie@zA}WvYdBeOie@co@yR_{@kOcRg\\}iAwNsRaLqg@_p@ag@{\\bV', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[40.241293, -7.525953]","[40.670685, -7.97922]",7.461,16.38,True,142.1,171.0,False,True,20579499005,20579499005,2026-07-25-063345-ELEMNT_BOLT_9D28-150-020260725-7-10moqa.fit,False,4,0,False,405.0,83.2,18.0,136.0,363.0,155.0,True,2508.0,835.2,101.8
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}","Viseu, Aveiro, Figueira da Foz",187415.0,25334,36851,1191.0,Ride,Ride,,Wahoo ELEMNT BOLT 3,19476128901,19476128901,2026-07-26T06:47:46Z,2026-07-26T07:47:46Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,18,10,3,1,0,"{'id': 'a19476128901', 'summary_polyline': 'ekfwF``vo@r^ie@bd@rGbBuWfQoZ}AeN}GiCeD}\\ui@qd@wK__@lAgMpHaDlZbKh[jU|[q@nEiHg^k`@OkVeMid@ag@uhAoAef@eVzDyn@|^kJbLoLTkUeTgTpUme@sEoOh`@aRzEr@hRkN_GjG|~@}BjMor@|_@{OxR_Rrn@oAxs@vOdbAo\\jYPjb@kI~[oTbCcHjh@cS`KwAfXhMjG~JdUmMp\\h[hb@lD`TKtMyIpLiL}B_NiVoChDdAhYbRtg@gUzAq[pTsEnMyi@vJeI`J_TqFgNd[oUfPvE`LlQKxl@f\\jVyGVrVsjAi\\sj@pDgD~GhWvc@rV~FjRpg@f@f`@fV`DtZbVj@fQ_MrSrA~Q|DkFjv@h[jA`^~Hu@jHhQeAzt@f\\vUoR`Tm_@xLxHxw@ePp`@{Gje@vBlJsIhUrTvHoUj{@fF}I`N}@kGhLfTnABd^uCtS}Wn]qJzD`H~d@yHt[f_@ru@nQnCnC`L_[xm@tTpq@kKdU~Bn[y[jc@jPbr@oIfKsSyGgDpI``@j~@{I~]h\\da@sBrHsRd@wAlLbPp]b^nQ^l[gOfL{TcCaUkYwI~GyZaBgInIlBfQcIdMGvPtHlOoBrPjKze@fTzKzWba@fAzp@aLnPLvU{KlS_Li@}BzHvUnu@`SbTtfAne@`\\fGr@|HmNb`@vv@~\\tHxJJ~_@lWbY~PPnB|YoGrRxC`e@`M`R`SV`Ffc@fKxPsBlk@zDlh@hOtm@oQrRuClTbJdSlRvHU~w@`OhZe`AvAgB`MwJ|DvG`FsBlPqI~KiDdJ~MrMmGb]|RdSwJpv@{KhH_EtYlO|XfWtViVri@OtWqGfEl\\nbCr]dY|]lo@rJzn@m_@n~Bvp@x{GbYfb@h_BfjA`k@z`AhDbd@rHzHcKlu@~HrL`i@|zA_OlSjJwFrTdPj]~o@tVnnBqYvQqs@xn@qQzSOxMrm@n`C`jAj`@wYruAoVtBWtMrIcGtSqAts@xM|d@pCdvAwEhr@tQx~B~ZjsAzKfH}^vxBbx@jf@xBt{@fl@hrAhLzpAts@~v@bQlqCxB`|@wI`FeNfRtHvP~^jTrQ[jt@vrBmnAxcHuEzrVz}HpnB|uAtrBz@f]kDbOfLrAtQ_Jjs@Ct|A`PxbAhV`]dZdM~c@td@IrFzo@hUx\\aFtFkM~V|QjN_H|DyWdgAy`B|@aN`MwOmAwVjE_Lj}@_h@', 'resource_state': 2}",False,False,False,False,everyone,False,b17389585,"[40.67115, -7.979249]","[40.150867, -8.866767]",7.398,15.26,True,138.2,167.0,False,True,20598179370,20598179370,2026-07-26-064746-ELEMNT_BOLT_9D28-151-020260726-7-ifdntv.fit,False,1,0,False,441.0,81.1,21.0,125.2,364.0,144.0,True,3174.7,537.6,-3.2
