resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,workout_type,average_temp
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Sub Threshold XX #2,26809.9,2967,2967,42.0,VirtualRide,VirtualRide,MyWhoosh,16947360869,2026-01-05T17:04:30Z,2026-01-05T17:04:30Z,(GMT+00:00) Europe/Lisbon,0.0,,,,2,8,0,8,0,"{'id': 'a16947360869', 'summary_polyline': 'crmvC}gppI[oE_A}UGeAMuA_@kC}@sF{@aHWyAq@kCqC_IKa@?QBQXm@f@y@pAoBp@o@HKFQHeAFmDRcD`@aI?gAFOHMXU\\ONCNA`@@\\Dn@BfDWhBCl@KZMpAu@lCqAdAq@VWHOBQ?QCe@Qs@eA_C]aAIc@?SHc@R]LK^K`@EtAC`@ENE\\Q`A_A\\Q^I`@Cr@D^FP?|@[nABtFCh^?bHBvACdBF`BTjBNx@Lt@VbAp@vAbAlBbAtAp@|Aj@tAT`@JPF\\Tf@d@hChD^`@VRXJ\\FjAAnBQbBEdDMv]_BvNk@`M]tAIhA?ZBZHbAVp@Vp@\\dAt@j@f@r@x@x@jAp@nAx@pBXbAXdB^hC^bB\\hArCvGj@bBdAdCL`@Hd@@PCd@K`@KNWXYPk@V{Ad@iIjD{OjGyj@rTkIxC_OfFcOnFgJnCkIlCyCz@}Bj@eF`AaSxCoAVmAZuCfAiEpBaHvDqB~Ai@X]Jm@Da@?oBQ]D[NWVa@v@SVKJi@VcFtAsBd@cAReALgA@IOC{GK}C]{Ey@uI]aE[eHi@oNOiC]eCcAgG{@_H[qBm@cCsC}HKk@@Uz@_BxA}Bl@k@LOFSHcAFoDTqD^}H@_AFSNO`@Ud@Kf@@jAHfDWnBCd@GPG`B_AvCyA~@m@X_@FQ?k@ESCSQg@mAoCQg@Gi@@WNe@LQb@Sf@G|@?f@Ed@K`@U|@y@PMPEf@IRAf@Bd@HR?r@YPAjABnFCh^?bHBzACxAFjBTxBPbARjAn@zB|AvCzAvBx@lB^d@N^VZZlDpEZRZLn@Dp@?tBSfGSjm@kC~GUdDGlBKv@Br@Jr@P~@\\l@ZfAt@tArAt@dAx@vAn@vA`@hAX|Ap@pEf@nB|@|BxAfD|@fCr@|ATr@Lz@Cd@ERQ^e@`@]RgBj@gShIgo@zVoMvEmQhGkHlCaCx@eJnCuFfBiHrB_Ch@_Er@aQhCmAR{A`@uCfAuB~@qBbAmGjDiBxAk@X_@Js@DiCQ[DYLSP}@vA]VUJ_FrAyBh@cBXe@DaABIECMCyGO_EYwDeAaLSsCYkGk@gOOuBYwBmAmHw@wGWuAm@eCsCaIEMEc@@OFOv@wApAsBr@m@JMDMFc@Ds@BgC', 'resource_state': 2}",False,False,False,False,everyone,False,,"[24.814202, 55.300203]","[24.815688, 55.319113]",9.036,12.06,67.2,170.9,261.0,188.0,True,507.2,True,156.7,174.0,False,True,6.8,-7.0,18040645293,18040645293,myActivityfile.fit,False,1,2,False,121.0,,
2,"{'id': 3606646, 'resource_state': 1}",No bike? No problem 🏃‍♂️,5060.0,1802,1802,38.0,Run,Run,Suunto Race S,16967671854,2026-01-07T12:47:45Z,2026-01-07T12:47:45Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,0,0,1,0,"{'id': 'a16967671854', 'summary_polyline': 'gvfkFrvnw@[Ew@S[Ce@?o@L[@YEo@Ue@?k@GY@QDkBAi@Dc@Go@AMCWOSSKWAO@eAMkAA_@?aBCKMa@MKWI}@@OCi@a@YQa@][c@yAsAu@m@aC}BkAwAu@wAKOQO]Q]M{AQo@?m@BkATW?g@Gm@LU?uIg@yDOIEGGQu@GmBLKh@EN?\\P^A`@JZBt@?VFh@RN@|ACjCDVEXSHAHF?LQ`AAR@ZJZTV^Pf@@~@M`@Cl@@vAJVFTJl@^~@~Ad@p@r@l@^`@jBdBp@j@V^zBnBz@h@NBtANf@ZZDTLLBdAI~@ChADl@FXA`@I^Er@HbBKhB@h@C~HETIX[p@QNKb@y@\\a@TQt@]t@m@PUPg@XYNKt@[VIj@WL@FPCxBCJGFSAEDS|@]f@IV_@zBOf@ENwBfD[VyAr@UPk@NEFO^[`@KHSH]DM@i@Gk@M]A]@wAPg@?WII?ENHnD', 'resource_state': 2}",False,False,False,False,everyone,False,g28153273,"[38.703835, -9.256495]","[38.704175, -9.256543]",2.808,3.6,84.7,193.6,255.0,193.0,True,348.8,True,148.5,161.0,False,True,25.8,7.2,18061156820,18061156820,695e5d2830a35f623c910557.fit,False,0,1,False,49.0,,22.0
2,"{'id': 3606646, 'resource_state': 1}",Roda gorda,38570.1,6043,6088,545.0,Ride,MountainBikeRide,Wahoo ELEMNT BOLT 3,16976196832,2026-01-08T06:00:49Z,2026-01-08T06:00:49Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,10,3,3,0,"{'id': 'a16976196832', 'summary_polyline': 'cnhkFrdkw@{Ek@o@y@GaAhBgJ~BwFa@uBGsApB_LUeED}ArEeVb@MfHtAbFjCxFyF~ASxT|JlRxB|FrBt@Md@w@|@}IjAmCbB_BAe@_Pgh@aBkCsCmAsa@iHhd@jJtBxBtCxHoBaHiAsB_D{A_q@_M{CqDUoAl@sC|CuHHuAQy@c@Ke@bBm@b@mA@mAg@gBuByB{FkLmKMiAXs@hM}OtGoFTgC_@wBq@y@wDPk@[oEnAuCGaCoAmKcJQ\\RnE}@n@WdAg@NeAQiFqD{JwB{V^iDbBmB`E]hEbAvKa@tAgAX}TsD}GmBiSgIs@s@qDcAwCuBaBoBoBcE{AmFqCuCo@cBBuCxAwCPiAqAuH`@sGo@mDeCuB{@eCYoCFiCvBkHnAaBbBEjDbClASv@iAxH_TdMcq@l@oAx@Mx@\\xBnB`AtBP~Cs@|IxChPbALlBuB|AQ|@b@tAlDv@\\h@WxBaDhA}@`DD|@bAHx@QdAsCpEo@jBF|@`B|BPx@Iz@cBjFPzAp@`B@`A_DxDUhAt@zDx@z@|@EbF_Cj@F^j@?v@]l@yFjAmClDdH~NlCtCbAzAzGoClAh@~Ac@hAPz@~ABpG`AfC`BtAvTdJlBlB\\xD}AjCw@P{GiEwJuB{ONiHj@eCtB{AjEIlDbArJ_@xAeA`@sTmD}F}AmVoKcEmA{B}AqBaCiBaEwAiF_DcDe@yA@sCtAsCToAGmAgAwE^yGYgCm@eAeBuAw@iBe@aDBeCXgBdBcF`AwAhBKvDdC`AOx@gA`HcRzAwFjKgl@`@q@z@QrDfCfA~BLfCo@`H?|AvC`Pv@FrBwBzAWjAr@nAhDt@T~EoF~CAnAdAAvBqDbGYhAJz@lBlDKnA}AfFjAnD@~@e@dAaCtBYnA|@|DbA|@tGkCbAj@Dv@Yn@yFjAsCpDvGfNxEfGdHkCnAj@tAe@xAVp@rADbHn@hB~BnBzTjJbBnBVlD_AbAa@fAs@HoG_EkK}ByTVuBXuC~B{ApEIhD`AlKm@lAe@PwY_FwWcKkA{@kAvB}Av@aHj@cAW_CoAu@n@CdA|BtDbArEh@x@nJbFbHpCpLxHtGrDjC`@tFgA|DrBvAPvJ}ARbDoF`BcBtDMzBz@dAfBFLl@UjAXb@tACzEv@`E`Cv@|Af@hDxElBhIlU~DjJvKnKFxAeFzIgDzLTZbAGfMvBnA`A~@lBN`Dk@|GcA~Gk@hB?dD|A~@u@vDr@~Gb@X\\bAr@ZtCo@dJbA', 'resource_state': 2}",False,False,False,False,followers_only,False,b8952706,"[38.712807, -9.23728]","[38.7124, -9.236592]",6.383,15.36,,205.0,,,False,1239.0,True,157.5,180.0,True,True,206.8,11.4,18069720066,18069720066,2026-01-08-060049-ELEMNT_BOLT_9D28-75-020260108-164304-vtpi4j.fit,False,0,0,False,242.0,10.0,7.0
2,"{'id': 3606646, 'resource_state': 1}",Volta por sintra 🥵,88027.3,11497,12397,793.0,Ride,Ride,Wahoo ELEMNT BOLT 3,16997826180,2026-01-10T06:31:18Z,2026-01-10T06:31:18Z,(GMT+00:00) Europe/Lisbon,0.0,,,,49,12,0,3,0,"{'id': 'a16997826180', 'summary_polyline': 'knhkF~ckw@oEm@s@yBdFcRm@kDlB{KQiHvEkVzIpAzDdCzJgGvT`KhYvEtL{CjBwBdBnBmC`U?~XcE~vA{@lEaHrL{@tJpF`PjA|Sa@jNhGle@jEvQoBtNaAz\\\\nMhG~MhAhKtDrIzAfKzFtK|H`GxM~d@xDvIfPfR|Fn[?hSrAlHtPhQ~XvRhBtDzAlJ?b]qAnJaSnl@mDzTkAlRzCzPYvGuFrJ}JhIgApHsEdIiB`ViBhHiIpJsGpPsLbLmElKwD~Oy@jZcQth@aOhXeQzb@RrQwCtF_@dg@oD`Jc@|O`JxNlE|YrAjXyCvWfDhDNbObH~NrMxPzGjDhH~AyGvv@h@pPa@p`@fB~QGli@_AbL{Nr`@iFfJ_Xl`AiHvIoO`[_MbFqJeA}PcH{NkOgT{M_LeAuKmQ}HaBcJnAyDeA}BiFaCyVmKsGcJ{VqB_RmCcFR_KoA_FwIuE_ESqD_EkZgG}IoLcLFeGoEmWV~@hHmDbGpE`MiAbJgBh@qJyD}ChGwDR_F|FkE?@nCrGpE{ExJeAlHwCfCqJVg@zC~@hGeDrDoAbGkMdIaGlJyYfCkLuTkABqEfKlEdMNnFw@|@yOaEeRvEyB{@sIgMcLGq@mBXmBnFaKiGcEsIcSgFsE~@sGw@eFx@aCaAsBsLw@eLgF]z@rAlD}DbI[rFgPhFqGjIyIBsB{EhDcKgNmLmFgMsCg@gFtKqAs@rAqGc@eIz@eJ~CgHuHsNGiIxCaL`JyDhEiLZgDsD_E_AkD`FeHg@yKjA{EqGmHcCsHkI{IoG}VbCaJdZoh@bB_Pi@_D}CiDvAmFkBiZyBmLkHcRx@sDsHy^`@}GxHsRiAW{EjEaBKmB}XeHhBkCiAgB{ECgD`BgG`FC`D{B]kAcCMw@gK`AaDbGcEqAwHfDgD?qEFpDnEj@`FnFfS{IbB}FlFgA|B_KXsIrEsH`MwDlE`BlHc@rEfCdImEtxAdq@x`@`VdzAvXnd@dMhUbKpAtF`BfAxI_Erm@fRrw@bIlEsA`]_Yb\\qAxBjJhT^ld@oBvDyGNoMjM{XbGcUjK}SrOaf@`Ac\\fH{UxN}OtHcRlHgIpBgHhBeVhEcHxAcJbJkH`GoJh@gHyCgU|Emb@bUkr@p@eOq@sZsDmK}XyRoPmQcAiFG_U{F_[sPiSsSso@wHuFaG_LyAmKgDwHkA}KmGcN[uJfAy_@lBgMmFqUc@oJ{DuUbAkNgBkJSuImFiOz@sJbH{L|@gE~DevA@mZbD{UsDmBuB|BcF`AcCyBcAdE_ZqFoSkL_KtHeLaDwB{BiGh[dAdGoBbMbAxChMsFv@lK', 'resource_state': 2}",False,False,False,False,followers_only,False,b16394595,"[38.712818, -9.237055]","[38.712196, -9.236215]",7.657,17.16,,146.3,,,False,1682.0,True,153.3,183.0,False,True,292.4,8.6,18091560790,18091560790,2026-01-10-063118-ELEMNT_BOLT_9D28-76-020260110-176866-ti24l.fit,False,0,0,False,383.0,10.0,13.0
2,"{'id': 3606646, 'resource_state': 1}",MyWhoosh - Base Miles #1,15671.1,2592,2592,178.4,VirtualRide,VirtualRide,MyWhoosh,17011496273,2026-01-11T11:52:39Z,2026-01-11T11:52:39Z,(GMT+00:00) Europe/Lisbon,0.0,,,,0,0,0,6,0,"{'id': 'a17011496273', 'summary_polyline': 'ermvC_hppISkCQiDu@aSMsBKw@mAuHYsBi@oE_@uB[wA]eAgCcHG]?MBORe@|@yA~@yAn@i@HMFMBOH_AH}DRcDZuGBs@?o@N]d@[^Mj@?jAHb@AdCSvBEl@KLExA}@tBaAjAs@b@]PWB]Aa@G]Qk@aAuBYu@Km@?MB]Te@HIZOh@Gx@?x@GZIXO`A_Af@Uj@I\\?jANLCh@UNChABvFC~]?dHB~ACdBFjBVhAHbAJ^Jj@Tr@b@vAfA`@TlBbArAl@|@ZdBZt@Tx@p@jDpEh@ZLD^D~@?|BShEMfa@kBvMg@vL]`@CaDJ|BG~AIp@@n@H~@Tl@Tl@Vx@d@t@l@z@|@x@hAn@fAf@bAr@pBR|@v@nFLj@^lAXv@dCzF^lAhAhCNd@Hb@Bh@APETS^KN[T}@`@}Ad@wB~@}MpFuUfJcA^oQfH_GzB}GdC_RpG}LnEgCz@wF`BiFbBkF|A{Cv@sCl@iCb@aRpCuBf@eBj@w@ZqB|@aBx@aHtDsB~Aw@`@m@H_@@{BQ_@BYLWR[d@M\\UVu@`@_FrAiCl@mBVqAFELExG?tEGtEK|COfCMxAe@bE_@zB[lAe@zAmB|FGLO@kI}CgAi@u@m@aAeA[m@k@mAo@y@IQMm@MY_BuBk@g@w@k@m@[[IWAY@iARM@[EWOKM]mAUg@kCyDUg@Ie@Ey@@a@JwAAYQc@QSWMWCY?[F[Xq@pAMJMFSB[AUIQQGII[CY@SH]l@{@FOFS@[CUK[OWWm@EQAYH_@t@{@N[DW?[GYMYqAcB_@_@]MaAOQEYUOWE[Bs@X}BZmB@a@EWKWMWQQSKy@QKEOKMWG_@BYDQJQPM', 'resource_state': 2}",False,False,False,False,followers_only,False,,"[24.814202, 55.300203]","[24.824689, 55.303416]",6.046,11.56,54.4,135.0,200.0,141.0,True,349.9,True,139.6,153.0,False,True,150.4,-10.4,18105425595,18105425595,myActivityfile.fit,False,0,2,False,51.0,,
